,Age,Time,Mean_CP,Std_CP,Elo,OppElo,WL,WhiteWL,Name
0,37.0,28.0,47.80555555555556,165.3513695039306,2767,2863.0,-1,-1,Aronian
1,37.0,28.0,10.20689655172414,11.644677847303791,2767,2863.0,0,0,Aronian
2,38.0,29.0,14.893617021276595,24.11587429794919,2767,2633.0,1,1,Aronian
3,38.0,29.0,24.508196721311474,68.51511340592907,2767,2757.0,1,-1,Aronian
4,38.0,29.0,12.866666666666667,17.614127036681886,2767,2728.0,0,0,Aronian
5,38.0,29.0,70.05454545454545,201.503829407764,2767,2728.0,-1,-1,Aronian
6,38.0,29.0,15.0,23.093161707463505,2767,2828.0,1,-1,Aronian
7,38.0,29.0,45.270270270270274,79.29363455209051,2767,2828.0,-1,-1,Aronian
8,38.0,29.0,12.745762711864408,22.0794749596644,2767,2728.0,0,0,Aronian
9,38.0,29.0,31.116666666666667,40.79260969403303,2767,2728.0,-1,1,Aronian
10,38.0,29.0,14.79310344827586,13.20816660345525,2767,2757.0,0,0,Aronian
11,38.0,29.0,20.67142857142857,80.52017866251076,2767,2757.0,-1,-1,Aronian
12,38.0,29.0,25.235294117647054,39.609502091941,2767,2633.0,1,-1,Aronian
13,38.0,29.0,29.46938775510204,36.04343562565423,2767,2633.0,0,0,Aronian
14,38.0,29.0,15.719298245614034,29.496219119675157,2767,2863.0,1,-1,Aronian
15,38.0,29.0,7.931034482758621,10.190790781326465,2781,2656.0,0,0,Aronian
16,38.0,29.0,7.833333333333333,9.296211068488338,2781,2770.0,0,0,Aronian
17,38.0,29.0,14.545454545454543,19.000149520942767,2781,2820.0,0,0,Aronian
18,38.0,29.0,10.705882352941176,15.0846689415661,2781,2780.0,0,0,Aronian
19,38.0,29.0,10.133333333333333,14.0171972298965,2781,2760.0,0,0,Aronian
20,38.0,29.0,28.846153846153847,47.83443951003155,2781,2770.0,-1,1,Aronian
21,38.0,29.0,15.464285714285714,20.730157210919028,2781,2776.0,1,1,Aronian
22,38.0,29.0,18.661290322580644,30.04037913601696,2781,2627.0,1,-1,Aronian
23,38.0,29.0,13.428571428571429,20.56772614765709,2781,2820.0,0,0,Aronian
24,38.0,29.0,24.76315789473684,40.30118649619913,2781,2678.0,1,-1,Aronian
25,38.0,29.0,8.952380952380953,14.08329295776604,2781,2763.0,0,0,Aronian
26,38.0,29.0,29.027027027027028,77.21632185205638,2781,2792.0,-1,1,Aronian
27,38.0,29.0,29.86206896551724,44.09788149910786,2781,2770.0,0,0,Aronian
28,38.0,29.0,11.733333333333333,18.15764301885021,2781,2760.0,0,0,Aronian
29,38.0,29.0,26.40983606557377,115.14164859552412,2781,2759.0,0,0,Aronian
30,38.0,29.0,47.926829268292686,89.11408144729499,2781,2714.0,-1,-1,Aronian
31,38.0,29.0,49.45238095238095,107.2428751129206,2781,2714.0,1,-1,Aronian
32,38.0,29.0,12.25,15.106076538502537,2781,2763.0,0,0,Aronian
33,38.0,29.0,15.181818181818182,25.54378297129947,2781,2753.0,0,0,Aronian
34,38.0,29.0,40.35714285714285,62.21207967222168,2781,2759.0,-1,1,Aronian
35,38.0,29.0,14.666666666666666,30.72958984932425,2781,2770.0,1,1,Aronian
36,38.0,29.0,25.508196721311474,39.668468986009394,2781,2792.0,-1,1,Aronian
37,38.0,29.0,26.62962962962963,53.49706262304687,2781,2820.0,0,0,Aronian
38,38.0,29.0,28.82758620689655,53.97887745982367,2781,2765.0,1,-1,Aronian
39,38.0,29.0,50.16666666666666,89.45878371484734,2781,2760.0,-1,-1,Aronian
40,38.0,29.0,10.181818181818182,16.3838728523079,2781,2714.0,0,0,Aronian
41,38.0,29.0,20.612244897959183,33.29965986220844,2781,2763.0,1,1,Aronian
42,38.0,29.0,34.682539682539684,72.39671739948002,2781,2753.0,1,-1,Aronian
43,38.0,29.0,11.97080291970803,60.09415915704081,2781,2759.0,0,0,Aronian
44,38.0,29.0,39.29166666666666,81.98487621223948,2781,2770.0,-1,1,Aronian
45,38.0,29.0,45.61702127659574,80.48401223669785,2781,2792.0,0,0,Aronian
