,Age,Time,Mean_CP,Std_CP,Elo,OppElo,WL,WhiteWL,Name
0,36,30,26.892307692307693,70.07788592811464,2700,2658,1,1,Bu
1,36,30,8.790697674418604,11.486136860487584,2700,2658,1,-1,Bu
2,36,30,10.9375,15.723287639471218,2700,2658,0,0,Bu
3,36,30,10.133333333333333,11.85758402249694,2708,2564,0,0,Bu
4,36,30,6.793103448275862,8.682409599483428,2708,2729,0,0,Bu
5,36,30,8.935483870967742,13.152782934600996,2708,2640,0,0,Bu
6,36,30,10.914285714285716,10.85295142446739,2708,2799,0,0,Bu
7,36,30,12.382352941176473,18.594581657654278,2708,2645,0,0,Bu
8,36,30,8.8828125,24.998148307408943,2708,2564,0,0,Bu
9,36,30,8.548387096774194,9.687926195966536,2708,2729,0,0,Bu
10,36,30,25.146341463414632,31.314182869436145,2708,2640,1,1,Bu
11,36,30,19.633333333333333,21.48372813811988,2708,2645,0,0,Bu
12,36,30,9.333333333333334,8.66357150743086,2708,2799,0,0,Bu
