,Age,Time,Mean_CP,Std_CP,Elo,OppElo,WL,WhiteWL,Name
0,28,23,16.945454545454545,28.13421416592272,2828,2633,1,-1,Caruana
1,28,23,30.76344086021505,56.05808281507097,2828,2757,1,1,Caruana
2,28,23,18.65714285714286,18.933230756813703,2828,2728,0,0,Caruana
3,28,23,38.833333333333336,58.24716640632571,2828,2728,-1,1,Caruana
4,28,23,24.02,39.90523979711569,2828,2863,-1,1,Caruana
5,28,23,31.33333333333333,37.26428137864282,2828,2767,-1,-1,Caruana
6,28,23,25.23684210526316,29.548342625608317,2828,2767,1,-1,Caruana
7,28,23,38.41176470588236,58.97971735116682,2828,2863,-1,-1,Caruana
8,28,23,22.710526315789476,21.07888388082849,2828,2863,0,0,Caruana
9,28,23,11.186440677966102,13.720704938499017,2828,2728,0,0,Caruana
10,28,23,36.708333333333336,59.73094224096006,2828,2728,1,1,Caruana
11,28,23,7.26984126984127,13.826349726106017,2828,2757,0,0,Caruana
12,28,23,32.36666666666667,67.79099896173447,2828,2757,1,-1,Caruana
13,28,23,13.89795918367347,22.34040146046992,2828,2633,0,0,Caruana
14,28,23,22.2972972972973,25.023172443940023,2828,2633,1,1,Caruana
15,28,23,19.945454545454545,40.63679147704482,2823,2671,0,0,Caruana
16,28,23,24.21875,32.350633812408006,2823,2668,1,-1,Caruana
17,28,23,19.84,27.224958537102285,2823,2743,0,0,Caruana
18,28,23,18.568181818181817,24.848749654822345,2823,2732,0,0,Caruana
19,28,23,12.512820512820513,17.4444559053975,2823,2677,0,0,Caruana
20,28,23,9.387096774193548,9.984175739819284,2823,2663,0,0,Caruana
21,28,23,37.638888888888886,58.13341934244403,2823,2784,1,1,Caruana
22,28,23,11.0,13.601470508735444,2823,2764,0,0,Caruana
23,28,23,21.94871794871795,32.98241055786898,2823,2705,1,-1,Caruana
24,28,23,9.585365853658535,13.169995462710109,2823,2862,0,0,Caruana
25,28,23,21.40983606557377,47.48591968474456,2823,2749,0,0,Caruana
26,28,23,19.571428571428573,22.666973037145187,2823,2679,0,0,Caruana
27,28,23,17.428571428571427,19.518775022967304,2823,2625,0,0,Caruana
28,28,23,18.21917808219178,26.304439092703245,2842,2767,1,1,Caruana
29,28,23,13.796610169491526,20.878779576086128,2842,2698,0,0,Caruana
30,28,23,11.205128205128204,15.459930358628958,2842,2805,0,0,Caruana
31,28,23,7.625,10.07074335860426,2842,2774,0,0,Caruana
32,28,23,42.25,59.04437629523258,2842,2763,-1,-1,Caruana
33,28,23,13.19047619047619,16.300887444400967,2842,2762,1,-1,Caruana
34,28,23,13.4375,22.008566153363653,2842,2777,0,0,Caruana
35,28,23,20.22222222222222,21.974344014595637,2820,2656,1,1,Caruana
36,28,23,15.882352941176473,22.1807515596394,2820,2781,0,0,Caruana
37,28,23,21.235294117647054,33.55031340258633,2820,2770,-1,1,Caruana
38,28,23,16.2,24.407152453924045,2820,2780,0,0,Caruana
39,28,23,22.310344827586206,40.7160054947471,2820,2760,0,0,Caruana
40,28,23,30.76595744680851,40.83594578413859,2820,2770,-1,-1,Caruana
41,28,23,20.166666666666668,29.91247917268662,2820,2776,0,0,Caruana
42,28,23,20.273972602739725,33.218243094375346,2820,2627,0,0,Caruana
43,28,23,12.5,12.719861311935434,2820,2792,0,0,Caruana
44,28,23,8.604651162790697,13.053260010404484,2820,2781,0,0,Caruana
45,28,23,22.877551020408163,31.936546889275373,2820,2760,0,0,Caruana
46,28,23,32.642857142857146,52.60139785973968,2820,2759,0,0,Caruana
47,28,23,17.023809523809526,26.71757263623681,2820,2714,1,1,Caruana
48,28,23,8.705882352941176,10.95681362011248,2820,2765,0,0,Caruana
49,28,23,34.92857142857143,82.059566698664,2820,2770,-1,-1,Caruana
50,28,23,34.18518518518518,54.169222645710285,2820,2678,-1,-1,Caruana
51,28,23,44.90196078431372,89.53306761235444,2820,2763,0,0,Caruana
52,28,23,27.761904761904763,58.34704688486241,2820,2792,-1,1,Caruana
53,28,23,39.63013698630137,92.54856185468184,2820,2763,0,0,Caruana
54,28,23,75.45454545454545,111.96728229460491,2820,2765,-1,-1,Caruana
55,28,23,67.42857142857143,121.4464902745238,2820,2760,-1,1,Caruana
56,28,23,22.764705882352946,36.83794060602047,2820,2714,0,0,Caruana
57,28,23,30.63636363636364,61.433904150107374,2820,2781,0,0,Caruana
58,28,23,10.74390243902439,23.49983502732201,2820,2753,0,0,Caruana
59,28,23,27.075,38.42767932703637,2820,2759,1,-1,Caruana
60,28,23,38.80821917808219,77.7731133087076,2820,2770,0,0,Caruana
61,28,23,15.568181818181818,35.621000943898856,2820,2792,0,0,Caruana
62,28,23,52.55737704918032,101.14733883303832,2820,2763,-1,1,Caruana
63,28,23,66.06976744186046,127.70490450902388,2820,2765,1,-1,Caruana
64,28,23,11.21818181818182,14.75188739850538,2820,2760,0,0,Caruana
65,28,23,42.80645161290322,71.36510574748755,2820,2714,1,-1,Caruana
66,28,23,26.376623376623375,61.90145797131689,2820,2781,0,0,Caruana
67,28,23,45.66666666666666,94.5538925507101,2820,2753,-1,1,Caruana
68,28,23,44.46875,89.63789036389069,2820,2759,1,1,Caruana
69,28,23,18.642857142857142,18.470796671241057,2806,2550,1,1,Caruana
70,28,23,7.0227272727272725,9.495381095903848,2806,2637,0,0,Caruana
71,28,23,36.8421052631579,75.53541966561215,2806,2637,-1,-1,Caruana
72,29,24,12.680851063829786,19.126701553153985,2806,2714,0,0,Caruana
73,29,24,13.462962962962964,16.470342658294072,2806,2709,1,-1,Caruana
74,29,24,25.91304347826087,37.570434511822114,2806,2710,1,1,Caruana
75,29,24,43.6,96.91275268329272,2806,2709,-1,1,Caruana
76,29,24,17.829268292682926,20.65054773973852,2806,2758,1,1,Caruana
77,29,24,18.83333333333333,22.73604046952512,2806,2772,1,-1,Caruana
78,29,24,61.88235294117647,100.38618372242736,2806,2763,-1,-1,Caruana
79,29,24,25.314814814814813,45.00349004247109,2806,2782,1,1,Caruana
80,29,24,21.02380952380953,27.414157011401265,2806,2736,-1,1,Caruana
81,29,24,56.43181818181818,78.3751852421008,2806,2714,-1,1,Caruana
82,29,24,9.785714285714286,12.477101178968926,2806,2736,0,0,Caruana
83,29,24,23.939393939393938,38.758375288596085,2806,2758,0,0,Caruana
84,29,24,33.46153846153846,73.8245548841722,2806,2710,-1,-1,Caruana
85,29,24,63.86,136.8699680838178,2806,2782,-1,1,Caruana
86,29,24,45.189655172413794,75.10961741314611,2806,2709,1,1,Caruana
87,29,24,37.95588235294117,74.73723798081434,2806,2709,1,-1,Caruana
88,29,24,27.05,30.90593669631973,2806,2772,1,1,Caruana
89,29,24,43.93939393939394,139.10901964761072,2806,2763,0,0,Caruana
90,29,24,17.205128205128204,21.34081768173929,2806,2714,1,1,Caruana
91,29,24,30.88135593220339,49.12934537972283,2806,2736,-1,1,Caruana
92,29,24,40.50684931506849,64.47956680816523,2806,2758,-1,-1,Caruana
93,29,24,56.21621621621622,97.74801365845843,2806,2710,0,0,Caruana
94,29,24,22.467455621301774,77.0423534958407,2806,2782,0,0,Caruana
95,29,24,29.38095238095238,42.201001248642434,2806,2709,1,-1,Caruana
96,29,24,33.666666666666664,45.42679271019426,2806,2709,1,1,Caruana
97,29,24,53.45454545454545,108.96734192759466,2806,2772,1,-1,Caruana
98,29,24,22.022222222222226,28.347269300016823,2806,2763,0,0,Caruana
99,29,24,18.45945945945946,22.73836038576733,2806,2709,1,1,Caruana
100,29,24,13.882352941176473,22.922170105662804,2806,2758,0,0,Caruana
101,29,24,19.89130434782609,29.43635564767529,2806,2655,1,1,Caruana
