,Age,Time,Mean_CP,Std_CP,Elo,OppElo,WL,WhiteWL,Name
0,25.0,19.0,12.708333333333334,12.790890667110366,2768,2872.0,0,0,Giri
1,25.0,19.0,10.67741935483871,12.439722459542208,2768,2822.0,0,0,Giri
2,25.0,19.0,22.23809523809524,25.33161021708798,2768,2758.0,0,0,Giri
3,25.0,19.0,14.482758620689657,14.009233408350909,2768,2747.0,0,0,Giri
4,25.0,19.0,25.9,29.475171149388,2768,2723.0,-1,1,Giri
5,25.0,19.0,21.8,33.65309216468671,2768,2660.0,1,1,Giri
6,25.0,19.0,16.23076923076923,23.02400085529479,2768,2758.0,0,0,Giri
7,25.0,19.0,8.552631578947368,11.346382608260214,2768,2731.0,0,0,Giri
8,25.0,19.0,10.833333333333334,13.352213644014324,2768,2765.0,0,0,Giri
9,25.0,19.0,22.33333333333333,20.64541918521717,2768,2683.0,0,0,Giri
10,25.0,19.0,13.761904761904765,14.273990543624755,2768,2726.0,0,0,Giri
11,25.0,19.0,6.700934579439252,12.155606636578325,2768,2712.0,0,0,Giri
12,25.0,19.0,11.666666666666666,16.658614407034705,2768,2644.0,0,0,Giri
13,26.0,20.0,26.565217391304348,29.51282370911032,2764,2625.0,1,1,Giri
14,26.0,20.0,11.883720930232558,12.50373144748167,2764,2671.0,0,0,Giri
15,26.0,20.0,12.804878048780488,13.73175063893006,2764,2668.0,0,0,Giri
16,26.0,20.0,11.526315789473683,14.727684616661644,2764,2743.0,0,0,Giri
17,26.0,20.0,24.4,23.296995514443484,2764,2732.0,0,0,Giri
18,26.0,20.0,11.0,13.099990690743295,2764,2677.0,0,0,Giri
19,26.0,20.0,17.5,17.12237354094565,2764,2663.0,1,1,Giri
20,26.0,20.0,14.8125,24.59342262008712,2764,2823.0,0,0,Giri
21,26.0,20.0,22.84057971014493,29.80950459777681,2764,2784.0,1,1,Giri
22,26.0,20.0,17.916666666666668,14.583338399188582,2764,2705.0,1,1,Giri
23,26.0,20.0,13.46341463414634,14.64086329588459,2764,2862.0,0,0,Giri
24,26.0,20.0,33.06060606060606,51.18169107371797,2764,2749.0,0,0,Giri
25,26.0,20.0,23.55813953488372,52.909762500741095,2764,2671.0,0,0,Giri
26,26.0,20.0,11.333333333333334,14.040757000349274,2764,2671.0,0,0,Giri
27,26.0,20.0,34.16393442622951,101.79704978172155,2764,2671.0,-1,-1,Giri
28,26.0,20.0,15.037735849056604,19.91806511315694,2764,2679.0,0,0,Giri
29,26.0,20.0,13.925925925925926,18.063831108100917,2763,2774.0,0,0,Giri
30,26.0,20.0,16.973684210526315,21.633915868133396,2763,2762.0,1,1,Giri
31,26.0,20.0,21.425,25.20468769993554,2763,2767.0,0,0,Giri
32,26.0,20.0,29.071428571428573,32.61098266652188,2763,2805.0,1,1,Giri
33,26.0,20.0,14.177777777777775,22.64377185983828,2763,2842.0,1,-1,Giri
34,26.0,20.0,27.16,42.623343225926114,2763,2777.0,-1,1,Giri
35,26.0,20.0,29.6,47.61286785297842,2763,2698.0,-1,-1,Giri
36,26.0,20.0,21.851063829787236,37.48737684550236,2780,2627.0,0,0,Giri
37,26.0,20.0,11.93103448275862,11.099971153381947,2780,2765.0,0,0,Giri
38,26.0,20.0,41.76315789473684,110.11037072460309,2780,2656.0,-1,1,Giri
39,26.0,20.0,13.515151515151516,16.97446834977684,2780,2781.0,0,0,Giri
40,26.0,20.0,14.333333333333334,24.15480377594788,2780,2820.0,0,0,Giri
41,26.0,20.0,12.047619047619047,17.4071753394659,2780,2770.0,0,0,Giri
42,26.0,20.0,11.408163265306122,16.226159906340207,2780,2760.0,1,1,Giri
43,26.0,20.0,7.609756097560975,15.642694858592128,2780,2776.0,0,0,Giri
44,27.0,21.0,21.53333333333333,23.7802197335246,2776,2778.0,0,0,Giri
45,27.0,21.0,21.35897435897436,18.790377127790396,2776,2738.0,0,0,Giri
46,27.0,21.0,33.391304347826086,45.81170457661265,2776,2653.0,-1,1,Giri
47,27.0,21.0,43.55769230769231,76.88275093054727,2776,2683.0,1,-1,Giri
48,27.0,21.0,15.866666666666667,39.87967778913179,2776,2688.0,0,0,Giri
49,27.0,21.0,7.745098039215686,11.467943385376303,2776,2749.0,0,0,Giri
50,27.0,21.0,14.96875,22.905816101818388,2776,2792.0,0,0,Giri
51,27.0,21.0,8.0625,12.36524134614392,2776,2782.0,0,0,Giri
52,27.0,21.0,23.48,39.32763477686978,2776,2753.0,1,1,Giri
53,27.0,21.0,27.76315789473684,37.59415869701778,2776,2753.0,1,1,Giri
54,27.0,21.0,13.53658536585366,15.665403858464057,2776,2749.0,1,1,Giri
55,27.0,21.0,8.425531914893616,13.451595478104746,2776,2792.0,0,0,Giri
56,27.0,21.0,10.458333333333334,13.490671849480092,2776,2688.0,0,0,Giri
57,27.0,21.0,8.07843137254902,12.091059733960298,2776,2778.0,0,0,Giri
58,27.0,21.0,9.672413793103448,17.615172816910743,2776,2738.0,0,0,Giri
59,27.0,21.0,38.8125,65.70581429567756,2776,2812.0,1,-1,Giri
60,27.0,21.0,52.3013698630137,104.08432544650022,2776,2683.0,-1,-1,Giri
61,27.0,21.0,14.588235294117649,30.84683223320555,2776,2782.0,0,0,Giri
62,27.0,21.0,23.818181818181817,43.44484486627321,2776,2753.0,0,0,Giri
63,27.0,21.0,33.34090909090909,40.51008670363135,2776,2749.0,-1,1,Giri
64,27.0,21.0,35.10204081632653,62.67251022110861,2776,2792.0,1,1,Giri
65,27.0,21.0,11.892857142857142,19.114657461490893,2776,2688.0,0,0,Giri
66,27.0,21.0,13.12121212121212,12.012383130954843,2776,2778.0,0,0,Giri
67,27.0,21.0,24.594202898550726,72.00067786457448,2776,2738.0,-1,1,Giri
68,27.0,21.0,26.31578947368421,28.87354092549272,2776,2812.0,0,0,Giri
69,27.0,21.0,26.59375,46.4708437035108,2776,2683.0,1,-1,Giri
70,27.0,21.0,20.186046511627907,34.09528372213705,2776,2782.0,1,1,Giri
71,27.0,21.0,13.272727272727272,16.979280994396692,2776,2553.0,1,1,Giri
72,27.0,21.0,27.70967741935484,40.30979496217356,2776,2553.0,1,-1,Giri
73,27.0,21.0,7.75,10.277488047347966,2776,2634.0,0,0,Giri
74,27.0,21.0,13.096774193548388,13.692710563677492,2776,2634.0,0,0,Giri
75,27.0,21.0,44.13432835820896,66.23578075476709,2776,2634.0,-1,1,Giri
76,27.0,21.0,27.25,42.63244821759174,2776,2634.0,-1,-1,Giri
77,27.0,21.0,15.466666666666669,19.48250025258447,2777,2680.0,1,1,Giri
78,27.0,21.0,24.61971830985916,86.3473659449656,2777,2693.0,1,-1,Giri
79,27.0,21.0,18.21212121212121,22.15958818400848,2777,2683.0,1,1,Giri
80,27.0,21.0,40.59649122807018,109.98893769847992,2777,2727.0,1,1,Giri
