,Age,Time,Mean_CP,Std_CP,Elo,OppElo,WL,WhiteWL,Name
0,34,26,20.32608695652174,28.070589074946263,2770,2382,1,-1,Mamedyarov
1,34,26,10.425925925925926,12.181956734498854,2770,2504,1,1,Mamedyarov
2,34,26,7.9411764705882355,12.265146698242615,2770,2600,0,0,Mamedyarov
3,34,26,19.53333333333333,35.230015937954185,2770,2522,0,0,Mamedyarov
4,34,26,7.238095238095238,11.861301622944936,2770,2574,0,0,Mamedyarov
5,34,26,11.272727272727272,16.57986868025635,2770,2562,0,0,Mamedyarov
6,34,26,35.3448275862069,70.20646890324329,2770,2539,1,1,Mamedyarov
7,35,27,8.698412698412698,16.23480423065144,2764,2719,0,0,Mamedyarov
8,35,27,42.35135135135136,113.02905629778375,2764,2661,1,1,Mamedyarov
9,35,27,18.365853658536587,30.31481164180389,2764,2719,1,-1,Mamedyarov
10,35,27,19.897435897435894,26.558569706053625,2764,2686,0,0,Mamedyarov
11,35,27,40.19565217391305,114.20772878404362,2764,2682,1,1,Mamedyarov
12,35,27,14.088235294117649,32.1835339482398,2764,2719,0,0,Mamedyarov
13,35,27,10.975609756097562,17.318325272493947,2764,2661,0,0,Mamedyarov
14,35,27,18.181818181818183,21.557534013130365,2764,2719,0,0,Mamedyarov
15,35,27,10.227272727272728,12.813429778321757,2764,2686,1,1,Mamedyarov
16,35,27,56.125,117.81635518206755,2764,2682,1,-1,Mamedyarov
17,35,27,48.62857142857143,103.6016368580336,2764,2581,-1,1,Mamedyarov
18,35,27,19.27083333333333,23.761885790316743,2764,2581,1,1,Mamedyarov
19,35,27,25.634146341463413,47.5514227429427,2764,2581,1,-1,Mamedyarov
20,35,27,23.76923076923077,21.869783935665957,2764,2581,0,0,Mamedyarov
21,35,27,17.894736842105264,23.968210335476304,2764,2581,1,-1,Mamedyarov
22,35,27,81.78787878787878,227.68944825899345,2764,2581,-1,-1,Mamedyarov
23,35,27,39.87755102040816,122.64746781138297,2764,2581,0,0,Mamedyarov
24,35,27,44.44736842105263,71.0142511025014,2764,2581,-1,-1,Mamedyarov
25,35,27,33.705882352941174,56.10624629611471,2764,2581,1,-1,Mamedyarov
26,35,27,32.36507936507937,69.53840934177258,2764,2581,0,0,Mamedyarov
27,35,27,11.527272727272727,15.27992455073304,2764,2581,1,-1,Mamedyarov
28,35,27,26.0,29.795599973448727,2764,2581,1,1,Mamedyarov
29,35,27,8.362068965517242,10.973170272064571,2764,2581,0,0,Mamedyarov
30,35,27,11.176470588235292,21.37468140926535,2764,2581,0,0,Mamedyarov
31,35,27,12.051282051282053,16.516257888180355,2764,2581,0,0,Mamedyarov
32,35,27,70.57142857142857,81.15760680834018,2764,2581,-1,-1,Mamedyarov
33,35,27,16.11764705882353,25.15919899594673,2770,1722,1,1,Mamedyarov
34,35,27,32.642857142857146,29.355060495927727,2770,2140,1,-1,Mamedyarov
35,35,27,26.44047619047619,40.75650622625192,2770,2426,0,0,Mamedyarov
36,35,27,40.12244897959184,70.8565548170684,2770,2390,1,-1,Mamedyarov
37,35,27,25.76,37.16772793701546,2770,2515,1,1,Mamedyarov
38,35,27,38.26086956521739,44.88086997951997,2770,2478,1,-1,Mamedyarov
39,35,27,19.91304347826087,32.00697799412193,2770,2516,1,1,Mamedyarov
40,35,27,37.06,51.52388390101137,2770,2603,-1,-1,Mamedyarov
41,35,27,33.1,51.48910162555661,2770,2649,0,0,Mamedyarov
42,35,27,56.84615384615385,91.14432764324096,2770,2538,0,0,Mamedyarov
43,35,27,45.264150943396224,53.18442186009134,2770,2503,-1,-1,Mamedyarov
44,36,28,9.911111111111111,17.329457608652984,2770,2770,0,0,Mamedyarov
45,36,28,6.433333333333334,8.105695457551727,2770,2776,0,0,Mamedyarov
46,36,28,9.354166666666666,14.130831815622823,2770,2627,0,0,Mamedyarov
47,36,28,16.95,23.279706545446512,2770,2765,0,0,Mamedyarov
48,36,28,16.94736842105263,17.48968401491801,2770,2656,1,-1,Mamedyarov
49,36,28,14.384615384615383,18.056366984085354,2770,2781,1,1,Mamedyarov
50,36,28,15.0,23.125927238454636,2770,2820,1,-1,Mamedyarov
51,36,28,30.64,51.52902094936406,2770,2760,0,0,Mamedyarov
52,36,28,24.0,40.24673899833377,2782,2749,1,1,Mamedyarov
53,36,28,44.795918367346935,63.559020993560495,2782,2792,-1,1,Mamedyarov
54,36,28,6.9,9.640375620548358,2782,2683,0,0,Mamedyarov
55,36,28,16.855072463768117,31.99553064483652,2782,2753,0,0,Mamedyarov
56,36,28,5.333333333333333,8.43773679957194,2782,2778,0,0,Mamedyarov
57,36,28,48.71794871794872,72.10078790647258,2782,2738,-1,-1,Mamedyarov
58,36,28,9.826086956521738,11.85001792830651,2782,2653,0,0,Mamedyarov
59,36,28,6.375,9.293598212852515,2782,2776,0,0,Mamedyarov
60,36,28,52.57142857142857,141.9738406488019,2782,2688,1,-1,Mamedyarov
61,36,28,40.02702702702703,48.65495663141428,2782,2749,-1,1,Mamedyarov
62,36,28,23.75609756097561,41.12102898019753,2782,2792,1,1,Mamedyarov
63,36,28,28.680851063829788,72.50160609404779,2782,2688,1,-1,Mamedyarov
64,36,28,42.07272727272727,45.58502619056628,2782,2778,-1,-1,Mamedyarov
65,36,28,53.645833333333336,62.80177852994948,2782,2738,-1,1,Mamedyarov
66,36,28,20.0,18.79361593733361,2782,2812,1,1,Mamedyarov
67,36,28,87.51063829787235,119.96265222078324,2782,2683,-1,1,Mamedyarov
68,36,28,16.3125,24.166666666666668,2782,2753,0,0,Mamedyarov
69,36,28,17.45098039215686,27.78727314832473,2782,2776,0,0,Mamedyarov
70,36,28,4.315789473684211,9.949486454172115,2782,2749,0,0,Mamedyarov
71,36,28,26.0,47.59958960151398,2782,2792,1,-1,Mamedyarov
72,36,28,38.90909090909091,78.04260200219319,2782,2688,1,1,Mamedyarov
73,36,28,23.83333333333333,28.05250179828632,2782,2778,1,-1,Mamedyarov
74,36,28,33.94047619047619,51.37866773832978,2782,2738,1,1,Mamedyarov
75,36,28,34.46153846153846,62.296215467221295,2782,2812,1,-1,Mamedyarov
76,36,28,62.8,105.96131369514066,2782,2683,-1,-1,Mamedyarov
77,36,28,22.37254901960784,52.70672093170425,2782,2753,0,0,Mamedyarov
78,36,28,50.44186046511628,139.0053617200878,2782,2776,-1,1,Mamedyarov
79,36,28,21.15,33.68370982674426,2782,2554,0,0,Mamedyarov
80,36,28,10.633333333333333,11.9293417841178,2782,2554,0,0,Mamedyarov
81,36,28,15.523809523809524,21.35899661391138,2782,2554,1,-1,Mamedyarov
82,36,28,15.366666666666667,19.558018610125693,2782,2554,1,1,Mamedyarov
83,36,28,27.928571428571427,33.19407418269955,2782,2632,-1,1,Mamedyarov
