,Age,Time,Mean_CP,Std_CP,Elo,OppElo,WL,WhiteWL,Name
0,23,19,10.18918918918919,14.567539710370216,2752,2613,0,0,Rapport
1,23,19,12.0,15.679481938066507,2752,2545,0,0,Rapport
2,23,19,39.51724137931034,85.3323840259183,2752,2576,1,1,Rapport
3,23,19,20.18918918918919,54.51138404948998,2752,2639,1,-1,Rapport
4,24,20,23.13636363636364,54.13396181250672,2760,2654,0,0,Rapport
5,24,20,28.34285714285714,55.63375131801095,2760,2573,1,-1,Rapport
6,24,20,19.873873873873872,66.64302693075271,2760,2482,0,0,Rapport
7,24,20,26.806451612903224,41.52703485268258,2760,2615,1,-1,Rapport
8,24,20,15.0,23.122860261366167,2760,2531,0,0,Rapport
9,24,20,24.58,34.79742542669688,2760,2461,1,1,Rapport
10,24,20,13.771428571428572,15.839425335471716,2760,2688,0,0,Rapport
11,24,20,13.93103448275862,22.387705545810437,2759,2543,1,-1,Rapport
12,24,20,23.457142857142856,25.88588402192667,2759,2592,1,1,Rapport
13,24,20,15.883495145631068,72.15116225754906,2759,2564,0,0,Rapport
14,24,20,17.886363636363637,21.21892081192709,2759,2446,1,1,Rapport
15,24,20,17.306122448979593,19.59613490975607,2759,2439,1,-1,Rapport
16,24,20,35.12820512820513,39.732115796179606,2759,2668,0,0,Rapport
17,25,21,37.78260869565217,48.60722993477789,2763,2678,-1,1,Rapport
18,25,21,27.78787878787879,37.35869843135396,2763,2770,-1,1,Rapport
19,25,21,15.50943396226415,28.18116026540088,2763,2792,0,0,Rapport
20,25,21,8.13953488372093,18.090488681373344,2763,2781,0,0,Rapport
21,25,21,13.9672131147541,22.793981086473075,2763,2760,0,0,Rapport
22,25,21,21.40740740740741,45.25838544986997,2763,2759,0,0,Rapport
23,25,21,9.705882352941176,13.873376958595705,2763,2714,1,1,Rapport
24,25,21,11.520833333333334,15.18396352165503,2763,2765,0,0,Rapport
25,25,21,35.4,95.91365164265495,2763,2820,0,0,Rapport
26,25,21,13.22222222222222,17.585889004070623,2763,2792,0,0,Rapport
27,25,21,8.5,14.0735395735768,2763,2781,0,0,Rapport
28,25,21,38.270270270270274,105.41675899323737,2763,2820,0,0,Rapport
29,25,21,33.19512195121951,51.75433291628592,2763,2753,1,1,Rapport
30,25,21,15.5,25.80200747507042,2763,2765,0,0,Rapport
31,25,21,50.125,81.33538248784747,2763,2759,-1,-1,Rapport
32,25,21,23.203389830508478,38.26035116239201,2763,2760,0,0,Rapport
33,25,21,14.823529411764708,19.81959634520813,2763,2770,0,0,Rapport
34,25,21,36.2,56.5781661852776,2763,2714,-1,1,Rapport
35,25,21,7.875,9.97658549126484,2763,2792,0,0,Rapport
36,25,21,39.36734693877551,40.48852403127696,2763,2781,-1,1,Rapport
37,25,21,37.114754098360656,73.17857117140598,2763,2820,1,1,Rapport
38,25,21,17.782608695652176,31.819569829816825,2763,2753,0,0,Rapport
39,25,21,27.91379310344828,47.141550370398974,2763,2765,1,1,Rapport
40,25,21,57.11111111111112,139.8933337188598,2763,2759,1,-1,Rapport
41,25,21,26.716666666666665,38.68783878761513,2763,2760,0,0,Rapport
42,25,21,20.367346938775512,31.180050965822545,2763,2714,0,0,Rapport
43,25,21,20.875,31.75993621509805,2763,2709,1,-1,Rapport
44,25,21,9.909090909090908,12.708861141548107,2763,2736,0,0,Rapport
45,25,21,36.75471698113208,54.27030129197926,2763,2758,-1,1,Rapport
46,25,21,15.384615384615383,19.399695310433405,2763,2714,0,0,Rapport
47,25,21,21.93877551020408,43.949975428162105,2763,2772,0,0,Rapport
48,25,21,20.511111111111116,64.51941998774907,2763,2709,0,0,Rapport
49,25,21,37.92307692307692,41.02550433612223,2763,2806,1,-1,Rapport
50,25,21,27.73684210526316,43.23829897054563,2763,2710,1,1,Rapport
51,25,21,14.523809523809524,18.898727596372847,2763,2782,0,0,Rapport
52,25,21,41.16129032258065,62.440842441987854,2763,2710,-1,1,Rapport
53,25,21,39.25423728813559,62.25963246907342,2763,2709,0,0,Rapport
54,25,21,10.571428571428571,13.652916040250023,2763,2772,0,0,Rapport
55,25,21,60.25806451612903,130.6384240928463,2763,2714,-1,-1,Rapport
56,25,21,22.71875,34.12321423898985,2763,2758,1,-1,Rapport
57,25,21,44.25490196078432,127.93261400241224,2763,2782,0,0,Rapport
58,25,21,38.294117647058826,55.764988062021686,2763,2709,-1,1,Rapport
59,25,21,45.45454545454545,86.0486770681271,2763,2806,0,0,Rapport
60,25,21,17.84,17.430050678832423,2763,2736,0,0,Rapport
61,25,21,30.847826086956523,52.25449152042311,2763,2710,0,0,Rapport
62,25,21,17.11627906976744,16.29374595523077,2763,2709,1,-1,Rapport
63,25,21,15.681159420289855,27.424491390867058,2763,2714,1,-1,Rapport
64,25,21,57.09090909090909,82.90252561075992,2763,2758,-1,-1,Rapport
65,25,21,64.9,160.237932062901,2763,2782,1,-1,Rapport
66,25,21,32.625,105.58918031692453,2763,2709,-1,-1,Rapport
67,25,21,20.55555555555556,36.11380720316082,2763,2806,0,0,Rapport
68,25,21,5.696428571428571,10.02890303592054,2763,2710,0,0,Rapport
69,25,21,19.17142857142857,15.88281667545837,2763,2751,0,0,Rapport
70,25,21,27.67924528301887,52.28353674727893,2763,2782,-1,1,Rapport
71,25,21,19.864864864864863,21.588528540976675,2763,2714,1,1,Rapport
72,25,21,7.75,9.248423289044103,2763,2772,0,0,Rapport
73,25,21,15.652173913043478,24.897315688692533,2763,2709,0,0,Rapport
74,25,21,5.636363636363637,10.405926104737226,2763,2758,0,0,Rapport
75,25,21,16.653061224489797,23.78773407697772,2763,2655,0,0,Rapport
76,25,21,18.229508196721312,22.43538384087581,2763,2806,0,0,Rapport
77,25,21,21.25454545454545,49.49755631147946,2760,2642,1,-1,Rapport
78,25,21,23.695652173913043,37.20147521878812,2760,2758,0,0,Rapport
79,25,21,20.80597014925373,53.92341336814486,2760,2758,0,0,Rapport
80,25,21,6.0588235294117645,7.411735527486917,2760,2855,0,0,Rapport
81,25,21,63.75609756097561,161.32432868104627,2760,2855,0,0,Rapport
82,25,21,15.75925925925926,19.41399532644659,2760,2754,1,1,Rapport
83,25,21,47.11764705882353,58.56633677579862,2760,2792,-1,1,Rapport
84,25,21,15.771428571428572,17.20650648871579,2760,2792,0,0,Rapport
85,25,21,19.12280701754386,27.42787305919615,2760,2642,1,1,Rapport
86,25,21,25.24137931034483,40.76991940007592,2760,2758,1,1,Rapport
87,25,21,32.89473684210526,65.63080149794881,2760,2855,-1,1,Rapport
88,25,21,43.16666666666666,79.74943028765583,2760,2792,-1,-1,Rapport
89,25,21,9.176470588235292,8.118153223776075,2760,2792,0,0,Rapport
90,25,21,36.74193548387097,47.62140117071699,2760,2754,-1,1,Rapport
91,25,21,10.598130841121495,17.787986094650332,2752,2647,0,0,Rapport
92,25,21,16.88888888888889,19.72424273917726,2752,2440,1,1,Rapport
93,25,21,28.35,23.77144461212588,2752,2572,0,0,Rapport
94,25,21,21.76923076923077,38.79532089153179,2752,2610,0,0,Rapport
95,25,21,24.27586206896552,33.32941274151978,2752,2600,0,0,Rapport
96,25,21,27.58974358974359,37.609991637664,2752,2363,1,-1,Rapport
97,25,21,24.517241379310345,33.12705054532492,2763,2743,1,-1,Rapport
98,25,21,51.37037037037037,93.1517925968748,2763,2743,1,1,Rapport
99,25,21,28.84269662921348,46.8338210340087,2763,2751,0,0,Rapport
100,25,21,26.642857142857142,40.811412969553366,2763,2751,1,1,Rapport
101,25,21,26.32,34.598554883116144,2763,2792,1,1,Rapport
102,25,21,36.40425531914894,79.10495493040932,2763,2792,-1,1,Rapport
103,25,21,56.578947368421055,86.15499282137519,2763,2792,-1,-1,Rapport
104,25,21,18.78125,34.12381098011258,2763,2579,0,0,Rapport
105,25,21,26.29268292682927,52.50392552106892,2763,2579,1,-1,Rapport
106,25,21,17.175,31.4543931137424,2763,2656,1,1,Rapport
107,25,21,25.22222222222222,55.1159475720746,2763,2656,1,-1,Rapport
108,25,21,52.22727272727273,75.32066754769812,2763,2767,-1,1,Rapport
109,25,21,30.693548387096776,112.22614591327095,2763,2767,0,0,Rapport
110,25,21,26.676470588235293,52.29445801115952,2763,2697,1,1,Rapport
111,25,21,21.34285714285714,24.32977219634517,2763,2697,0,0,Rapport
112,25,21,24.97560975609756,37.19105255627894,2763,2743,1,-1,Rapport
113,25,21,47.801980198019805,81.91874264195954,2763,2751,1,1,Rapport
114,25,21,56.96078431372549,109.89812751531552,2763,2792,0,0,Rapport
115,25,21,35.80769230769231,87.55803367277203,2763,2579,1,1,Rapport
116,25,21,73.98360655737704,215.69086611809956,2763,2656,1,-1,Rapport
117,25,21,62.52,84.1848759180254,2763,2767,-1,1,Rapport
118,25,21,49.4,102.78217876259698,2763,2697,-1,-1,Rapport
119,25,21,35.59574468085106,56.46648085155902,2763,2792,-1,1,Rapport
120,25,21,40.41935483870968,143.18250973725426,2763,2743,0,0,Rapport
121,25,21,15.7,21.642975011465943,2763,2751,0,0,Rapport
122,25,21,12.576923076923077,13.254955531945258,2763,2792,0,0,Rapport
123,25,21,18.34285714285714,31.678479294627888,2763,2579,0,0,Rapport
124,25,21,45.55357142857143,97.93224367208867,2763,2656,-1,-1,Rapport
125,25,21,37.8421052631579,76.10561023849974,2763,2697,1,-1,Rapport
126,25,21,30.0,47.08699592440768,2763,2575,1,-1,Rapport
127,25,21,22.92452830188679,26.84273935393372,2763,2616,1,1,Rapport
128,25,21,36.44615384615385,55.198231054432,2763,2573,-1,1,Rapport
129,25,21,18.261904761904763,28.345481442985072,2763,2702,0,0,Rapport
130,25,21,23.928571428571427,42.38579654942114,2763,2503,1,1,Rapport
131,25,21,22.804878048780488,28.55977898390946,2763,2674,0,0,Rapport
132,25,21,28.82857142857143,33.27999373787918,2763,2623,1,1,Rapport
133,25,21,17.324324324324323,25.161758963039805,2763,2693,0,0,Rapport
134,25,21,37.375,82.92745483829493,2763,2680,-1,-1,Rapport
135,25,21,26.69117647058824,57.623393195571,2763,2677,0,0,Rapport
136,25,21,32.45454545454545,32.92942032657723,2763,2682,1,-1,Rapport
137,25,21,19.794117647058822,35.47750410728901,2763,2643,1,-1,Rapport
138,25,21,28.11111111111111,88.95518534633044,2763,2655,1,1,Rapport
139,25,21,40.0,49.71466973738007,2763,2631,0,0,Rapport
140,25,21,41.851851851851855,86.98970040877239,2763,2567,1,1,Rapport
141,25,21,43.34146341463415,69.43220065506262,2763,2474,-1,1,Rapport
142,25,21,20.5,35.60999057247037,2763,2464,1,1,Rapport
143,25,21,33.714285714285715,98.79781268939,2763,2556,-1,1,Rapport
144,25,21,38.888888888888886,59.12240793046962,2763,2654,1,1,Rapport
145,25,21,46.18367346938776,59.89945515521119,2763,2489,-1,1,Rapport
146,25,21,20.228571428571428,28.3269625396492,2763,2562,1,1,Rapport
147,25,21,25.06,24.00800036722453,2763,2623,1,-1,Rapport
148,25,21,32.520833333333336,63.93447096843912,2763,2664,1,1,Rapport
149,25,21,67.26470588235294,100.33800718707997,2763,2575,-1,1,Rapport
150,25,21,22.7027027027027,33.63288089841312,2763,2601,0,0,Rapport
151,25,21,65.55737704918033,149.62392016766168,2763,2568,-1,1,Rapport
152,25,21,57.083333333333336,90.90697757283854,2763,2616,1,1,Rapport
153,25,21,52.05128205128205,149.4458093508266,2763,2579,-1,1,Rapport
154,25,21,38.1551724137931,50.523505637471125,2763,2639,-1,-1,Rapport
155,25,21,49.036144578313255,70.77936273966094,2763,2674,-1,1,Rapport
156,25,21,30.83333333333333,37.06679315062937,2763,2509,1,1,Rapport
157,25,21,85.82142857142857,233.5718777548403,2763,2508,-1,1,Rapport
158,25,21,73.77777777777777,96.17909492531938,2763,2572,1,1,Rapport
159,25,21,27.454545454545453,46.13437635666252,2763,2669,1,-1,Rapport
160,25,21,24.925,49.59445145764408,2763,2760,-1,1,Rapport
161,25,21,19.91304347826087,41.92523826843127,2763,2702,1,1,Rapport
162,25,21,23.451612903225808,29.999820787995187,2763,2672,1,-1,Rapport
163,25,21,15.782608695652174,16.519840748019362,2763,2708,0,0,Rapport
164,25,21,27.0,44.78342947514801,2763,2612,1,1,Rapport
165,25,21,48.266666666666666,63.955767760891256,2763,2865,-1,1,Rapport
166,25,21,12.035714285714286,11.764611538681788,2763,2767,0,0,Rapport
167,25,21,14.681818181818182,14.9455722496708,2763,2743,0,0,Rapport
168,25,21,13.637931034482758,20.10385166540566,2763,2727,0,0,Rapport
169,25,21,22.666666666666668,30.202298948732665,2763,2792,1,-1,Rapport
170,25,21,18.142857142857142,22.652285765903805,2763,2714,0,0,Rapport
171,25,21,30.68421052631579,38.30896850176435,2763,2686,-1,1,Rapport
172,25,21,18.84313725490196,24.79223471090866,2763,2704,1,1,Rapport
173,25,21,24.73333333333333,33.91708067599452,2763,2681,0,0,Rapport
174,25,21,11.678571428571429,17.524120668233405,2763,2686,0,0,Rapport
175,25,21,17.473684210526315,27.69999049971337,2763,2681,0,0,Rapport
176,25,21,18.92105263157895,27.1021589092799,2763,2704,1,-1,Rapport
177,25,21,21.39130434782609,29.61116775878059,2763,2686,1,-1,Rapport
178,25,21,8.86046511627907,14.489045772498748,2763,2686,0,0,Rapport
179,25,21,18.41379310344828,13.345724947871377,2763,2736,0,0,Rapport
180,25,21,37.92857142857143,49.81744104941777,2763,2736,-1,1,Rapport
181,25,21,21.91891891891892,26.003609128113112,2763,2704,0,0,Rapport
182,25,21,5.566666666666666,11.403820694696211,2763,2704,0,0,Rapport
183,25,21,26.28205128205128,29.077888794308,2763,2727,1,1,Rapport
184,25,21,10.761904761904765,11.54378625761237,2763,2704,0,0,Rapport
185,25,21,22.78688524590164,38.605748602204464,2763,2727,1,-1,Rapport
186,25,21,10.551724137931034,14.423656676487498,2763,2704,0,0,Rapport
187,25,21,18.25,50.38785284456676,2762,2761,1,1,Rapport
188,25,21,15.923076923076923,19.68685133241513,2762,2761,0,0,Rapport
189,25,21,7.583333333333333,9.640317125785556,2762,2724,0,0,Rapport
190,25,21,19.711111111111112,28.851990810642054,2762,2724,1,1,Rapport
191,26,22,19.94736842105263,23.65397785919528,2776,2765,0,0,Rapport
192,26,22,11.083333333333334,17.821936723359453,2776,2759,0,0,Rapport
193,26,22,35.588235294117645,82.69877301885155,2776,2671,-1,-1,Rapport
194,26,22,15.391304347826088,31.795512094822133,2776,2804,0,0,Rapport
195,26,22,7.204081632653061,11.984329337091165,2776,2753,0,0,Rapport
196,26,22,6.46,9.00160983334852,2776,2776,0,0,Rapport
197,26,22,38.96296296296296,100.386361884579,2776,2750,-1,-1,Rapport
198,26,22,11.411764705882351,19.41254900376377,2776,2786,0,0,Rapport
199,26,22,19.78048780487805,39.33224643668472,2776,2773,0,0,Rapport
200,26,22,20.580645161290324,33.20720222436532,2776,2644,1,-1,Rapport
201,26,22,23.19148936170213,31.699429632691,2776,2765,0,0,Rapport
202,26,22,50.62222222222222,58.89987223666066,2776,2750,-1,1,Rapport
203,26,22,29.020408163265305,47.75784830611541,2776,2518,1,1,Rapport
204,26,22,9.9,19.39531543619655,2776,2786,1,-1,Rapport
205,26,22,20.33333333333333,32.11969800605228,2776,2671,1,-1,Rapport
206,26,22,20.257142857142856,23.333065224550104,2776,2696,1,1,Rapport
207,26,22,61.75,151.10592311355634,2776,2776,-1,1,Rapport
208,26,22,34.8,39.38856209014759,2776,2751,1,1,Rapport
209,26,22,52.659574468085104,72.91516112273302,2776,2786,-1,1,Rapport
210,26,22,50.14634146341464,111.84702095970628,2776,2765,-1,1,Rapport
211,26,22,60.76712328767123,131.90069081488136,2776,2696,-1,-1,Rapport
212,26,22,29.01492537313433,37.94273697309534,2776,2750,0,0,Rapport
213,26,22,19.36842105263158,19.53710406578679,2776,2671,1,1,Rapport
214,26,22,31.956521739130437,52.595714452262754,2776,2518,1,-1,Rapport
215,26,22,65.79729729729729,163.49278227374143,2776,2644,0,0,Rapport
216,26,22,28.94915254237288,38.07588780354378,2776,2751,0,0,Rapport
217,26,22,29.64516129032258,48.54137892567891,2776,2776,-1,-1,Rapport
218,26,22,68.02083333333333,101.0450688540332,2776,2786,-1,-1,Rapport
219,26,22,47.29090909090909,75.38854238697233,2776,2765,-1,-1,Rapport
220,26,22,51.45588235294117,103.8522822669086,2776,2696,1,-1,Rapport
221,26,22,39.9622641509434,55.86865168346989,2776,2750,-1,-1,Rapport
222,26,22,51.2,81.22078752715106,2776,2671,-1,1,Rapport
223,26,22,20.035714285714285,33.21253906768875,2776,2518,1,1,Rapport
224,26,22,31.022222222222226,61.81404992133074,2776,2644,1,-1,Rapport
225,26,22,57.0566037735849,108.33839703844257,2776,2751,-1,-1,Rapport
226,26,22,31.45,65.52233911481582,2776,2776,-1,1,Rapport
227,26,22,14.441176470588236,18.08469490038566,2764,2750,0,0,Rapport
228,26,22,20.661016949152543,36.16037561288909,2764,2793,0,0,Rapport
229,26,22,22.225,31.082592621957453,2764,2806,0,0,Rapport
230,26,22,11.395348837209305,17.215911155068863,2764,2760,0,0,Rapport
231,26,22,13.217391304347826,17.941715033405274,2764,2783,0,0,Rapport
