,Age,Time,Mean_CP,Std_CP,Elo,OppElo,WL,WhiteWL,Name
0,27,21,9.76086956521739,12.674006264106415,2770,2770,0,0,So
1,27,21,10.93103448275862,14.68704734131103,2770,2781,0,0,So
2,27,21,7.869565217391305,9.43544741833633,2770,2776,0,0,So
3,27,21,18.764705882352946,21.629228590307253,2770,2820,1,1,So
4,27,21,5.472222222222222,11.450479992711754,2770,2627,0,0,So
5,27,21,11.120481927710845,15.413327769681828,2770,2780,0,0,So
6,27,21,8.08108108108108,14.58191112756254,2770,2765,0,0,So
7,27,21,9.743589743589745,15.055542691048943,2770,2760,0,0,So
8,27,21,4.371428571428571,7.050597447716605,2770,2656,0,0,So
9,27,21,59.28169014084507,116.69718849576842,2770,2759,0,0,So
10,27,21,19.151515151515152,18.776849463037607,2770,2763,1,1,So
11,27,21,13.934782608695652,19.92028800986912,2770,2714,0,0,So
12,27,21,13.488888888888887,33.061665677544696,2770,2792,0,0,So
13,27,21,15.8125,29.0121637449069,2770,2765,0,0,So
14,27,21,30.724137931034484,37.84828412012146,2770,2781,0,0,So
15,27,21,17.689655172413794,18.67217840278468,2770,2820,1,-1,So
16,27,21,16.76923076923077,16.37634316276425,2770,2760,1,1,So
17,27,21,12.28125,13.06863858694275,2770,2678,0,0,So
18,27,21,32.91304347826087,70.13695367302034,2770,2765,1,1,So
19,27,21,23.870967741935484,30.00900622789478,2770,2760,1,-1,So
20,27,21,15.689655172413794,37.348841489276936,2770,2714,0,0,So
21,27,21,45.7037037037037,95.24858763936317,2770,2781,-1,1,So
22,27,21,23.743589743589745,26.91577305979168,2770,2753,0,0,So
23,27,21,17.6875,22.52516513848742,2770,2759,1,-1,So
24,27,21,15.857142857142858,16.036984565359532,2770,2763,0,0,So
25,27,21,5.891891891891892,8.58546505497578,2770,2792,0,0,So
26,27,21,32.90277777777778,77.53021395999313,2770,2820,0,0,So
27,27,21,40.31666666666667,79.63592828269367,2770,2760,1,1,So
28,27,21,14.5,26.83122498408042,2770,2714,0,0,So
29,27,21,20.75,35.36056511450844,2770,2781,1,1,So
30,27,21,46.92307692307692,91.11455618164496,2770,2753,1,-1,So
31,27,21,18.285714285714285,21.627926293734124,2770,2759,1,1,So
32,27,21,20.288888888888888,26.08693701507103,2770,2792,1,-1,So
33,27,21,19.89130434782609,28.605538128030418,2772,2709,0,0,So
34,27,21,7.046153846153846,12.001862836179289,2772,2710,0,0,So
35,27,21,29.725,41.88873387488604,2772,2709,1,1,So
36,27,21,10.015384615384615,22.492007127319354,2772,2758,0,0,So
37,27,21,16.367346938775512,27.690773040213703,2772,2763,0,0,So
38,27,21,41.869565217391305,73.6634264425496,2772,2806,-1,-1,So
39,27,21,21.11320754716981,36.27335342038205,2772,2782,0,0,So
40,27,21,13.526315789473683,15.40536231219262,2772,2736,0,0,So
41,27,21,8.709090909090909,12.882190875423394,2772,2714,0,0,So
42,27,21,57.10869565217392,115.17488697355851,2772,2758,0,0,So
43,27,21,32.75,53.17557857572163,2772,2782,1,1,So
44,27,21,20.03125,31.702736602137616,2772,2709,0,0,So
45,27,21,13.892857142857142,14.23958823196349,2772,2763,0,0,So
46,27,21,25.97435897435897,56.50826077453176,2772,2710,1,1,So
47,27,21,36.04081632653061,64.75046949111434,2772,2709,-1,1,So
48,27,21,41.78048780487805,56.30076029465408,2772,2806,-1,1,So
49,27,21,24.41176470588235,54.511534127569526,2772,2714,1,1,So
50,27,21,23.282608695652176,30.59387233016752,2772,2758,1,1,So
51,27,21,48.2,72.9819659021239,2772,2782,-1,1,So
52,27,21,15.8,26.317239624422523,2772,2709,0,0,So
53,27,21,18.282608695652176,41.06074797363767,2772,2710,0,0,So
54,27,21,19.3125,23.440298220056015,2772,2709,1,1,So
55,27,21,67.76744186046511,121.85057930364322,2772,2806,-1,-1,So
56,27,21,19.22448979591837,24.8480929064674,2772,2782,0,0,So
57,27,21,8.266666666666667,9.675179115090888,2772,2655,1,-1,So
58,27,21,14.851851851851851,11.743095201022808,2772,2714,1,1,So
59,27,21,15.660377358490566,24.948364672957265,2772,2806,0,0,So
60,27,21,12.625,9.061824687482464,2772,2763,0,0,So
61,27,21,10.836363636363636,16.090903384122708,2772,2710,0,0,So
62,27,21,16.060606060606062,14.781617371627917,2772,2709,0,0,So
63,27,21,9.040816326530612,18.264217274579863,2772,2751,0,0,So
64,27,21,6.088235294117647,7.87542263246416,2772,2758,0,0,So
65,27,21,9.708333333333334,12.27514065150312,2778,2700,0,0,So
66,27,21,14.774193548387096,19.2279478492798,2778,2647,1,1,So
67,27,21,5.825,11.121444980825936,2778,2607,0,0,So
68,28,22,19.64,52.58237981174556,2778,2800,0,0,So
69,28,22,12.89655172413793,14.281218504400924,2778,2645,0,0,So
70,28,22,4.611111111111111,5.43679410670757,2778,2760,0,0,So
71,28,22,26.08823529411765,33.75254661284167,2778,2554,1,-1,So
72,28,22,5.878048780487805,11.070670986781291,2778,2714,0,0,So
73,28,22,20.5,37.94165211897396,2778,2623,0,0,So
74,28,22,23.379310344827587,31.19571146476873,2778,2654,0,0,So
75,28,22,9.36,10.230184097398572,2669,0,0,0,So
76,28,22,28.91111111111111,43.86540478980831,2778,2800,1,-1,So
77,28,22,20.34375,28.670102866698905,2778,2654,1,1,So
78,28,22,11.18,22.166061574269012,2778,2704,0,0,So
79,28,22,9.838709677419354,11.18956887520262,2778,2682,0,0,So
80,28,22,11.13888888888889,12.853354821163624,2778,2761,0,0,So
81,28,22,13.275862068965518,15.127780858228387,2778,2704,0,0,So
82,28,22,25.303571428571427,33.792371190097775,2778,2761,1,-1,So
83,28,22,11.755102040816327,14.343306528721705,2778,2682,0,0,So
84,28,22,16.38888888888889,22.06886021513047,2778,2704,1,-1,So
85,28,22,36.23076923076923,62.38187217219839,2778,2704,0,0,So
86,28,22,25.80952380952381,34.256083586318084,2778,2623,1,-1,So
87,28,22,34.724137931034484,57.86739555207488,2778,2623,-1,1,So
88,28,22,13.738095238095235,19.0763031697668,2778,2623,1,1,So
89,28,22,34.47826086956522,45.32683244095525,2778,2623,1,1,So
90,28,22,14.578125,23.06154958896831,2778,2750,1,1,So
91,28,22,23.142857142857142,40.76648738248725,2778,2750,0,0,So
92,28,22,14.379310344827584,18.85549141895396,2778,2750,0,0,So
93,28,22,52.57142857142857,161.9056162442445,2778,2693,-1,-1,So
94,28,22,17.64864864864865,19.04704149703543,2778,2693,0,0,So
95,28,22,17.329113924050635,27.95404723643988,2778,2685,0,0,So
96,28,22,15.27027027027027,26.47603596614268,2778,2685,1,1,So
97,28,22,59.19444444444444,140.7792231919884,2778,2785,-1,-1,So
98,28,22,20.11111111111111,30.407507090440618,2778,2785,0,0,So
99,28,22,23.12727272727273,35.662021787607586,2778,2561,1,-1,So
100,28,22,36.0,55.72519445724077,2778,2652,1,1,So
101,28,22,9.970588235294118,18.047891330060576,2778,0,0,0,So
102,28,22,48.52702702702703,154.59467312350594,2778,2709,0,0,So
103,28,22,65.59322033898304,97.55036164306104,2778,2781,-1,-1,So
104,28,22,11.115384615384617,24.44975146924798,2778,2674,0,0,So
105,28,22,25.2,34.00857734944721,2778,2421,1,1,So
106,28,22,33.31428571428572,47.0148733841508,2778,2693,1,-1,So
107,28,22,20.61111111111111,28.12551234101246,2778,2785,0,0,So
108,28,22,19.235294117647054,26.77281325172543,2776,2759,1,1,So
109,28,22,14.608695652173912,16.708025100735227,2776,2750,0,0,So
110,28,22,12.95,16.41754845998322,2776,2786,0,0,So
111,28,22,8.789473684210526,13.41472650552537,2776,2773,1,1,So
112,28,22,6.051282051282051,8.503710391255902,2776,2765,0,0,So
113,28,22,7.26530612244898,11.22641140013896,2776,2776,0,0,So
114,28,22,8.916666666666666,7.070555397080798,2776,2671,0,0,So
115,28,22,7.351351351351352,12.286433838036835,2776,2804,0,0,So
116,28,22,33.93150684931507,57.20074998710032,2776,2765,1,1,So
117,28,22,87.8076923076923,184.40067611435944,2776,2750,-1,1,So
118,28,22,12.86111111111111,14.345039516507397,2776,2753,0,0,So
119,28,22,11.857142857142858,22.749542119934333,2776,2671,0,0,So
120,28,22,38.793103448275865,52.440700735173806,2776,2751,-1,-1,So
121,28,22,24.52380952380953,25.73337786519831,2776,2644,1,-1,So
122,28,22,38.31168831168832,96.9891827582442,2776,2765,0,0,So
123,28,22,18.93548387096774,36.46461161978424,2776,2750,1,-1,So
124,28,22,19.234375,26.572895958159595,2776,2518,0,0,So
125,28,22,17.956043956043956,29.74630213728237,2776,2786,0,0,So
126,28,22,45.54166666666666,71.25947740874456,2776,2776,1,1,So
127,28,22,8.266666666666667,16.82179322405098,2776,2696,0,0,So
128,28,22,40.6578947368421,144.7167366095143,2776,2696,-1,-1,So
129,28,22,52.07142857142857,90.34902319909918,2776,2750,1,-1,So
130,28,22,53.96875,61.086128711580194,2776,2671,1,1,So
131,28,22,38.13559322033898,59.57911507113265,2776,2518,0,0,So
132,28,22,28.384615384615383,46.277574226829984,2776,2644,1,1,So
133,28,22,34.0,33.51570267175366,2776,2751,-1,1,So
134,28,22,17.176470588235293,29.029212651496,2776,2765,0,0,So
135,28,22,58.42857142857143,99.15237403769476,2776,2786,-1,-1,So
136,28,22,13.34920634920635,26.58289453046872,2776,2776,1,-1,So
137,28,22,14.56,14.528936643815332,2776,2696,0,0,So
138,28,22,56.35849056603774,61.72865384381958,2776,2750,-1,-1,So
139,28,22,27.625,47.75458093209488,2776,2671,1,-1,So
140,28,22,36.3015873015873,71.50967336337519,2776,2518,1,1,So
141,28,22,29.885057471264368,58.45937275148149,2776,2644,0,0,So
142,28,22,10.16,9.104394543296111,2776,2751,0,0,So
143,28,22,48.13636363636363,70.48964493661494,2776,2765,-1,1,So
144,28,22,33.58227848101266,134.5798407194603,2776,2786,-1,1,So
145,28,22,21.725,37.086169583268834,2776,2776,1,1,So
146,28,22,85.34482758620689,167.05394249892308,2776,2744,-1,1,So
147,28,22,22.675,33.30849395020389,2776,2751,0,0,So
148,28,22,17.896551724137932,23.97197900413044,2776,2759,0,0,So
149,28,22,31.595744680851062,51.6689544220108,2776,2750,1,1,So
150,28,22,40.266666666666666,71.26172021753042,2776,2654,1,-1,So
151,28,22,23.294117647058822,47.16799724759762,2776,2864,1,-1,So
152,28,22,21.76923076923077,30.999751860049063,2776,2730,1,1,So
153,28,22,38.51851851851852,72.7558458504408,2776,2753,1,-1,So
154,28,22,18.513513513513512,15.332647849934142,2776,2753,1,1,So
155,28,22,22.163265306122447,31.43269724001288,2776,2864,1,1,So
156,28,22,6.108108108108108,8.23199646293448,2776,2864,0,0,So
157,28,22,37.70454545454545,88.07649411771371,2776,2761,0,0,So
158,28,22,8.1,14.78664355376861,2776,2761,0,0,So
159,28,22,25.33333333333333,29.781253783598117,2776,2751,0,0,So
160,28,22,29.488888888888887,56.57080126315654,2776,2751,1,1,So
161,28,22,66.94736842105263,109.13714342041716,2776,2759,-1,1,So
162,28,22,10.217391304347826,12.429200463207168,2776,2759,0,0,So
163,28,22,10.925,16.10941622589846,2776,2654,0,0,So
164,28,22,35.92857142857143,91.6223406713916,2776,2654,1,1,So
165,28,22,21.55263157894737,36.77741475594591,2776,2750,-1,1,So
