,Age,Time,Mean_CP,Std_CP,Elo,OppElo,WL,WhiteWL,Name
0,44,36,16.458333333333332,16.64456868370781,2738,2400,1,1,Topalov
1,44,36,6.774193548387097,7.482021462231335,2738,2501,0,0,Topalov
2,44,36,28.09090909090909,65.22334878916237,2738,2522,1,1,Topalov
3,44,36,21.90625,25.6364811677942,2738,2586,1,-1,Topalov
4,44,36,20.96875,29.65662018787276,2738,2686,0,0,Topalov
5,44,36,28.28125,30.46016369917675,2738,2602,-1,1,Topalov
6,44,36,36.15625,51.38872050594464,2738,2526,1,1,Topalov
7,44,36,11.382978723404255,15.551531717499952,2738,2562,0,0,Topalov
8,44,36,28.489795918367346,36.07060347948381,2738,2600,1,1,Topalov
9,44,36,24.41935483870968,48.23053955987388,2738,2626,0,0,Topalov
10,45,37,27.83333333333333,42.80881147173604,2735,2467,1,1,Topalov
11,45,37,17.625,26.20483826294482,2735,2418,1,1,Topalov
12,45,37,21.0,22.79528460010973,2735,2392,0,0,Topalov
13,45,37,15.323529411764708,26.60681228356843,2735,2662,0,0,Topalov
14,45,37,53.927536231884055,110.86562067770308,2735,2607,-1,1,Topalov
15,45,37,57.58227848101266,117.95301189564762,2735,2679,-1,-1,Topalov
16,45,37,12.75,14.851957620505464,2735,2397,0,0,Topalov
17,46,38,22.069767441860463,33.29406879027098,2735,2639,0,0,Topalov
18,46,38,36.067796610169495,62.18738767982362,2735,2667,1,-1,Topalov
19,46,38,21.68888888888889,30.207481179203256,2735,2654,0,0,Topalov
20,46,38,43.96153846153846,66.89528297168073,2735,2617,-1,-1,Topalov
21,46,38,16.82608695652174,24.014166511388957,2730,2447,1,1,Topalov
22,46,38,42.26984126984127,59.60980822877367,2730,2602,1,1,Topalov
23,46,38,62.42857142857143,94.79155634042073,2730,2396,-1,1,Topalov
24,46,38,21.68421052631579,26.12765466989096,2730,2527,0,0,Topalov
25,46,38,14.376811594202898,20.9636249736898,2730,2662,0,0,Topalov
26,46,38,52.12244897959184,90.86772269189366,2730,2364,1,1,Topalov
27,46,38,8.448275862068966,10.16150370936644,2730,2575,0,0,Topalov
28,46,38,42.07692307692308,85.56304018765255,2730,2447,-1,1,Topalov
29,46,38,16.15625,23.83695880012192,2730,2602,0,0,Topalov
30,46,38,38.21428571428572,41.42376819446261,2730,2396,1,1,Topalov
31,46,38,37.76190476190476,83.45688145017414,2730,2527,1,-1,Topalov
32,46,38,23.424242424242426,25.768234202975453,2730,2662,0,0,Topalov
33,46,38,24.05,32.60324822577952,2730,2364,0,0,Topalov
34,46,38,9.9,12.242457995753051,2730,2575,0,0,Topalov
35,46,38,64.36,98.5460467666427,2730,2525,-1,1,Topalov
36,46,38,51.19047619047619,110.7684095443976,2730,2525,0,0,Topalov
37,46,38,11.393939393939394,27.578228951860048,2730,2525,1,1,Topalov
38,46,38,26.976744186046517,38.66676213376537,2730,2525,1,1,Topalov
39,46,38,27.553571428571427,80.85136073355561,2730,2580,0,0,Topalov
40,46,38,33.625,40.38576005703762,2730,2580,1,1,Topalov
41,46,38,17.428571428571427,20.19429433799368,2730,2479,1,1,Topalov
42,46,38,26.046511627906977,49.048093319479136,2730,2639,-1,1,Topalov
43,46,38,23.525,36.021082083002185,2730,2452,1,1,Topalov
44,46,38,25.727272727272727,33.5423117981021,2730,2704,0,0,Topalov
45,46,38,62.5925925925926,179.73287500952455,2730,2588,-1,-1,Topalov
46,46,38,22.63157894736842,27.09883916196469,2730,2385,0,0,Topalov
