,Age,Time,Mean_CP,Std_CP,Elo,OppElo,WL,WhiteWL,Name
0,25,18,23.7027027027027,38.18331046510749,2726,2644,-1,1,Yu
1,25,18,8.9,9.204009620999331,2726,2872,0,0,Yu
2,25,18,26.0,42.38744687019864,2726,2822,-1,1,Yu
3,25,18,12.096774193548388,14.14061488222177,2726,2758,0,0,Yu
4,25,18,21.666666666666668,31.74718976493848,2726,2747,0,0,Yu
5,25,18,13.057142857142855,19.73492404066345,2726,2723,0,0,Yu
6,25,18,9.03125,9.254412635375973,2726,2660,0,0,Yu
7,25,18,20.507462686567163,33.8012789494127,2726,2758,-1,-1,Yu
8,25,18,20.97959183673469,25.594994461741905,2726,2731,0,0,Yu
9,25,18,6.956521739130435,10.921856825729726,2726,2765,0,0,Yu
10,25,18,7.738095238095238,13.15583803230231,2726,2768,0,0,Yu
11,25,18,37.0,51.774710908465465,2726,2683,-1,1,Yu
12,25,18,24.96875,27.93134945286505,2726,2712,0,0,Yu
13,26,19,11.775,17.361152478583197,2709,2638,0,0,Yu
14,26,19,41.46341463414634,95.38215177929662,2709,0,1,-1,Yu
15,26,19,26.47058823529412,33.48019341578907,2709,2594,1,1,Yu
16,26,19,24.551020408163264,37.47057802712784,2709,1658,1,-1,Yu
17,26,19,12.217391304347826,14.515758553269327,2709,2560,0,0,Yu
18,26,19,18.131386861313867,50.70340769355594,2709,2422,0,0,Yu
19,26,19,23.47945205479452,35.49143464314903,2709,2408,1,1,Yu
20,26,19,12.966666666666669,15.358886753239982,2709,2618,0,0,Yu
21,26,19,27.634146341463413,33.1170319454816,2709,2732,1,1,Yu
22,26,19,24.433333333333334,46.392391865353375,2709,2615,0,0,Yu
23,26,19,12.620689655172416,18.145077634568885,2709,2554,0,0,Yu
24,26,19,20.59016393442623,39.36427189266105,2709,2561,0,0,Yu
25,26,19,43.5625,78.17035012868055,2709,2638,-1,1,Yu
26,26,19,52.77922077922078,130.74308106646887,2709,2615,0,0,Yu
27,26,19,18.214285714285715,30.053233837833467,2709,2506,0,0,Yu
28,26,19,22.232142857142858,39.98681194931812,2709,2527,1,-1,Yu
29,26,19,12.029411764705882,16.26948304130689,2709,2554,1,1,Yu
30,26,19,24.42372881355932,25.727486569165084,2709,0,1,-1,Yu
31,26,19,20.26530612244898,36.189187790349344,2709,2524,1,1,Yu
32,26,19,8.512195121951219,11.40859752822299,2709,2618,0,0,Yu
33,26,19,24.854166666666668,32.474533120869346,2709,2732,1,1,Yu
34,26,19,33.32727272727273,45.08019789690639,2709,2560,-1,1,Yu
35,27,20,27.766666666666666,67.1753666536884,2705,2564,1,1,Yu
36,27,20,17.91891891891892,32.06489855532369,2705,2564,1,-1,Yu
37,27,20,60.55555555555556,131.01372762194362,2705,2613,-1,1,Yu
38,27,20,12.655737704918034,15.722473560587977,2705,2613,0,0,Yu
39,27,20,9.333333333333334,11.017529891599144,2704,2630,0,0,Yu
40,27,20,10.416666666666666,19.578864137226013,2704,2629,1,-1,Yu
41,27,20,17.1875,21.30036725414119,2704,2640,1,1,Yu
42,27,20,8.482758620689655,12.693138443537045,2704,2770,0,0,Yu
43,27,20,6.956521739130435,11.382952659709908,2704,2646,0,0,Yu
44,27,20,10.67741935483871,12.589379377804118,2704,2654,0,0,Yu
45,27,20,12.32258064516129,16.797593273589708,2704,2643,0,0,Yu
46,27,20,7.365853658536586,7.415376246560168,2704,2649,0,0,Yu
47,27,20,39.09375,62.298117496023806,2704,2654,1,1,Yu
48,27,20,29.375,36.181421172961656,2704,2659,0,0,Yu
49,27,20,23.157894736842103,41.532485700004194,2704,2763,0,0,Yu
50,27,20,12.314285714285717,17.589721979830472,2713,2767,0,0,Yu
51,27,20,11.285714285714286,15.369127627605074,2713,2682,0,0,Yu
52,27,20,8.135135135135135,10.643626580578008,2713,2761,0,0,Yu
53,27,20,16.233333333333334,18.329707060385346,2713,2767,0,0,Yu
54,27,20,10.285714285714286,12.276680459997444,2713,2761,0,0,Yu
55,27,20,32.52439024390244,50.89719136779339,2713,2682,-1,-1,Yu
56,27,20,31.387096774193548,36.6657673398997,2713,2771,0,0,Yu
57,27,20,16.40909090909091,14.005642029482573,2713,2726,0,0,Yu
58,27,20,9.482758620689657,12.28128858308784,2713,2623,0,0,Yu
59,27,20,18.128205128205128,35.90351066779688,2713,2771,0,0,Yu
60,27,20,33.6231884057971,72.63812429743264,2713,2623,0,0,Yu
61,27,20,13.11111111111111,17.018843252143363,2713,2726,0,0,Yu
62,27,20,25.980392156862745,36.79809244842913,2710,2644,0,0,Yu
63,27,20,26.594594594594597,30.87920862855014,2710,2685,1,-1,Yu
64,27,20,33.27927927927928,115.22406402477276,2710,2684,0,0,Yu
65,27,20,23.153846153846157,38.507643557714935,2710,2603,1,1,Yu
66,27,20,17.82608695652174,18.25778902012458,2710,2567,0,0,Yu
67,27,20,9.666666666666666,12.273920433464506,2710,2703,0,0,Yu
68,28,21,7.05,12.247344034419708,2710,0,0,0,Yu
69,28,21,26.370967741935484,30.246112808619376,2710,2615,1,1,Yu
