,Age,Time,Mean_CP,Std_CP,Elo,OppElo,WL,WhiteWL,Name
0,13.0,6.0,30.64814814814815,51.43860873122496,2542,2267.0,1,1,gukesh
1,13.0,6.0,21.814814814814813,37.47908804294868,2542,2388.0,0,0,gukesh
2,13.0,6.0,22.94736842105263,43.12016357113153,2542,2383.0,1,1,gukesh
3,13.0,6.0,53.84,103.16397950189138,2542,2679.0,-1,1,gukesh
4,13.0,6.0,28.43243243243243,43.36571901381996,2542,2403.0,1,1,gukesh
5,13.0,6.0,42.74358974358975,68.63700012948286,2542,2403.0,1,-1,gukesh
6,13.0,6.0,12.90625,20.230198039030974,2542,2654.0,0,0,gukesh
7,13.0,6.0,13.36111111111111,23.187623272251795,2542,2637.0,0,0,gukesh
8,13.0,6.0,20.84705882352941,35.48323074165523,2542,2622.0,-1,-1,gukesh
9,13.0,6.0,22.11764705882353,27.313848974669455,2542,2042.0,1,1,gukesh
10,13.0,6.0,23.25925925925926,46.15991650488432,2542,2100.0,1,-1,gukesh
11,13.0,6.0,30.15217391304348,44.70891901638338,2542,2310.0,1,1,gukesh
12,13.0,6.0,14.333333333333334,18.67778490942668,2542,2315.0,1,-1,gukesh
13,13.0,6.0,20.89655172413793,21.473147396534596,2542,2567.0,0,0,gukesh
14,13.0,6.0,23.054054054054053,21.15543789555188,2542,2335.0,1,-1,gukesh
15,13.0,6.0,59.03333333333333,59.97441025185217,2542,2058.0,1,1,gukesh
16,13.0,6.0,36.23255813953488,79.31577553086154,2542,2229.0,1,1,gukesh
17,13.0,6.0,10.5,13.256724359386098,2542,2247.0,1,-1,gukesh
18,13.0,6.0,22.62121212121212,28.660755882197662,2542,2314.0,1,1,gukesh
19,13.0,6.0,15.238095238095235,20.856425297506668,2542,2421.0,0,0,gukesh
20,13.0,6.0,17.939393939393938,20.72127438458388,2542,2430.0,1,1,gukesh
21,13.0,6.0,31.70731707317073,68.64049983358511,2542,2377.0,0,0,gukesh
22,13.0,6.0,19.846153846153847,22.70804669308623,2542,2292.0,1,1,gukesh
23,13.0,6.0,21.642857142857142,25.785060364077,2542,2567.0,0,0,gukesh
24,14.0,7.0,26.154929577464788,53.18744424534906,2542,2417.0,1,1,gukesh
25,14.0,7.0,49.42857142857143,74.5799347456584,2542,2448.0,1,1,gukesh
26,14.0,7.0,19.952380952380956,28.93695939534109,2563,1981.0,1,1,gukesh
27,14.0,7.0,11.0,19.326540081327323,2563,2679.0,0,0,gukesh
28,14.0,7.0,20.46875,27.963677546144783,2563,1923.0,1,1,gukesh
29,14.0,7.0,6.019607843137255,10.863674042701948,2563,2665.0,0,0,gukesh
30,14.0,7.0,18.34426229508197,25.97876392100649,2563,2604.0,1,1,gukesh
31,14.0,7.0,8.842105263157896,14.1619703257976,2563,2663.0,0,0,gukesh
32,14.0,7.0,9.708333333333334,11.070835821973944,2563,2574.0,0,0,gukesh
33,14.0,7.0,38.11594202898551,45.34752611187493,2563,2598.0,-1,1,gukesh
34,14.0,7.0,39.10416666666666,79.25671716840192,2563,2559.0,-1,-1,gukesh
35,14.0,7.0,20.68,48.45162535973381,2563,1981.0,1,-1,gukesh
36,14.0,7.0,18.155555555555555,24.32914036103765,2563,2244.0,1,1,gukesh
37,14.0,7.0,31.515625,58.14732034320445,2563,2348.0,1,-1,gukesh
38,14.0,7.0,10.818181818181818,17.363443710542484,2563,2533.0,0,0,gukesh
39,14.0,7.0,16.194444444444443,13.56638586347983,2563,2242.0,1,-1,gukesh
40,14.0,7.0,21.37037037037037,32.89978740654735,2563,2588.0,1,1,gukesh
41,14.0,7.0,22.7948717948718,34.18147100949522,2563,2324.0,1,-1,gukesh
42,14.0,7.0,37.0,18.384776310850235,2563,2179.0,0,0,gukesh
43,14.0,7.0,14.03225806451613,22.750067942708423,2563,2002.0,1,-1,gukesh
44,14.0,7.0,12.6,15.72948399238407,2563,2149.0,1,1,gukesh
45,14.0,7.0,12.666666666666666,13.401361543815993,2563,2295.0,1,-1,gukesh
46,14.0,7.0,42.410714285714285,82.15612117641174,2563,2635.0,1,1,gukesh
47,14.0,7.0,32.35897435897436,52.69349664231879,2563,1874.0,1,-1,gukesh
48,14.0,7.0,22.93548387096774,27.271395861929484,2563,2058.0,1,1,gukesh
49,14.0,7.0,14.771428571428572,14.820664655822156,2563,2659.0,0,0,gukesh
50,14.0,7.0,11.548387096774194,13.650002954034894,2563,1923.0,1,1,gukesh
51,15.0,8.0,28.47826086956522,41.57454374670918,2563,1831.0,1,-1,gukesh
52,15.0,8.0,26.423076923076923,42.606265339194486,2563,1853.0,1,1,gukesh
53,15.0,8.0,12.737704918032788,20.34609023813033,2578,2514.0,0,0,gukesh
54,15.0,8.0,10.482758620689657,10.87467795797444,2578,2514.0,0,0,gukesh
55,15.0,8.0,22.127659574468087,36.93037928276052,2578,2514.0,1,-1,gukesh
56,15.0,8.0,61.6,94.15137998426351,2578,2514.0,0,0,gukesh
57,15.0,8.0,14.5531914893617,21.40988039955862,2578,2714.0,0,0,gukesh
58,15.0,8.0,20.01818181818182,31.66636895128525,2578,2714.0,0,0,gukesh
59,15.0,8.0,36.6578947368421,54.24532677133728,2578,2714.0,-1,1,gukesh
60,15.0,8.0,23.043478260869566,50.11323494981689,2578,2714.0,0,0,gukesh
61,15.0,8.0,19.085714285714285,26.3141333401915,2578,2197.0,1,1,gukesh
62,15.0,8.0,38.67346938775511,106.08867905261737,2578,2393.0,-1,1,gukesh
63,15.0,8.0,39.958333333333336,50.45486934459062,2578,2296.0,0,0,gukesh
64,15.0,8.0,25.91489361702128,37.95468109253801,2578,2349.0,1,-1,gukesh
65,15.0,8.0,15.95,31.55539922642371,2578,2407.0,1,1,gukesh
66,15.0,8.0,14.771428571428572,16.259089248579617,2578,2503.0,0,0,gukesh
67,15.0,8.0,44.23076923076923,71.17157236250021,2578,2527.0,1,-1,gukesh
68,15.0,8.0,12.651162790697674,17.092025042232322,2578,2625.0,1,-1,gukesh
69,15.0,8.0,29.512820512820515,34.37400470893805,2578,2606.0,0,0,gukesh
