,Age,Time,Mean_CP,Std_CP,Elo,OppElo,WL,WhiteWL,Name
0,16.0,8.0,30.578125,43.20853997287228,2459,2430.0,1,1,niemann
1,16.0,8.0,34.45070422535211,72.10068133864605,2459,2591.0,-1,1,niemann
2,16.0,8.0,28.483870967741936,63.91341589355708,2459,2394.0,1,1,niemann
3,16.0,8.0,63.92592592592592,97.00116015401603,2459,2513.0,-1,1,niemann
4,16.0,8.0,47.06666666666667,67.76577307166207,2459,2362.0,-1,-1,niemann
5,16.0,8.0,34.04545454545455,66.4612148067809,2459,2430.0,1,-1,niemann
6,17.0,9.0,6.428571428571429,6.528326555791126,2459,2525.0,0,0,niemann
7,17.0,9.0,26.4,42.2231087094604,2459,2319.0,1,1,niemann
8,17.0,9.0,14.923076923076923,29.011615710846687,2465,2331.0,1,1,niemann
9,17.0,9.0,9.76923076923077,17.63398040594538,2465,2367.0,0,0,niemann
10,17.0,9.0,21.83333333333333,26.08749645451568,2465,2517.0,1,1,niemann
11,17.0,9.0,16.86,22.029673865317324,2465,2470.0,0,0,niemann
12,17.0,9.0,20.020408163265305,25.363597434708115,2465,2353.0,1,1,niemann
13,17.0,9.0,17.964285714285715,16.240055972484143,2465,2427.0,1,-1,niemann
14,17.0,9.0,14.6,11.802542099056456,2465,2574.0,0,0,niemann
15,17.0,9.0,14.0,22.616968690062617,2465,2342.0,1,-1,niemann
16,17.0,9.0,7.0,7.106335201775948,2465,2561.0,0,0,niemann
17,17.0,9.0,14.444444444444445,16.89864203313694,2465,2101.0,1,-1,niemann
18,17.0,9.0,23.0,25.38998154372503,2465,2634.0,-1,-1,niemann
19,17.0,9.0,28.244897959183675,39.70701586424668,2465,2085.0,-1,1,niemann
20,17.0,9.0,34.575,42.89216502477836,2465,2131.0,1,1,niemann
21,17.0,9.0,18.925,20.470601183661238,2465,2084.0,1,-1,niemann
22,17.0,9.0,33.25,81.3404084584825,2465,2255.0,-1,-1,niemann
23,17.0,9.0,21.425,48.07360142371438,2465,2331.0,1,-1,niemann
24,17.0,9.0,49.26315789473684,78.54889481236935,2465,2238.0,1,1,niemann
25,17.0,9.0,39.463157894736845,90.17238933527408,2465,2588.0,-1,1,niemann
26,17.0,9.0,32.644067796610166,51.11203472287682,2465,2315.0,0,0,niemann
27,17.0,9.0,65.36,94.40112993674032,2465,2266.0,1,-1,niemann
28,17.0,9.0,37.325581395348834,61.56592676061406,2465,2339.0,1,1,niemann
29,17.0,9.0,26.875,37.41345084789461,2465,2566.0,0,0,niemann
30,17.0,9.0,30.704545454545453,66.13783336422632,2478,2079.0,1,-1,niemann
31,17.0,9.0,38.389830508474574,71.44180582079579,2478,2291.0,1,1,niemann
32,17.0,9.0,42.63157894736842,52.69413068122821,2478,2581.0,-1,1,niemann
33,17.0,9.0,18.33333333333333,35.27647060763127,2478,2276.0,1,1,niemann
34,17.0,9.0,23.25,27.18220632004569,2478,2318.0,1,-1,niemann
35,17.0,9.0,19.228571428571428,27.212762700275626,2478,2558.0,1,1,niemann
36,17.0,9.0,20.267857142857142,31.574725837104456,2478,2626.0,0,0,niemann
37,17.0,9.0,40.66666666666666,45.17195753037981,2478,1946.0,1,1,niemann
38,17.0,9.0,15.566666666666666,19.39726844141993,2478,2157.0,1,-1,niemann
39,17.0,9.0,24.61111111111111,41.565323295133055,2478,2619.0,0,0,niemann
40,17.0,9.0,41.47058823529412,80.30276531755965,2478,2485.0,-1,-1,niemann
41,17.0,9.0,27.0752688172043,47.444529752749794,2478,2660.0,-1,1,niemann
42,17.0,9.0,15.61904761904762,13.309681402934446,2478,2557.0,1,1,niemann
43,17.0,9.0,36.17460317460318,92.29240692958506,2478,2549.0,-1,1,niemann
44,17.0,9.0,22.791666666666668,48.181376438007554,2478,2293.0,0,0,niemann
45,17.0,9.0,34.208333333333336,52.14359701962388,2478,2278.0,1,1,niemann
46,17.0,9.0,19.11627906976744,21.652239851501104,2478,2304.0,1,-1,niemann
47,17.0,9.0,28.647058823529413,46.317523046644766,2478,2581.0,1,1,niemann
48,17.0,9.0,12.833333333333334,17.351098122614776,2478,2562.0,0,0,niemann
49,17.0,9.0,24.405405405405407,57.733323450470415,2484,2527.0,1,1,niemann
50,17.0,9.0,32.509433962264154,55.09838146495826,2484,2485.0,0,0,niemann
51,17.0,9.0,14.7,14.962366583970043,2484,2510.0,0,0,niemann
52,17.0,9.0,38.21153846153846,59.43107279254683,2484,2560.0,0,0,niemann
53,17.0,9.0,39.22916666666666,110.15274493317024,2484,2619.0,1,1,niemann
54,17.0,9.0,28.84,22.95952961190625,2484,2552.0,0,0,niemann
55,17.0,9.0,31.09090909090909,47.54737896828012,2484,2506.0,0,0,niemann
56,17.0,9.0,33.15384615384615,59.973789146721295,2484,2309.0,1,1,niemann
57,17.0,9.0,19.08333333333333,34.03929727337579,2484,2504.0,1,-1,niemann
58,17.0,9.0,27.0,47.05103612036615,2484,2380.0,1,1,niemann
59,17.0,9.0,18.35211267605634,41.08704995548189,2484,2433.0,1,-1,niemann
60,17.0,9.0,14.483870967741936,21.78511872470431,2484,2187.0,1,1,niemann
61,17.0,9.0,43.77586206896552,76.01108947336573,2484,2378.0,-1,1,niemann
62,17.0,9.0,25.94117647058824,44.39883411293856,2484,2442.0,1,1,niemann
63,17.0,9.0,16.466666666666665,13.705403869937408,2484,2335.0,1,1,niemann
64,17.0,9.0,33.575,60.68173353497844,2484,2443.0,-1,1,niemann
65,17.0,9.0,14.862068965517242,21.222838335036005,2525,2309.0,1,1,niemann
66,17.0,9.0,33.878787878787875,62.98301238020335,2525,2376.0,-1,-1,niemann
67,17.0,9.0,18.204545454545453,22.0006126188008,2525,2314.0,1,-1,niemann
68,17.0,9.0,15.96774193548387,18.660982237398866,2525,2295.0,1,1,niemann
69,17.0,9.0,13.328125,20.010358180797503,2525,2433.0,0,0,niemann
70,17.0,9.0,50.3968253968254,74.51207732427474,2525,2380.0,-1,-1,niemann
