,Age
0,21
1,21
2,21
3,21
4,21
5,21
6,21
7,21
8,21
9,21
10,21
11,21
12,21
13,21
14,21
15,21
16,21
17,21
18,21
19,21
20,21
21,21
22,22
23,22
24,22
25,22
26,22
27,22
28,22
29,22
30,22
31,22
32,22
33,22
34,22
35,22
36,22
37,22
38,22
39,22
40,22
41,22
42,22
43,22
44,22
45,22
46,22
47,22
48,22
49,22
50,23
51,23
52,23
53,23
54,23
55,23
56,23
57,23
58,23
59,23
60,23
61,23
62,23
63,23
64,23
65,23
66,23
67,23
68,23
69,23
70,23
71,23
72,23
73,23
74,23
75,23
76,23
77,23
78,23
79,23
80,23
81,23
82,23
83,23
84,23
85,23
86,23
87,23
88,23
89,23
90,23
91,23
92,23
93,23
94,23
95,23
96,23
97,23
98,23
99,23
100,23
101,23
102,23
103,23
104,23
105,23
106,23
107,23
108,23
109,23
110,23
111,23
112,23
113,23
114,23
115,23
116,23
117,23
118,23
119,23
120,23
121,23
122,23
123,23
124,23
125,23
126,23
127,23
128,23
129,23
130,23
131,23
132,23
133,23
134,23
135,23
136,23
137,23
138,23
139,23
140,23
141,23
142,23
143,23
144,23
145,23
146,23
147,23
148,23
149,23
150,23
151,23
152,23
153,23
154,23
155,23
156,23
157,23
158,23
159,23
160,23
161,23
162,23
163,23
164,23
165,23
166,23
167,23
168,23
169,23
170,23
171,23
172,23
173,23
174,23
175,23
176,23
177,23
178,23
179,23
180,23
181,23
182,23
183,23
184,23
185,23
186,23
187,23
188,23
189,23
190,23
191,23
192,23
193,23
194,23
195,23
196,23
197,23
198,23
199,23
200,23
201,23
202,23
203,23
204,23
205,23
206,24
207,24
208,24
209,24
210,24
211,24
212,24
213,24
214,24
215,24
216,24
217,24
218,24
219,24
220,24
221,24
222,24
223,24
224,24
225,24
226,24
227,24
228,24
229,24
230,24
231,24
232,24
233,24
234,24
235,24
236,24
237,24
238,24
239,24
240,24
241,24
242,24
243,24
244,24
245,24
246,24
247,24
248,24
249,24
250,24
251,24
252,24
253,24
254,24
255,24
256,24
257,24
258,24
259,24
260,24
261,24
262,24
263,24
264,24
265,24
266,24
267,24
268,24
269,24
270,24
271,24
272,24
273,24
274,24
275,24
276,24
277,24
278,24
279,24
280,24
281,24
282,24
283,24
284,24
285,24
286,24
287,24
288,24
289,24
290,24
291,24
292,24
293,24
294,24
295,24
296,24
297,24
298,24
299,24
300,24
