,Age
0,33
1,33
2,33
3,33
4,33
5,33
6,33
7,33
8,33
9,33
10,33
11,33
12,33
13,33
14,34
15,34
16,34
17,34
18,34
19,34
20,34
21,34
22,34
23,34
24,34
25,34
26,34
27,34
28,34
29,34
30,34
31,34
32,34
33,34
34,34
35,34
36,34
37,34
38,34
39,34
40,34
41,34
42,34
43,34
44,34
45,34
46,34
47,34
48,34
49,34
50,34
51,34
52,34
53,34
54,34
55,34
56,34
57,34
58,34
59,34
60,34
61,34
62,34
63,34
64,34
65,34
66,34
67,34
68,34
69,34
70,34
71,34
72,34
73,35
74,35
75,35
76,35
77,35
78,35
79,35
80,35
81,35
82,35
83,35
84,35
85,35
86,35
87,35
88,35
89,35
90,35
91,35
92,35
93,35
94,35
95,35
96,35
97,35
98,35
99,35
100,35
101,35
102,35
103,35
104,35
105,35
106,35
107,35
108,35
109,35
110,35
111,35
112,35
113,35
114,35
115,35
116,35
117,35
118,35
119,35
120,35
121,35
122,35
123,35
124,35
125,35
126,35
127,35
128,35
129,35
130,35
131,35
132,35
133,35
134,35
135,35
136,35
137,35
138,35
139,35
140,35
141,35
142,35
143,35
144,35
145,35
146,35
147,35
148,35
149,35
150,35
151,35
152,35
153,35
154,35
155,35
156,35
157,35
158,36
159,36
160,36
161,36
162,36
163,36
164,36
165,36
166,36
167,36
168,36
169,36
170,36
171,36
172,36
173,36
174,36
175,36
176,36
