,Age
0,16
1,16
2,16
3,16
4,16
5,16
6,16
7,16
8,17
9,17
10,17
11,17
12,17
13,17
14,17
15,17
16,17
17,17
18,17
19,17
20,17
21,17
22,17
23,17
24,17
25,17
26,17
27,17
28,17
29,17
30,17
31,17
32,17
33,17
34,17
35,17
36,17
37,17
38,17
39,17
40,17
41,17
42,17
43,17
44,17
45,17
46,17
47,17
48,17
49,17
50,17
51,17
52,17
53,17
54,17
55,17
56,17
57,17
58,17
59,17
60,17
61,17
62,17
63,17
64,17
65,17
66,17
67,17
68,17
69,17
70,17
71,17
72,17
73,17
74,17
75,17
76,17
77,17
78,17
79,17
80,17
81,17
82,17
83,17
84,17
85,17
86,17
87,17
88,17
89,17
90,17
91,17
92,17
93,17
94,17
95,17
96,17
97,17
98,17
99,17
100,17
101,17
102,17
103,17
104,17
105,17
106,17
107,17
108,17
109,17
110,17
111,17
112,17
113,17
114,17
115,17
116,17
117,17
118,17
119,17
120,17
121,17
122,17
123,17
124,17
125,17
126,17
127,17
128,17
129,17
130,17
131,17
132,17
133,17
134,17
135,17
136,17
137,17
138,17
139,17
140,17
141,17
142,17
143,17
144,17
145,17
146,17
147,17
148,17
149,17
150,17
151,17
152,17
153,17
154,17
155,17
156,18
157,18
158,18
159,18
160,18
161,18
162,18
163,18
164,18
165,18
166,18
167,18
168,18
169,18
170,18
171,18
172,18
173,18
174,18
175,18
176,18
177,18
178,18
179,18
180,18
181,18
182,18
183,18
184,18
185,18
186,18
187,18
188,18
189,18
190,18
191,18
192,18
193,18
194,18
195,18
196,18
197,18
198,18
199,18
200,18
201,18
202,18
203,18
204,18
205,18
206,18
207,18
208,18
209,18
210,18
211,18
212,18
213,18
214,18
215,18
216,18
217,18
218,18
219,18
220,18
221,18
222,18
223,18
224,18
225,18
226,18
227,18
228,18
229,18
230,18
231,18
232,18
233,18
234,18
235,18
236,18
237,18
238,18
239,18
240,18
241,18
242,18
243,18
244,18
245,18
246,18
247,18
248,18
249,18
250,18
251,18
252,18
253,18
254,18
255,18
256,18
257,18
258,18
259,18
260,18
261,18
262,18
263,18
264,18
265,18
266,18
267,18
268,18
269,18
270,18
271,18
272,18
273,18
274,18
275,18
276,18
277,18
278,18
279,18
280,18
281,18
282,18
283,18
284,18
285,18
286,18
287,18
288,18
289,18
290,18
291,18
292,18
293,18
294,18
295,18
296,18
297,18
298,18
299,18
300,18
301,18
302,18
303,18
304,18
305,18
306,18
307,18
308,18
309,18
310,18
311,18
312,18
313,18
314,18
315,18
316,18
317,18
318,18
319,18
320,18
321,18
322,18
323,18
324,18
325,18
326,18
327,18
328,18
329,18
330,18
331,18
332,19
333,19
334,19
335,19
336,19
337,19
338,19
339,19
340,19
341,19
342,19
343,19
344,19
345,19
346,19
347,19
348,19
349,19
350,19
351,19
352,19
353,19
354,19
355,19
356,19
357,19
358,19
359,19
