,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234
0,21,33,32,41,9,1,0,53,2,31,19,46,5,24,14,12,-1,26,18,98.0,69.0,76.0,61.0,68.0,71.0,73.0,49.0,63.0,51.0,69.0,50.0,103.0,91.0,122.0,100.0,152.0,146.0,153.0,130.0,160.0,96.0,152.0,87.0,99.0,84.0,140.0,116.0,158.0,148.0,586.0,583.0,658.0,661.0,641.0,643.0,739.0,739.0,752.0,702.0,824.0,832.0,968.0,879.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,37,37,26,63,42,45,28,28,25,34,28,38,10,12,-9,-6,-11,2,0,0.0,-14.0,0.0,0.0,0.0,-18.0,-3.0,-42.0,-16.0,-48.0,-36.0,-43.0,-29.0,-55.0,-41.0,-48.0,-44.0,-36.0,-22.0,-26.0,-21.0,-51.0,-21.0,-48.0,-23.0,-35.0,-10.0,-23.0,-4.0,-5.0,-13.0,-40.0,-25.0,-8.0,0.0,-10.0,-1.0,-12.0,-7.0,-4.0,-4.0,-2.0,0.0,-3.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,31,22,58,32,43,27,48,48,62,30,47,34,36,28,50,19,32,23,69.0,44.0,70.0,73.0,49.0,63.0,53.0,8.0,23.0,7.0,15.0,9.0,8.0,-12.0,14.0,0.0,5.0,0.0,0.0,-1.0,0.0,-4.0,0.0,-18.0,-5.0,-15.0,-2.0,0.0,-7.0,-10.0,-18.0,-12.0,-11.0,-10.0,-4.0,-4.0,0.0,0.0,0.0,-14.0,0.0,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,27,34,23,34,1,11,6,8,0,8,17,49,12,55,16,45,39,37,21,22.0,7.0,-12.0,-42.0,-36.0,-35.0,-36.0,-52.0,-43.0,-45.0,-40.0,-53.0,-54.0,-52.0,-48.0,-63.0,-66.0,-63.0,-61.0,-76.0,-31.0,-77.0,-51.0,-63.0,-43.0,-92.0,-63.0,-81.0,-27.0,-44.0,-24.0,-72.0,-29.0,-126.0,-87.0,-137.0,-96.0,-128.0,-94.0,-111.0,-94.0,-126.0,-92.0,-102.0,-92.0,-145.0,-76.0,-542.0,-526.0,-572.0,-550.0,-775.0,-827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,31,37,34,37,29,123,111,119,105,111,95,99,77,59,69,80,53,73,76,77.0,44.0,62.0,81.0,88.0,56.0,78.0,42.0,34.0,50.0,53.0,38.0,54.0,14.0,29.0,-12.0,-25.0,-101.0,-87.0,-166.0,-110.0,-164.0,-157.0,-192.0,-142.0,-179.0,-174.0,-163.0,-170.0,-144.0,-149.0,-193.0,-184.0,-158.0,-178.0,-197.0,-165.0,-149.0,-174.0,-168.0,-14.0,-17.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,40,48,36,37,25,38,42,39,25,38,21,32,31,44,34,41,25,48,44,42.0,4.0,12.0,-11.0,-15.0,44.0,33.0,24.0,25.0,1.0,25.0,0.0,55.0,20.0,15.0,17.0,28.0,14.0,13.0,23.0,13.0,16.0,18.0,3.0,71.0,45.0,52.0,44.0,75.0,65.0,28.0,41.0,28.0,40.0,20.0,11.0,3.0,10.0,13.0,12.0,14.0,18.0,22.0,24.0,15.0,14.0,13.0,11.0,7.0,13.0,15.0,13.0,8.0,15.0,9.0,6.0,7.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,1.0,8.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,18,36,25,79,29,46,25,53,55,51,55,60,42,44,32,52,29,44,26,46.0,41.0,41.0,32.0,56.0,39.0,42.0,35.0,68.0,25.0,28.0,21.0,47.0,29.0,43.0,47.0,65.0,23.0,31.0,31.0,75.0,8.0,34.0,0.0,0.0,0.0,14.0,0.0,4.0,-4.0,1.0,3.0,6.0,1.0,12.0,5.0,1.0,5.0,3.0,0.0,7.0,0.0,4.0,6.0,4.0,9.0,15.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,27,41,35,54,56,53,48,33,37,35,33,42,43,45,40,44,-27,0,-28,0.0,-7.0,-16.0,-20.0,-25.0,-40.0,-46.0,-53.0,-24.0,-39.0,-25.0,-35.0,-31.0,-1.0,0.0,3.0,4.0,0.0,0.0,4.0,5.0,4.0,0.0,-2.0,-2.0,0.0,-2.0,-3.0,-1.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11,34,23,25,10,24,5,10,-6,0,1,27,12,27,20,27,13,49,35,59.0,35.0,49.0,48.0,71.0,16.0,26.0,16.0,49.0,19.0,111.0,19.0,123.0,100.0,147.0,154.0,167.0,145.0,173.0,172.0,133.0,100.0,123.0,81.0,105.0,89.0,77.0,92.0,97.0,91.0,190.0,139.0,203.0,189.0,224.0,211.0,202.0,160.0,195.0,186.0,189.0,159.0,254.0,245.0,251.0,187.0,171.0,151.0,168.0,200.0,214.0,105.0,131.0,99.0,263.0,265.0,294.0,275.0,274.0,255.0,282.0,271.0,277.0,277.0,246.0,230.0,286.0,290.0,311.0,292.0,305.0,249.0,236.0,237.0,225.0,215.0,235.0,225.0,244.0,246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,16,27,28,32,34,50,21,44,40,44,37,36,30,34,15,27,2,13,-26,46.0,12.0,28.0,-21.0,25.0,25.0,14.0,0.0,23.0,0.0,13.0,0.0,15.0,0.0,12.0,-54.0,37.0,0.0,0.0,0.0,0.0,0.0,46.0,21.0,54.0,0.0,50.0,42.0,55.0,40.0,41.0,36.0,62.0,7.0,8.0,-139.0,-124.0,-162.0,-140.0,-116.0,-114.0,-121.0,-128.0,-105.0,-131.0,-145.0,-119.0,-135.0,-130.0,-152.0,-154.0,-148.0,-146.0,-163.0,-133.0,-148.0,-137.0,-151.0,-139.0,-165.0,-144.0,-244.0,-67.0,-83.0,-63.0,-87.0,-81.0,-87.0,-72.0,-112.0,-85.0,-238.0,-59.0,-86.0,-224.0,-237.0,-233.0,-223.0,-247.0,-257.0,-50.0,-45.0,-31.0,-35.0,-39.0,-37.0,0.0,-19.0,-41.0,-50.0,-41.0,-41.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
