,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257
0,43,36,34,42,18,22,13,36,20,19,19,23,29,70,-46,-31,-63,-34,-53,52,48,36,34,27,29,34,32,37,20,50,36,31,17,35,17,25,21,14,11,24,16,30,23,94,84,145,87,175,102,334,341,359,27,109,103,87,111,231,145,129,54.0,47.0,39.0,40.0,43.0,43.0,30.0,33.0,34.0,25.0,7.0,22.0,18.0,17.0,15.0,31.0,18.0,25.0,25.0,20.0,0.0,0.0,12.0,13.0,4.0,21.0,12.0,23.0,0.0,28.0,3.0,14.0,11.0,29.0,21.0,25.0,4.0,4.0,4.0,16.0,17.0,36.0,43.0,52.0,50.0,84.0,70.0,97.0,72.0,44.0,37.0,199.0,193.0,180.0,204.0,172.0,184.0,257.0,252.0,235.0,267.0,444.0,474.0,475.0,663.0,881.0,875.0,921.0,807.0,910.0,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,40,51,54,30,33,14,37,28,38,20,25,29,35,21,25,-3,21,-3,11,0,10,-11,19,2,11,0,0,11,3,0,0,0,21,8,10,5,17,0,36,34,30,2,0,0,-13,-40,-40,-48,-39,-50,-38,-53,-64,-51,-1,-22,-11,-21,-22,-11.0,-4.0,-24.0,-17.0,-26.0,-26.0,-12.0,-6.0,-24.0,-28.0,-10.0,-7.0,-45.0,-105.0,-76.0,-76.0,-249.0,-226.0,-216.0,-265.0,-291.0,-281.0,-870.0,-938.0,-927.0,-975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,24,35,18,26,22,19,25,47,25,22,16,21,18,68,53,54,56,95,51,68,60,61,36,43,53,65,58,59,-20,-7,-21,-8,-16,-15,0,39,23,51,31,33,21,11,1,5,3,19,5,5,7,3,0,2,6,0,-2,-1,0,9,3,10,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,39,56,23,35,21,50,29,27,11,23,0,33,22,45,38,33,31,53,11,-12,-15,-6,-16,-10,-23,-21,-23,-11,-26,21,12,26,16,13,-4,21,13,11,6,14,1,12,11,14,9,18,5,7,13,9,4,12,15,12,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,26,46,29,47,36,42,32,44,36,50,24,34,25,46,16,31,25,23,24,17,9,18,11,15,0,11,7,10,6,0,7,23,5,22,0,0,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,25,54,35,39,18,62,46,52,40,57,53,81,40,60,94,84,42,52,25,6,19,1,0,2,-4,6,-16,31,4,30,32,25,23,23,20,20,30,17,22,32,22,19,17,26,13,22,15,18,15,12,6,5,6,6,4,5,5,6,7,6,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,14,40,16,46,38,41,1,39,22,44,22,32,24,41,23,31,6,24,6,34,10,36,10,27,10,21,13,12,6,12,10,14,15,21,18,18,7,21,22,1,0,7,6,2,25,39,35,28,30,40,24,34,18,28,37,37,33,39,40,38,37.0,37.0,28.0,33.0,17.0,29.0,26.0,34.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,25,49,35,45,36,56,26,38,27,35,31,28,37,36,21,24,23,14,23,28,20,24,25,30,24,16,19,30,41,38,20,96,35,22,33,61,10,30,26,42,28,22,34,40,39,58,11,16,-1,5,-47,14,-6,-16,0,-14,-11,-16,-22,-14,-25.0,-23.0,-60.0,0.0,0.0,8.0,7.0,11.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,32,32,35,29,21,29,17,43,23,15,7,5,0,7,0,22,5,28,-4,6,8,4,23,38,39,45,32,25,66,17,28,93,77,100,40,75,101,154,146,131,170,154,153,141,128,164,158,160,117,145,119,141,109,158,158,217,175,175,187,202,210.0,219.0,225.0,240.0,226.0,370.0,150.0,202.0,154.0,148.0,134.0,150.0,13.0,39.0,14.0,27.0,9.0,30.0,33.0,34.0,38.0,58.0,38.0,37.0,30.0,38.0,40.0,30.0,11.0,25.0,25.0,31.0,10.0,18.0,15.0,17.0,21.0,22.0,17.0,26.0,23.0,31.0,23.0,29.0,31.0,25.0,29.0,8.0,3.0,6.0,3.0,3.0,3.0,2.0,13.0,25.0,20.0,25.0,21.0,12.0,0.0,0.0,9.0,9.0,39.0,25.0,22.0,14.0,11.0,11.0,17.0,19.0,4.0,9.0,10.0,19.0,41.0,26.0,23.0,23.0,29.0,25.0,18.0,18.0,20.0,16.0,0.0,0.0,0.0,22.0,1.0,11.0,11.0,12.0,18.0,13.0,12.0,18.0,14.0,14.0,20.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,50.0,50.0,47.0,46.0,45.0,45.0,45.0,42.0,45.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,43.0,42.0,43.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,0.0,0.0
9,35,50,32,43,26,28,28,35,20,36,23,31,7,34,25,35,18,23,38,36,-12,10,0,-2,-16,-6,-25,-14,-28,-19,-39,-43,-42,-12,-19,0,-10,0,0,-9,-40,-5,-10,-16,-15,-4,-6,-3,-4,-3,-10,-8,-1,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,24,31,30,47,7,65,55,71,26,46,0,17,8,19,10,23,12,31,17,21,10,17,17,88,28,63,40,54,32,78,27,91,41,242,251,240,152,235,214,256,130,160,134,161,169,169,175,159,151,159,120,278,268,365,367,535,578,567,597,575,563.0,575.0,492.0,605.0,592.0,704.0,625.0,659.0,569.0,641.0,650.0,666.0,634.0,692.0,707.0,727.0,725.0,753.0,762.0,691.0,698.0,732.0,781.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,29,39,22,24,18,35,23,57,26,22,14,38,24,34,35,54,40,48,44,49,14,30,-9,16,15,3,12,18,15,65,5,23,16,44,0,0,-54,-65,-42,1,-54,-31,-54,-40,-52,-43,-124,-46,-81,14,8,23,25,22,21,23,17,21,13,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,23,41,31,46,41,49,33,51,30,36,29,36,27,55,44,41,35,51,27,37,32,33,35,30,26,40,34,39,21,31,10,30,16,24,4,33,20,22,0,22,18,19,0,0,0,6,-7,-2,0,1,-14,1,7,22,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
