,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226
0,10,39,16,40,15,16,7,13,-1,32,29,23,20,32,17,15,4,12,-15,-11,-24,-19,-32,-2,-60,0,-52,-12,-49,-40,-46,-25,-21,-5,-5,-8,-12,-4,-155,-67,-83.0,-95.0,-82.0,-81.0,-69.0,-100.0,-91.0,-14.0,-110.0,-63.0,-75.0,-57.0,-72.0,-61.0,-64.0,-51.0,-54.0,-59.0,-156.0,-99.0,-192.0,-79.0,-79.0,-95.0,-89.0,-103.0,-117.0,-119.0,-242.0,-166.0,-224.0,-195.0,-184.0,-206.0,-202.0,-74.0,-84.0,-65.0,-35.0,-39.0,-56.0,-45.0,-49.0,-26.0,-22.0,-18.0,-12.0,-23.0,-30.0,-18.0,-30.0,-13.0,-19.0,-7.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25,31,18,37,40,31,48,78,73,71,76,102,83,76,63,84,64,84,59,72,53,54,71,66,56,35,35,65,52,66,39,62,69,76,66,81,48,66,51,82,75.0,78.0,63.0,74.0,30.0,57.0,39.0,48.0,57.0,101.0,109.0,126.0,58.0,52.0,52.0,32.0,43.0,42.0,43.0,23.0,16.0,11.0,24.0,23.0,9.0,10.0,0.0,8.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,-2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,25,45,27,33,28,14,4,26,10,21,20,50,8,19,-19,-6,-21,-24,-16,0,-8,39,22,104,64,99,97,122,76,54,79,102,63,84,76,90,60,68,63,497,502.0,528.0,562.0,691.0,714.0,700.0,667.0,720.0,710.0,706.0,651.0,617.0,628.0,738.0,763.0,785.0,762.0,747.0,737.0,786.0,796.0,781.0,800.0,809.0,793.0,800.0,802.0,767.0,716.0,744.0,707.0,731.0,764.0,767.0,762.0,862.0,884.0,902.0,896.0,883.0,847.0,852.0,865.0,846.0,1058.0,1096.0,1134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,31,67,40,90,41,34,42,78,63,62,67,81,38,45,14,31,24,25,41,56,45,50,50,54,47,57,52,66,39,67,58,108,91,94,86,91,73,78,57,61,36.0,39.0,30.0,81.0,65.0,70.0,67.0,75.0,33.0,21.0,21.0,30.0,0.0,25.0,18.0,13.0,2.0,13.0,-3.0,1.0,-48.0,-51.0,-54.0,-40.0,-62.0,-52.0,-37.0,-39.0,-29.0,-40.0,-22.0,-20.0,-16.0,-34.0,-92.0,-87.0,-96.0,-103.0,-105.0,-117.0,-183.0,-212.0,-241.0,-258.0,-253.0,-276.0,-268.0,-253.0,-264.0,-256.0,-279.0,-255.0,-288.0,-220.0,-250.0,-252.0,-269.0,-216.0,-504.0,-577.0,-580.0,-593.0,-617.0,-446.0,-478.0,-604.0,-682.0,-687.0,-737.0,-175.0,-259.0,-230.0,-776.0,-608.0,-1036.0,-1102.0,-1282.0,-1250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,22,59,37,57,27,38,23,47,26,37,20,29,26,18,28,66,44,91,71,77,80,88,76,81,74,77,78,75,74,73,70,128,108,118,86,93,93,98,95,106,84.0,91.0,94.0,93.0,84.0,82.0,83.0,92.0,86.0,79.0,86.0,82.0,85.0,87.0,85.0,110.0,102.0,125.0,112.0,122.0,110.0,112.0,96.0,237.0,315.0,327.0,311.0,375.0,395.0,389.0,416.0,701.0,662.0,679.0,690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,23,26,18,39,28,39,28,46,43,41,29,46,3,35,34,43,49,58,45,32,5,25,28,51,51,56,2,6,-50,19,0,-8,-2,-4,4,-3,0,-5,0,14,2.0,5.0,4.0,3.0,6.0,6.0,2.0,14.0,10.0,15.0,12.0,29.0,25.0,58.0,26.0,27.0,27.0,36.0,20.0,24.0,0.0,1.0,0.0,29.0,24.0,37.0,20.0,34.0,9.0,24.0,9.0,13.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,54,39,55,12,49,36,40,19,39,31,39,47,60,44,43,32,25,36,0,-32,64,60,51,43,104,96,128,85,153,125,155,146,150,131,267,267,259,251,283,255.0,243.0,200.0,184.0,179.0,266.0,246.0,262.0,247.0,351.0,314.0,322.0,214.0,326.0,196.0,317.0,308.0,365.0,336.0,348.0,351.0,359.0,224.0,223.0,230.0,314.0,281.0,368.0,206.0,224.0,253.0,295.0,253.0,321.0,234.0,205.0,243.0,266.0,243.0,260.0,223.0,232.0,212.0,227.0,216.0,304.0,317.0,558.0,579.0,607.0,621.0,629.0,640.0,632.0,635.0,815.0,640.0,647.0,641.0,646.0,654.0,679.0,800.0,801.0,865.0,891.0,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,26,56,49,58,26,37,32,16,23,37,33,37,14,25,8,21,19,35,34,31,24,35,34,34,25,21,15,19,6,42,36,36,10,17,3,25,5,44,25,43,38.0,62.0,58.0,74.0,64.0,58.0,58.0,163.0,136.0,226.0,159.0,164.0,60.0,84.0,-2.0,0.0,-6.0,0.0,-5.0,0.0,0.0,6.0,9.0,12.0,7.0,8.0,18.0,13.0,0.0,95.0,111.0,153.0,88.0,89.0,65.0,83.0,84.0,94.0,0.0,0.0,-2.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-5.0,-4.0,-4.0,-4.0,-5.0,-3.0,-9.0,-4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,21,21,13,40,30,11,23,26,12,32,12,18,0,0,0,8,2,36,26,34,-37,42,26,52,44,48,-30,-37,-99,-65,-76,-70,-76,-16,-30,-21,-27,32,20,18,17.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,-8.0,63.0,16.0,36.0,16.0,18.0,12.0,76.0,75.0,108.0,50.0,72.0,56.0,67.0,42.0,141.0,126.0,165.0,148.0,303.0,287.0,575.0,682.0,848.0,830.0,899.0,939.0,939.0,969.0,966.0,444.0,555.0,612.0,592.0,835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,31,58,32,71,65,76,50,67,62,65,69,60,60,69,62,62,28,33,32,54,45,37,6,41,0,45,15,0,-20,17,-32,55,12,-37,-34,-39,-29,-35,-86,-90,-118.0,-115.0,-104.0,-17.0,-48.0,-1.0,-26.0,-10.0,-387.0,-447.0,-392.0,-450.0,-424.0,-436.0,-517.0,-482.0,-528.0,-543.0,-569.0,-611.0,-838.0,-874.0,-825.0,-860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,19,41,37,62,39,53,38,54,30,45,28,46,23,58,43,45,28,55,53,85,69,199,198,199,166,258,236,249,234,270,285,262,199,246,232,275,231,260,188,196,197.0,180.0,187.0,193.0,100.0,291.0,72.0,65.0,75.0,121.0,126.0,124.0,136.0,147.0,145.0,132.0,145.0,175.0,185.0,214.0,170.0,202.0,168.0,183.0,141.0,593.0,664.0,685.0,685.0,679.0,673.0,676.0,676.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
