,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190
0,10,47,38,47,47,43,26,52,27,18,18,39,37,36,8,20.0,21.0,14.0,15.0,29.0,12.0,56.0,45.0,53.0,33.0,48.0,46.0,56.0,21.0,35.0,38.0,2.0,3.0,168.0,80.0,72.0,73.0,172.0,168.0,174.0,130.0,133.0,142.0,110.0,101.0,140.0,122.0,169.0,91.0,98.0,118.0,68.0,60.0,82.0,41.0,89.0,62.0,106.0,56.0,58.0,86.0,85.0,46.0,75.0,63.0,51.0,28.0,53.0,17.0,39.0,28.0,11.0,23.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,28,41,41,50,42,44,39,36,23,35,24,11,14,17,11,14.0,-4.0,35.0,10.0,46.0,16.0,25.0,11.0,27.0,28.0,49.0,20.0,36.0,23.0,0.0,0.0,0.0,19.0,33.0,0.0,-5.0,-2.0,-15.0,-13.0,0.0,-12.0,-7.0,-16.0,0.0,-25.0,38.0,-63.0,-77.0,-89.0,-36.0,-60.0,-48.0,-40.0,-46.0,-96.0,0.0,-9.0,3.0,-17.0,-16.0,-27.0,-29.0,-34.0,-33.0,-32.0,-13.0,-37.0,-37.0,-36.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,27,31,15,75,53,67,48,56,14,30,13,24,24,37,17,14.0,10.0,17.0,24.0,18.0,11.0,54.0,25.0,42.0,17.0,33.0,16.0,44.0,23.0,76.0,60.0,59.0,59.0,75.0,46.0,64.0,70.0,61.0,62.0,69.0,37.0,62.0,46.0,53.0,62.0,70.0,64.0,61.0,45.0,71.0,64.0,60.0,68.0,82.0,78.0,74.0,71.0,136.0,112.0,112.0,105.0,156.0,109.0,77.0,72.0,52.0,9.0,3.0,9.0,28.0,0.0,13.0,0.0,21.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,19,29,21,48,46,44,40,47,27,24,16,20,17,26,25,37.0,8.0,24.0,20.0,45.0,23.0,31.0,32.0,30.0,21.0,60.0,12.0,25.0,0.0,18.0,11.0,14.0,25.0,0.0,-10.0,31.0,0.0,24.0,0.0,63.0,34.0,40.0,19.0,38.0,11.0,42.0,22.0,25.0,-15.0,0.0,37.0,80.0,38.0,54.0,63.0,97.0,119.0,220.0,98.0,75.0,52.0,59.0,48.0,57.0,56.0,71.0,75.0,50.0,47.0,66.0,0.0,14.0,28.0,20.0,19.0,10.0,-10.0,-8.0,1.0,0.0,-5.0,-3.0,-6.0,-2.0,-8.0,-6.0,-8.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,37,40,27,37,30,49,31,39,36,69,67,70,62,74,32,42.0,33.0,46.0,42.0,40.0,7.0,42.0,14.0,25.0,25.0,18.0,6.0,-1.0,-2.0,0.0,3.0,10.0,-9.0,-4.0,0.0,9.0,18.0,10.0,56.0,73.0,24.0,53.0,25.0,40.0,34.0,44.0,35.0,24.0,19.0,30.0,4.0,10.0,0.0,9.0,14.0,5.0,7.0,7.0,11.0,14.0,7.0,31.0,12.0,20.0,18.0,15.0,12.0,18.0,18.0,18.0,11.0,12.0,12.0,13.0,17.0,17.0,9.0,16.0,4.0,14.0,10.0,17.0,7.0,18.0,12.0,13.0,14.0,13.0,0.0,11.0,1.0,9.0,3.0,6.0,9.0,13.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,14,47,37,45,43,64,39,51,39,50,50,35,40,86,33,52.0,56.0,54.0,50.0,54.0,58.0,75.0,52.0,87.0,69.0,73.0,28.0,82.0,47.0,4.0,15.0,64.0,21.0,16.0,17.0,10.0,0.0,33.0,22.0,43.0,19.0,31.0,18.0,25.0,23.0,19.0,2.0,44.0,37.0,11.0,0.0,71.0,-3.0,76.0,19.0,49.0,28.0,42.0,-3.0,-5.0,5.0,7.0,5.0,0.0,-22.0,-2.0,-17.0,-12.0,-72.0,-83.0,-88.0,-64.0,-58.0,-45.0,-65.0,-10.0,-30.0,-18.0,-38.0,-17.0,-52.0,-22.0,-28.0,-26.0,-28.0,-47.0,-80.0,-5.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,37,30,26,25,29,23,35,22,32,25,32,18,28,16,33.0,8.0,13.0,5.0,32.0,21.0,30.0,24.0,27.0,4.0,15.0,18.0,16.0,9.0,0.0,0.0,0.0,1.0,0.0,-11.0,25.0,-16.0,-11.0,-17.0,-11.0,-9.0,-12.0,-26.0,-1.0,-21.0,-10.0,-8.0,-4.0,-17.0,-25.0,-19.0,-35.0,-26.0,-31.0,-32.0,-24.0,-52.0,-29.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,34,39,44,50,44,52,40,49,35,40,46,33,35,45,32,40.0,29.0,31.0,36.0,48.0,30.0,43.0,36.0,37.0,-19.0,-1.0,9.0,12.0,0.0,0.0,-2.0,9.0,7.0,5.0,0.0,10.0,4.0,12.0,7.0,8.0,1.0,6.0,8.0,7.0,10.0,7.0,8.0,13.0,2.0,6.0,6.0,10.0,5.0,10.0,11.0,9.0,0.0,10.0,2.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,18,47,18,37,14,46,49,43,16,29,10,28,10,19,14,10.0,13.0,13.0,0.0,20.0,7.0,20.0,12.0,22.0,0.0,13.0,0.0,18.0,12.0,17.0,-1.0,0.0,-2.0,3.0,-3.0,8.0,0.0,0.0,2.0,4.0,-5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,14,39,32,42,40,47,20,39,15,18,16,24,18,18,20,26.0,2.0,8.0,0.0,20.0,20.0,20.0,17.0,14.0,12.0,0.0,-5.0,0.0,26.0,27.0,2.0,15.0,9.0,21.0,18.0,13.0,-11.0,0.0,-5.0,29.0,4.0,24.0,0.0,28.0,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
