,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228
0,32,36,34,37,32,34,11,36,36,38,20,24,26,25,27,33,26,31,5,41,24,22,-24,-20,-33,-24,-30,-24,-67,-51.0,-82.0,-53.0,-78.0,-24.0,-148.0,-58.0,-190.0,-117.0,-114.0,-113.0,-94.0,-44.0,-45.0,-53.0,-162.0,-136.0,-113.0,-22.0,-146.0,-105.0,-444.0,-287.0,-358.0,-356.0,-377.0,-152.0,-545.0,-325.0,-354.0,-331.0,-338.0,-353.0,-343.0,-266.0,-256.0,-247.0,-234.0,-235.0,-246.0,-214.0,-265.0,-256.0,-280.0,-279.0,-368.0,-193.0,-197.0,-161.0,-246.0,-139.0,-209.0,-169.0,-166.0,-196.0,-187.0,-162.0,-144.0,-157.0,-164.0,-158.0,-186.0,-165.0,-214.0,-182.0,-212.0,-179.0,-170.0,-185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,28,28,25,30,43,57,28,48,42,55,36,51,45,51,55,71,52,50,38,61,51,58,12,23,-19,5,-1,-5,-5,-12.0,-31.0,-16.0,-61.0,-38.0,-51.0,-31.0,-68.0,-18.0,-23.0,0.0,-84.0,1.0,2.0,-14.0,-4.0,-2.0,-4.0,-5.0,-13.0,-9.0,-13.0,-26.0,-35.0,-26.0,-25.0,-35.0,-29.0,-16.0,-25.0,-8.0,-43.0,-34.0,-32.0,-15.0,-12.0,-15.0,-12.0,-8.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,-12.0,-10.0,-14.0,-15.0,-13.0,-20.0,-4.0,-10.0,-9.0,-12.0,0.0,0.0,0.0,0.0,53.0,55.0,55.0,54.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28,60,41,51,46,42,17,41,28,38,42,50,41,62,54,58,45,45,45,45,45,46,51,56,64,61,29,45,38,31.0,9.0,73.0,25.0,64.0,37.0,104.0,71.0,117.0,108.0,104.0,86.0,93.0,70.0,93.0,87.0,103.0,111.0,132.0,141.0,197.0,169.0,121.0,121.0,278.0,131.0,146.0,142.0,171.0,168.0,185.0,136.0,147.0,128.0,179.0,164.0,212.0,164.0,253.0,274.0,277.0,204.0,328.0,341.0,343.0,385.0,390.0,427.0,413.0,370.0,354.0,380.0,412.0,441.0,448.0,438.0,535.0,503.0,549.0,599.0,658.0,647.0,685.0,675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,23,21,34,34,12,28,0,4,6,0,-10,17,15,5,22,19,11,42,8,12,0,-15,0,96,77,80,56,72,27,44.0,27.0,78.0,99.0,113.0,92.0,107.0,111.0,110.0,89.0,101.0,50.0,97.0,62.0,137.0,99.0,114.0,99.0,114.0,98.0,129.0,116.0,128.0,113.0,129.0,151.0,225.0,71.0,102.0,92.0,110.0,114.0,105.0,17.0,30.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,22,47,42,51,33,47,38,58,24,62,22,39,29,21,43,56,51,69,65,61,57,78,57,37,41,57,42,41,16,49.0,27.0,29.0,12.0,33.0,28.0,46.0,35.0,57.0,45.0,52.0,34.0,28.0,50.0,57.0,-16.0,-6.0,-9.0,-17.0,-24.0,-1.0,-11.0,-9.0,-26.0,-9.0,-22.0,-4.0,0.0,0.0,-4.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,22,22,25,34,41,43,17,49,4,-13,-25,-19,-10,36,18,38,-4,8,16,32,23,46,18,27,9,22,0,3,10,8.0,-15.0,-17.0,-13.0,-21.0,-17.0,-14.0,-28.0,-16.0,-16.0,-21.0,-14.0,-27.0,-11.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28,49,30,57,35,62,42,62,62,37,25,41,31,34,27,34,19,22,23,26,-11,54,40,50,59,51,59,75,51,107.0,82.0,122.0,78.0,88.0,50.0,38.0,30.0,93.0,83.0,99.0,121.0,121.0,54.0,98.0,83.0,93.0,100.0,161.0,139.0,168.0,136.0,118.0,91.0,234.0,185.0,183.0,176.0,232.0,234.0,239.0,224.0,386.0,404.0,413.0,426.0,496.0,530.0,631.0,620.0,687.0,700.0,712.0,704.0,692.0,755.0,733.0,746.0,757.0,753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,27,37,13,58,46,54,52,54,41,53,18,33,-4,16,1,7,-71,37,-28,-30,-40,-36,-66,-7,5,-2,-11,-11,-12,-17.0,-21.0,-14.0,-16.0,-25.0,-30.0,-22.0,-27.0,-13.0,-32.0,-21.0,-19.0,-6.0,-5.0,11.0,3.0,7.0,0.0,5.0,0.0,14.0,15.0,16.0,0.0,0.0,0.0,0.0,-14.0,-34.0,-18.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.0,-44.0,-44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,17,35,19,41,0,13,5,0,8,45,23,37,22,27,21,34,12,49,-16,-20,-52,173,174,163,163,223,204,237,69,119.0,119.0,116.0,69.0,72.0,73.0,63.0,60.0,135.0,42.0,44.0,43.0,49.0,67.0,62.0,6.0,7.0,2.0,64.0,6.0,8.0,-3.0,0.0,0.0,0.0,0.0,8.0,0.0,11.0,-9.0,2.0,2.0,2.0,-10.0,-1.0,-3.0,0.0,-5.0,-4.0,-6.0,-4.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-7.0,-1.0,-3.0,-8.0,-5.0,-1.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,37,47,20,37,15,25,27,41,15,36,3,24,5,32,26,30,14,45,15,38,25,27,19,33,30,23,25,34,26,44.0,30.0,31.0,26.0,19.0,24.0,42.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,25.0,16.0,14.0,16.0,23.0,-1.0,7.0,-12.0,-15.0,-5.0,0.0,0.0,0.0,-27.0,-23.0,-10.0,-19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,37,50,33,48,22,33,17,37,42,43,24,46,31,54,32,29,22,28,29,23,59,50,51,77,37,93,27,99,39,57.0,50.0,42.0,28.0,31.0,44.0,12.0,4.0,8.0,10.0,37.0,12.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,13,49,36,29,41,41,54,46,45,60,32,33,44,24,22,44,14,44,45,46,19,34,12,55,59,63,69,47,-33,11.0,-1.0,4.0,5.0,8.0,-4.0,0.0,-7.0,19.0,0.0,11.0,9.0,9.0,-7.0,0.0,-11.0,0.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,33,35,31,53,38,50,35,54,54,87,75,75,73,99,62,69,43,61,45,50,42,56,14,22,4,39,31,39,33,85.0,-28.0,-12.0,-53.0,-33.0,-62.0,-42.0,-77.0,-81.0,-101.0,-74.0,-115.0,-65.0,-102.0,-83.0,-111.0,-86.0,-101.0,-81.0,-75.0,-100.0,-137.0,-152.0,-142.0,-137.0,-151.0,-139.0,-149.0,-156.0,-169.0,-146.0,-296.0,-226.0,-243.0,-174.0,-253.0,-148.0,-196.0,-286.0,-336.0,-360.0,-393.0,-282.0,-245.0,-269.0,-375.0,-443.0,-468.0,-447.0,-484.0,-420.0,-474.0,-450.0,-509.0,-514.0,-511.0,-472.0,-519.0,-520.0,-506.0,-438.0,-473.0,-546.0,-607.0,-602.0,-615.0,-640.0,-684.0,-680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,21,30,13,33,9,53,23,50,1,21,19,25,4,4,1,12,-6,11,-1,0,6,-5,-26,0,-40,1,-43,-30,-72,-35.0,-59.0,-73.0,-106.0,-45.0,-59.0,-50.0,-182.0,-111.0,-124.0,-92.0,-127.0,-90.0,-116.0,-76.0,-93.0,-95.0,204.0,264.0,288.0,300.0,281.0,277.0,270.0,300.0,273.0,282.0,264.0,327.0,327.0,354.0,364.0,392.0,364.0,399.0,440.0,464.0,408.0,516.0,488.0,612.0,608.0,612.0,613.0,685.0,747.0,763.0,753.0,867.0,865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,13,17,23,34,-15,-7,-23,1,-10,-4,-18,-29,-37,-42,-34,-25,-50,-38,-52,-38,-57,-40,-55,-39,-53,-28,-24,31,-48,-42.0,-49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,22,45,41,51,-9,4,-3,20,11,31,10,14,3,13,10,36,7,19,-5,2,-13,29,6,22,10,12,11,23,0,-3.0,-10.0,0.0,-43.0,-51.0,-50.0,-49.0,-54.0,-46.0,-65.0,-15.0,-74.0,-62.0,-77.0,-63.0,-82.0,-63.0,-49.0,-16.0,-43.0,-34.0,-37.0,-29.0,1.0,-1.0,-10.0,77.0,31.0,44.0,37.0,60.0,30.0,70.0,39.0,72.0,-81.0,-14.0,-30.0,-29.0,-232.0,-333.0,-290.0,-290.0,-790.0,-1059.0,-9990.0,-9991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,24,48,51,61,46,51,44,53,4,38,26,49,9,19,-13,14,11,23,0,10,-3,-5,-5,-3,-2,-12,-7,-6,-8,-12.0,-22.0,-3.0,-4.0,-4.0,-138.0,-130.0,-159.0,-92.0,-87.0,-71.0,-96.0,-83.0,-157.0,-143.0,-156.0,-137.0,-270.0,-239.0,-267.0,-248.0,-268.0,-246.0,-296.0,-321.0,-321.0,-290.0,-314.0,-334.0,-337.0,-345.0,-425.0,-417.0,-404.0,-408.0,-410.0,-417.0,-378.0,-289.0,-388.0,-425.0,-398.0,-421.0,-425.0,-403.0,-845.0,-756.0,-773.0,-770.0,-776.0,-821.0,-850.0,-870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,26,36,24,30,31,41,32,27,42,69,53,58,0,150,87,103,75,96,53,46,30,47,50,52,32,85,91,90,72,109.0,91.0,106.0,109.0,106.0,69.0,141.0,131.0,122.0,137.0,156.0,27.0,69.0,44.0,55.0,28.0,27.0,9.0,18.0,47.0,75.0,88.0,74.0,75.0,90.0,129.0,133.0,111.0,126.0,107.0,93.0,88.0,200.0,194.0,197.0,204.0,204.0,245.0,231.0,152.0,173.0,185.0,190.0,139.0,145.0,141.0,150.0,143.0,150.0,146.0,171.0,165.0,169.0,154.0,152.0,175.0,187.0,198.0,202.0,186.0,203.0,212.0,264.0,116.0,254.0,0.0,246.0,239.0,271.0,108.0,251.0,124.0,62.0,98.0,192.0,84.0,75.0,65.0,65.0,57.0,58.0,79.0,64.0,68.0,70.0,58.0,164.0,72.0,223.0,35.0,24.0,20.0,10.0,7.0,10.0,6.0,6.0,9.0,6.0,5.0,10.0,6.0,0.0,9.0,1.0,4.0,5.0,7.0,2.0,2.0,5.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,4.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,30,45,7,24,25,43,17,41,8,38,29,38,27,36,21,25,30,25,19,22,23,17,17,30,6,9,-12,14,0,15.0,5.0,12.0,26.0,9.0,17.0,18.0,17.0,9.0,2.0,13.0,15.0,37.0,30.0,42.0,35.0,66.0,41.0,62.0,38.0,37.0,47.0,42.0,28.0,32.0,7.0,47.0,62.0,73.0,32.0,37.0,48.0,30.0,22.0,20.0,27.0,25.0,19.0,25.0,33.0,24.0,15.0,125.0,78.0,78.0,76.0,191.0,207.0,264.0,298.0,224.0,189.0,248.0,282.0,340.0,201.0,523.0,563.0,579.0,672.0,672.0,623.0,875.0,996.0,1005.0,1012.0,1012.0,1014.0,1016.0,1048.0,1048.0,1048.0,1048.0,1048.0,1050.0,1052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
