,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196
0,32,36,35,37,29,37,28,40,37,39,44,50,38,69,49,52,27,42,24,32,23,47,23,35,29,24,9,11,0,15,0,19,-3,2,-11,12,10,0,-4,0,0,3.0,3.0,24.0,6.0,27.0,0.0,0.0,0.0,8.0,0.0,14.0,0.0,6.0,0.0,11.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,26,25,60,40,42,12,36,46,62,46,52,40,46,0,15,11,19,3,0,0,0,0,51,-12,-7,-100,-98,-79,-85,-71,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,29,53,44,41,28,29,16,45,40,31,23,40,25,35,32,44,45,44,32,42,24,20,15,20,28,37,27,31,-25,28,60,52,60,127,47,51,42,48,40,142,68,20.0,2.0,0.0,2.0,2.0,7.0,0.0,-6.0,-3.0,-9.0,-12.0,-6.0,-5.0,-3.0,-11.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20,63,44,31,20,38,40,51,43,36,30,38,31,47,45,34,34,32,33,34,35,36,25,35,19,35,24,27,25,27,16,24,11,32,-1,38,-14,-2,-7,1,1,0.0,0.0,0.0,-12.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-4.0,-5.0,-5.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,35,50,24,46,26,29,17,23,29,41,4,30,6,7,8,11,0,12,4,0,17,71,54,66,26,56,47,55,38,39,-9,-6,0,0,-16,0,-13,0,-10,0,0,0.0,0.0,4.0,0.0,0.0,-13.0,-10.0,-5.0,-3.0,-11.0,0.0,0.0,0.0,-1.0,0.0,0.0,9.0,4.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-3.0,0.0,0.0,0.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,15,16,19,58,41,47,38,36,40,57,30,66,54,46,34,63,7,60,23,62,65,94,37,78,22,36,10,34,7,74,74,73,59,71,33,50,38,76,46,98,18,29.0,37.0,107.0,0.0,91.0,69.0,63.0,-5.0,0.0,4.0,24.0,-22.0,-4.0,-6.0,0.0,0.0,42.0,-11.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,14,45,32,50,35,35,24,27,26,28,15,24,24,24,-15,-6,-20,-11,19,46,7,35,0,34,23,97,48,108,83,99,66,81,102,101,98,182,133,126,112,236,167,159.0,119.0,126.0,127.0,215.0,127.0,198.0,-15.0,-39.0,0.0,0.0,-90.0,241.0,323.0,345.0,324.0,354.0,358.0,327.0,375.0,364.0,365.0,384.0,412.0,574.0,615.0,588.0,605.0,602.0,653.0,804.0,628.0,711.0,721.0,738.0,738.0,748.0,764.0,912.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,42,45,49,45,29,32,20,46,32,48,22,46,17,48,5,11,15,32,0,0,-17,0,-19,-1,0,79,33,58,7,23,26,19,14,22,22,24,8,26,10,9,8,18.0,8.0,0.0,21.0,5.0,0.0,53.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-183.0,128.0,130.0,134.0,150.0,191.0,203.0,559.0,620.0,614.0,646.0,669.0,664.0,675.0,636.0,675.0,675.0,675.0,671.0,735.0,726.0,806.0,675.0,739.0,755.0,749.0,731.0,785.0,708.0,726.0,735.0,747.0,741.0,744.0,759.0,810.0,852.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,13,37,29,47,40,33,25,17,13,38,35,12,33,42,26,75,15,62,50,67,47,54,54,60,43,37,22,35,45,83,76,96,34,84,12,0,0,13,-8,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,24,52,40,41,39,42,23,42,12,0,25,34,21,13,10,3,5,0,-3,13,12,15,12,21,12,22,21,22,3,61,46,35,11,0,2,8,-1,-3,-13,0,-77,-51.0,-131.0,-122.0,-81.0,-80.0,-134.0,-129.0,-138.0,-120.0,-134.0,-139.0,-160.0,-24.0,-47.0,-29.0,-39.0,-21.0,-33.0,-28.0,-44.0,0.0,0.0,0.0,-48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
