,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
0,32,36,35,37,29,43,56,59,22,65,51,61,61,93,83,98,64,89,76,178,162,179,109,143,97,99,105,100,75,70,85,72,50,51,53,72,38.0,60.0,32.0,33.0,-88.0,130.0,100.0,92.0,91.0,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,37,40,24,25,17,25,-15,30,10,46,23,44,21,37,25,24,11,20,10,11,8,15,0,59,44,54,34,58,42,93,75,81,37,116,69,103,37.0,142.0,89.0,132.0,103.0,118.0,117.0,134.0,149.0,147.0,117.0,163.0,95.0,103.0,93.0,107.0,105.0,119.0,87.0,93.0,79.0,105.0,43.0,69.0,58.0,126.0,63.0,137.0,133.0,143.0,122.0,168.0,184.0,188.0,180.0,291.0,181.0,185.0,169.0,217.0,178.0,214.0,18.0,16.0,17.0,16.0,67.0,46.0,43.0,127.0,86.0,106.0,28.0,26.0,21.0,14.0,14.0,13.0,23.0,18.0,0.0,12.0,2.0,9.0,13.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30,39,27,27,38,53,-6,30,17,24,0,18,-20,3,-33,-25,-37,-35,-35,-25,-36,-29,-29,-14,-25,0,-8,34,47,55,63,35,29,49,63,99,77.0,95.0,74.0,71.0,69.0,99.0,82.0,84.0,61.0,47.0,32.0,55.0,1.0,41.0,-43.0,-48.0,-65.0,-40.0,-247.0,-184.0,-183.0,-111.0,-334.0,-335.0,-350.0,-349.0,-371.0,-369.0,-394.0,-249.0,-267.0,-223.0,-303.0,-257.0,-356.0,-337.0,-390.0,-349.0,-380.0,-331.0,-415.0,-281.0,-300.0,-252.0,-347.0,-290.0,-388.0,-339.0,-329.0,-284.0,-301.0,-236.0,-315.0,-325.0,-331.0,-349.0,-308.0,-263.0,-283.0,-308.0,-341.0,-297.0,-292.0,-313.0,-305.0,-288.0,-403.0,-341.0,-348.0,-419.0,-416.0,-410.0,-449.0,-396.0,-438.0,-426.0,-452.0,-330.0,-331.0,-491.0,-611.0,-517.0,-531.0,-558.0,-611.0,-633.0,-1037.0,-837.0,-1175.0,-1185.0,-1306.0,-1229.0,-1489.0,-6315.0,,,,,,,,,,,,,,,,,,,,
3,20,43,15,27,28,36,29,38,47,28,-17,45,41,44,25,96,34,41,16,40,26,57,54,68,-84,-59,-97,-84,-86,-86,-87,-75,-97,-77,-93,-86,-116.0,-54.0,-66.0,-69.0,-88.0,-15.0,-4.0,0.0,0.0,0.0,7.0,0.0,5.0,2.0,6.0,0.0,-74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,30,37,31,56,56,66,59,62,32,58,21,29,14,44,31,31,30,30,31,28,23,50,17,78,66,91,65,78,71,65,48,59,58,77,50,61,40.0,46.0,47.0,99.0,70.0,77.0,46.0,61.0,66.0,153.0,58.0,62.0,47.0,74.0,0.0,0.0,0.0,0.0,-52.0,-38.0,-185.0,787.0,770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,22,48,19,33,40,45,30,30,38,46,24,45,36,60,36,29,35,61,39,44,34,28,19,44,27,47,37,54,43,46,46,47,49,48,5,13,9.0,21.0,22.0,42.0,45.0,58.0,20.0,27.0,0.0,19.0,0.0,106.0,90.0,101.0,102.0,116.0,117.0,150.0,36.0,44.0,37.0,47.0,42.0,32.0,37.0,44.0,38.0,54.0,25.0,23.0,5.0,4.0,12.0,2.0,0.0,5.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,55,50,59,56,52,39,49,24,37,50,50,45,53,52,46,36,47,25,30,13,23,22,9,14,34,0,5,-22,-14,-8,84,0,31,-116,-110,-145.0,-155.0,-314.0,-50.0,-72.0,-60.0,-190.0,-173.0,-175.0,-164.0,-235.0,-241.0,-233.0,-212.0,-228.0,-195.0,-192.0,-180.0,-198.0,-193.0,-198.0,-211.0,-250.0,-255.0,-257.0,-260.0,-320.0,-274.0,-322.0,-277.0,-321.0,-340.0,-359.0,-372.0,-484.0,-289.0,-318.0,-308.0,-308.0,-318.0,-290.0,-305.0,-598.0,-638.0,-717.0,-755.0,-789.0,-776.0,-809.0,-787.0,-837.0,-875.0,-876.0,-860.0,-854.0,-885.0,-874.0,-852.0,-884.0,-892.0,-887.0,-1021.0,-985.0,-1036.0,-1088.0,-1099.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,25,47,43,54,27,47,40,50,38,55,46,58,40,49,47,64,40,44,52,70,30,54,50,75,27,119,102,199,128,181,167,275,231,258,242,270,263.0,317.0,340.0,444.0,450.0,487.0,211.0,225.0,196.0,196.0,201.0,303.0,236.0,237.0,297.0,277.0,279.0,252.0,265.0,252.0,255.0,256.0,229.0,271.0,269.0,251.0,270.0,262.0,265.0,282.0,239.0,233.0,222.0,303.0,207.0,243.0,244.0,337.0,310.0,315.0,220.0,263.0,269.0,273.0,241.0,238.0,213.0,343.0,345.0,416.0,419.0,475.0,559.0,564.0,581.0,662.0,671.0,674.0,704.0,729.0,729.0,710.0,463.0,519.0,611.0,660.0,694.0,742.0,756.0,860.0,688.0,779.0,893.0,926.0,968.0,1038.0,936.0,1124.0,1139.0,1225.0,1164.0,1262.0,1311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20,56,6,29,10,28,6,43,26,35,34,59,32,50,14,38,29,35,14,50,37,42,27,34,-9,29,-18,33,-3,45,-30,53,19,64,48,108,80.0,134.0,135.0,237.0,222.0,287.0,262.0,396.0,360.0,596.0,653.0,660.0,660.0,657.0,649.0,626.0,673.0,794.0,820.0,808.0,771.0,911.0,858.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,25,50,38,40,47,60,53,59,12,35,21,28,17,28,1,30,11,17,35,46,16,30,6,51,12,49,43,123,103,125,100,113,116,119,48,63,70.0,116.0,106.0,285.0,64.0,71.0,51.0,155.0,164.0,299.0,75.0,102.0,84.0,119.0,102.0,164.0,134.0,139.0,89.0,108.0,106.0,107.0,106.0,97.0,102.0,218.0,37.0,37.0,39.0,45.0,36.0,36.0,30.0,31.0,33.0,38.0,33.0,36.0,16.0,23.0,21.0,14.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
