,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164
0,32,45,31,87,75,70,41,48,48,39,44,63,54,67,24,51,59,38,33,63,72.0,78.0,45.0,49.0,47.0,93.0,62.0,47.0,28.0,29.0,32.0,33.0,48.0,51.0,47.0,46.0,56.0,47.0,61.0,74.0,72.0,81.0,38.0,70.0,37.0,50.0,12.0,18.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,45,44,55,49,64,57,64,29,27,17,13,20,40,29,37,24,23,13,23,19.0,40.0,16.0,20.0,0.0,25.0,-26.0,6.0,-1.0,15.0,19.0,19.0,0.0,0.0,-64.0,-48.0,-45.0,-34.0,-93.0,-72.0,-104.0,-91.0,-353.0,-304.0,-316.0,-327.0,-324.0,-318.0,-339.0,-303.0,-335.0,-354.0,-417.0,-357.0,-503.0,-525.0,-480.0,-487.0,-503.0,-509.0,-598.0,-578.0,-609.0,-603.0,-711.0,-700.0,-706.0,-737.0,-861.0,-845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20,41,-5,15,4,33,36,24,28,61,49,47,-11,24,3,45,15,46,25,25,8.0,23.0,10.0,17.0,-20.0,4.0,-16.0,37.0,37.0,128.0,112.0,141.0,61.0,392.0,335.0,373.0,329.0,429.0,382.0,462.0,459.0,501.0,457.0,449.0,460.0,523.0,563.0,625.0,603.0,628.0,675.0,660.0,656.0,651.0,675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,57,35,35,26,45,18,17,-3,8,3,8,12,22,4,46,45,48,30,49,0.0,-1.0,-37.0,9.0,6.0,12.0,9.0,24.0,32.0,50.0,10.0,11.0,-16.0,5.0,-7.0,0.0,5.0,108.0,-5.0,11.0,-14.0,-11.0,-64.0,-82.0,-78.0,-54.0,-82.0,-12.0,-66.0,-33.0,-113.0,-92.0,-124.0,-72.0,-80.0,-68.0,-122.0,-107.0,-162.0,-136.0,-142.0,-134.0,-167.0,-112.0,-121.0,-85.0,-116.0,-81.0,-86.0,-63.0,-53.0,-48.0,-95.0,-110.0,-195.0,-99.0,-107.0,-93.0,-136.0,-93.0,-121.0,-87.0,-96.0,-105.0,-138.0,-131.0,-96.0,-72.0,-143.0,-129.0,-188.0,-172.0,-150.0,-168.0,-183.0,-26.0,-33.0,-25.0,-393.0,-341.0,-647.0,-367.0,-558.0,-330.0,-792.0,-847.0,-838.0,-787.0,-810.0,-811.0,-868.0,-934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,38,46,6,18,10,34,8,21,-15,28,17,32,4,30,16,23,21,17,3,20,-9.0,7.0,6.0,19.0,10.0,16.0,0.0,90.0,91.0,102.0,0.0,0.0,-62.0,0.0,-85.0,-72.0,-83.0,-70.0,-97.0,-82.0,-109.0,-81.0,-87.0,-50.0,-74.0,-26.0,-63.0,-31.0,-62.0,-17.0,-17.0,-21.0,-44.0,-2.0,-14.0,11.0,-48.0,4.0,-23.0,-10.0,-10.0,-9.0,-114.0,-58.0,-77.0,-80.0,-123.0,-21.0,1.0,-7.0,-18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,37,61,30,51,58,53,52,65,50,60,40,46,-6,22,18,23,24,20,19,36,25.0,39.0,-32.0,29.0,-100.0,-107.0,-117.0,-29.0,-46.0,114.0,10.0,160.0,19.0,70.0,49.0,117.0,25.0,155.0,35.0,152.0,122.0,178.0,195.0,223.0,107.0,328.0,307.0,383.0,333.0,549.0,550.0,570.0,549.0,555.0,547.0,564.0,630.0,690.0,724.0,746.0,702.0,768.0,818.0,927.0,801.0,1019.0,770.0,843.0,889.0,911.0,860.0,1016.0,995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,19,71,41,65,21,25,0,-10,-4,-5,-31,-13,-93,-88,-97,-15,-31,-4,-14,-16,-2.0,0.0,-6.0,0.0,-8.0,-7.0,0.0,3.0,-17.0,-11.0,-9.0,-18.0,-69.0,-10.0,-61.0,-42.0,-53.0,-48.0,-50.0,-35.0,-81.0,-32.0,-212.0,-169.0,-111.0,-132.0,-189.0,-156.0,-149.0,-150.0,-228.0,-236.0,-209.0,-165.0,-310.0,-336.0,-383.0,-394.0,-470.0,-445.0,-514.0,-437.0,-407.0,-462.0,-501.0,-447.0,-492.0,-489.0,-473.0,-484.0,-558.0,-591.0,-594.0,-539.0,-579.0,-559.0,-710.0,-710.0,-730.0,-725.0,-763.0,-788.0,-838.0,-819.0,-801.0,-796.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,19,38,25,28,15,59,38,36,37,53,0,5,0,22,23,49,75,73,74,76,62.0,58.0,35.0,32.0,20.0,62.0,64.0,108.0,111.0,132.0,125.0,135.0,133.0,154.0,153.0,146.0,138.0,159.0,152.0,230.0,210.0,226.0,162.0,231.0,203.0,243.0,227.0,375.0,362.0,328.0,365.0,395.0,380.0,546.0,363.0,561.0,592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20,30,18,36,10,35,32,36,0,42,10,4,-32,-1,-19,-22,-42,-14,-26,-31,-43.0,-19.0,-37.0,-19.0,-18.0,-7.0,-17.0,25.0,-5.0,24.0,12.0,28.0,16.0,26.0,19.0,26.0,0.0,0.0,-19.0,-4.0,-11.0,6.0,-21.0,-74.0,-271.0,-310.0,-361.0,-372.0,-592.0,-575.0,-548.0,-416.0,-450.0,-389.0,-631.0,-628.0,-644.0,-645.0,-648.0,-652.0,-653.0,-660.0,-646.0,-670.0,-702.0,-662.0,-649.0,-630.0,-629.0,-620.0,-642.0,-631.0,-630.0,-627.0,-636.0,-662.0,-783.0,-877.0,-888.0,-951.0,-972.0,-976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,28,50,37,38,30,57,50,51,23,17,6,37,16,61,59,60,37,91,73,69,61.0,75.0,87.0,84.0,79.0,86.0,-19.0,-1.0,-48.0,39.0,57.0,72.0,28.0,47.0,14.0,19.0,-71.0,0.0,-15.0,-19.0,-78.0,-73.0,-92.0,-95.0,-87.0,-64.0,-69.0,0.0,-20.0,-14.0,-35.0,-11.0,-22.0,-20.0,-20.0,-13.0,-5.0,0.0,-90.0,-49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
