,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266
0,32,41,30,38,29,52,29,41,26,35,30,40,5,38,23,44,25,43,10,87,25,64,-1,0,0,0,0,0,0,0,-31,-19,-79,-79,-71,-47,-55,-46,-49,-37,-45.0,-37.0,-46.0,-53.0,-142.0,-154.0,-218.0,-215.0,-307.0,-339.0,-354.0,-358.0,-466.0,-579.0,-605.0,-551.0,-762.0,-768.0,-919.0,-295.0,-773.0,-778.0,-945.0,-943.0,-908.0,-433.0,-397.0,-418.0,-416.0,-379.0,-1067.0,-1101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,36,42,60,29,51,31,37,37,49,25,38,17,72,47,28,40,40,62,53,38,59,50,67,44,47,37,67,49,59,37,48,61,50,49,77,19,39,20,48,9.0,139.0,122.0,186.0,121.0,137.0,160.0,185.0,134.0,111.0,78.0,148.0,93.0,145.0,145.0,204.0,187.0,166.0,127.0,130.0,123.0,153.0,69.0,173.0,28.0,65.0,59.0,62.0,59.0,124.0,29.0,99.0,99.0,112.0,100.0,118.0,57.0,125.0,-4.0,30.0,17.0,31.0,29.0,25.0,29.0,17.0,28.0,22.0,16.0,47.0,54.0,65.0,43.0,44.0,26.0,25.0,13.0,15.0,8.0,12.0,7.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,13.0,0.0,14.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37,70,60,65,43,49,30,50,18,35,25,106,78,116,88,101,93,170,156,179,98,135,164,187,107,148,120,125,93,128,125,117,81,80,0,0,-103,-72,-173,-137,-895.0,-939.0,-9979.0,-9980.0,-9980.0,-9985.0,-9985.0,-9988.0,-9991.0,-9992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,28,31,38,47,61,37,33,53,51,60,35,78,66,76,36,26,47,26,31,33,32,39,30,57,37,95,35,40,0,94,87,95,72,80,67,68,41,58,84,74,83.0,85.0,12.0,33.0,35.0,49.0,53.0,77.0,44.0,54.0,42.0,41.0,27.0,75.0,32.0,49.0,6.0,0.0,0.0,9.0,-20.0,0.0,-11.0,81.0,0.0,0.0,0.0,78.0,48.0,58.0,50.0,225.0,172.0,169.0,219.0,351.0,288.0,334.0,317.0,605.0,612.0,632.0,633.0,652.0,662.0,694.0,691.0,707.0,686.0,698.0,716.0,788.0,814.0,923.0,857.0,1044.0,886.0,939.0,1005.0,1103.0,1009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,29,48,22,22,11,46,17,30,8,22,20,36,18,28,27,47,-14,0,-40,-40,-55,-44,-60,17,-39,-9,-18,-13,-25,-23,-66,0,3,36,0,-15,-78,-18,-48,28,0.0,0.0,-123.0,-172.0,-193.0,-175.0,-267.0,-257.0,-305.0,-298.0,-309.0,-325.0,-316.0,-281.0,-312.0,-312.0,-310.0,-385.0,-432.0,-460.0,-487.0,-437.0,-458.0,-495.0,-494.0,-477.0,-678.0,-775.0,-890.0,-869.0,-9997.0,-9998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18,39,15,34,26,11,-2,19,0,17,-4,17,0,7,10,4,0,24,11,13,22,23,0,12,28,18,-67,-14,-18,-8,-9,2,-10,0,-5,90,28,109,45,59,42.0,93.0,89.0,103.0,95.0,163.0,104.0,111.0,90.0,107.0,92.0,107.0,78.0,61.0,65.0,170.0,257.0,284.0,300.0,313.0,95.0,150.0,126.0,98.0,126.0,140.0,126.0,137.0,137.0,197.0,137.0,249.0,198.0,330.0,260.0,346.0,346.0,371.0,189.0,187.0,198.0,372.0,384.0,392.0,382.0,402.0,401.0,350.0,397.0,441.0,384.0,429.0,460.0,420.0,384.0,464.0,396.0,553.0,575.0,603.0,644.0,657.0,624.0,767.0,666.0,713.0,645.0,692.0,694.0,697.0,794.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38,52,46,58,32,36,41,67,53,45,33,51,19,63,41,70,34,89,20,31,32,17,30,60,65,41,60,24,23,11,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,23,35,19,44,27,35,18,48,35,20,39,51,51,43,44,38,36,31,46,30,25,42,16,73,22,33,33,103,100,67,70,71,56,55,55,97,97,131,111,154,125.0,163.0,61.0,78.0,-77.0,38.0,17.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-40.0,-25.0,-26.0,-21.0,-16.0,-46.0,-24.0,-115.0,-61.0,-80.0,32.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,28,45,24,41,44,49,36,46,34,38,25,22,14,54,38,60,41,41,46,53,40,33,-31,-7,-22,-21,-50,74,38,41,24,27,31,24,9,13,22,35,0,20,20.0,23.0,17.0,13.0,-75.0,-10.0,-80.0,-40.0,-62.0,-37.0,-37.0,-27.0,-28.0,-24.0,-26.0,-7.0,-28.0,-6.0,-11.0,-3.0,-10.0,0.0,-133.0,-114.0,-155.0,-78.0,-104.0,-84.0,-130.0,-79.0,-128.0,-80.0,-220.0,-270.0,-253.0,-200.0,-210.0,-206.0,-307.0,-337.0,-340.0,-401.0,-507.0,-404.0,-529.0,-598.0,-578.0,-579.0,-574.0,-594.0,-645.0,-687.0,-737.0,-797.0,-782.0,-800.0,-1277.0,-1577.0,-6853.0,-7286.0,-9984.0,-9990.0,-9992.0,-9993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15,72,48,68,48,66,61,66,54,82,81,105,103,111,87,106,78,126,105,125,104,105,104,119,88,130,127,150,40,41,29,54,-70,-50,-42,28,16,18,4,40,0.0,86.0,68.0,84.0,66.0,92.0,86.0,153.0,162.0,133.0,100.0,115.0,102.0,106.0,114.0,144.0,138.0,174.0,0.0,287.0,173.0,285.0,315.0,468.0,462.0,870.0,890.0,874.0,862.0,872.0,864.0,977.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
