,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273
0,21,34,29,47,33,39,23,40,32,36,38,16,21,9,23,35,36,62,0,0,-23,15,-12,51,57,92,56,68,24,19,23,20,7,24,31,28,24,37,28,41,37,40,29,45,39.0,40.0,34.0,97.0,46.0,56.0,35.0,52.0,44.0,81.0,79.0,72.0,81.0,134.0,123.0,139.0,148.0,187.0,108.0,131.0,112.0,124.0,107.0,145.0,148.0,143.0,147.0,147.0,127.0,126.0,112.0,162.0,52.0,91.0,57.0,95.0,30.0,72.0,46.0,63.0,37.0,33.0,9.0,170.0,124.0,225.0,215.0,232.0,239.0,233.0,264.0,244.0,260.0,299.0,291.0,293.0,320.0,452.0,470.0,498.0,508.0,542.0,566.0,592.0,589.0,651.0,600.0,630.0,341.0,375.0,349.0,370.0,351.0,361.0,364.0,366.0,385.0,360.0,362.0,384.0,386.0,618.0,1222.0,1281.0,1284.0,1290.0,1290.0,1293.0,1293.0,5590.0,5590.0,5590.0,1294.0,1294.0,5590.0,9970.0,9968.0,9970.0,9971.0,9973.0,9967.0,9971.0,9972.0,9973.0,9975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32,43,28,48,22,50,30,41,38,48,28,50,22,20,14,17,5,29,-4,29,21,8,4,3,9,19,15,18,15,27,12,18,18,21,9,17,16,15,5,15,0,0,7,6,0.0,2.0,0.0,13.0,1.0,10.0,13.0,13.0,11.0,9.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,22,57,33,62,40,53,37,60,33,59,-3,8,10,1,7,28,0,13,15,37,-11,14,26,73,55,54,48,70,37,39,11,5,9,29,7,37,7,9,0,0,-4,1,0,15,13.0,25.0,0.0,41.0,28.0,30.0,47.0,48.0,62.0,70.0,75.0,74.0,61.0,80.0,106.0,78.0,48.0,94.0,109.0,87.0,105.0,117.0,119.0,129.0,101.0,51.0,47.0,140.0,47.0,207.0,190.0,410.0,490.0,499.0,530.0,535.0,535.0,560.0,569.0,605.0,612.0,634.0,650.0,652.0,656.0,657.0,708.0,830.0,816.0,831.0,837.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,25,40,28,59,15,32,22,46,8,0,9,20,-5,35,34,97,42,43,48,42,30,13,-10,27,7,7,4,21,10,57,30,23,0,1,0,0,6,6,7,0,0,6,0,25,25.0,27.0,20.0,35.0,28.0,34.0,27.0,25.0,32.0,31.0,16.0,11.0,10.0,23.0,15.0,18.0,17.0,14.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,26,46,25,23,25,29,38,34,13,18,10,34,32,25,14,19,0,22,8,26,-4,32,20,138,76,104,-1,18,11,6,49,79,88,97,32,151,170,199,23,28,13,21,22,27,19.0,25.0,27.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,25,32,17,55,59,51,58,50,47,45,47,51,23,25,31,22,12,36,24,31,47,67,62,66,55,82,87,117,83,113,99,110,77,160,154,221,136,163,108,144,138,141,147,155,153.0,146.0,138.0,130.0,124.0,119.0,113.0,106.0,125.0,114.0,112.0,117.0,122.0,102.0,145.0,84.0,65.0,72.0,50.0,71.0,67.0,84.0,21.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,22,46,28,37,31,62,50,61,45,64,40,43,24,25,18,43,28,62,27,36,3,11,19,39,23,30,20,31,2,9,-3,0,-5,10,12,15,-7,3,0,-6,-8,-14,-2,7,10.0,5.0,5.0,8.0,-1.0,0.0,1.0,0.0,-4.0,3.0,4.0,5.0,0.0,3.0,0.0,6.0,0.0,9.0,0.0,-4.0,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,27,37,45,39,20,42,34,81,44,55,15,42,37,58,43,60,37,64,32,51,44,25,20,41,36,45,46,39,31,36,37,37,-2,-2,0,11,11,-7,-29,-31,-25,-25,-31,-17,-17.0,-16.0,-54.0,-52.0,-50.0,-36.0,-87.0,-58.0,-66.0,-64.0,-96.0,-108.0,-113.0,-91.0,-107.0,-48.0,-61.0,-55.0,-95.0,-88.0,-82.0,-83.0,-141.0,-105.0,-105.0,-107.0,-131.0,-74.0,-305.0,-350.0,-326.0,-307.0,-355.0,-335.0,-383.0,-426.0,-362.0,-388.0,-415.0,-373.0,-444.0,-488.0,-475.0,-422.0,-449.0,-497.0,-542.0,-501.0,-586.0,-544.0,-564.0,-606.0,-622.0,-559.0,-650.0,-695.0,-715.0,-718.0,-742.0,-748.0,-766.0,-900.0,-924.0,-977.0,-1061.0,-1112.0,-1162.0,-1162.0,-1191.0,-1237.0,-1244.0,-1401.0,-1604.0,-1724.0,-2011.0,-1897.0,-3432.0,-7297.0,-7297.0,-7297.0,-7297.0,-5015.0,-7297.0,-1489.0,-1935.0,-3031.0,-9977.0,-9991.0,-9995.0,-9996.0,-9997.0,-9998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,22,27,28,19,13,23,17,18,17,17,15,62,59,42,25,66,65,76,55,57,57,107,14,101,96,91,83,108,95,107,82,81,67,78,70,165,121,112,132,145,167,168,133,167,145.0,153.0,127.0,140.0,150.0,200.0,179.0,195.0,186.0,205.0,199.0,180.0,186.0,196.0,221.0,240.0,167.0,229.0,172.0,205.0,191.0,212.0,193.0,200.0,214.0,246.0,207.0,214.0,225.0,209.0,24.0,48.0,25.0,54.0,0.0,0.0,0.0,0.0,7.0,13.0,16.0,12.0,5.0,15.0,12.0,0.0,0.0,71.0,8.0,82.0,0.0,72.0,89.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15,33,33,48,9,9,-5,0,-11,0,-6,-1,1,23,21,20,11,44,24,22,-13,-16,0,0,0,0,0,0,0,21,11,32,29,29,1,5,-1,0,-13,28,-17,28,30,20,22.0,36.0,15.0,14.0,15.0,19.0,11.0,11.0,0.0,16.0,21.0,24.0,23.0,23.0,13.0,18.0,9.0,4.0,0.0,0.0,5.0,9.0,6.0,10.0,5.0,8.0,6.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
