,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174
0,10,47,38,47,47,43,26,28,24,35,26,38,13,44,26,29,11,25,20,23,6,30,6.0,45.0,35.0,58.0,28.0,75.0,27.0,55.0,49.0,69.0,4.0,24.0,5.0,47.0,-4.0,0.0,-4.0,0.0,0.0,38.0,47.0,37.0,2.0,14.0,-22.0,0.0,13.0,28.0,30.0,33.0,37.0,34.0,29.0,57.0,53.0,41.0,-48.0,-31.0,-74.0,-36.0,-107.0,-92.0,-76.0,-50.0,-70.0,-68.0,-113.0,-121.0,-141.0,-113.0,-87.0,-158.0,-187.0,-156.0,-175.0,-41.0,-461.0,-480.0,-449.0,-457.0,-525.0,-415.0,-444.0,-509.0,-583.0,-384.0,-394.0,-375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,37,49,29,37,30,35,35,63,52,66,65,64,50,64,26,37,23,50,41,49,26,40,37.0,52.0,49.0,70.0,62.0,93.0,66.0,146.0,125.0,128.0,146.0,150.0,144.0,160.0,159.0,166.0,159.0,218.0,225.0,212.0,193.0,222.0,178.0,194.0,151.0,245.0,260.0,453.0,425.0,387.0,425.0,451.0,437.0,439.0,428.0,469.0,462.0,472.0,301.0,268.0,284.0,281.0,287.0,398.0,338.0,346.0,312.0,632.0,651.0,650.0,633.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28,38,33,35,37,41,15,43,40,44,9,20,20,31,32,49,35,55,70,63,63,71,70.0,119.0,108.0,58.0,50.0,69.0,61.0,92.0,84.0,77.0,31.0,132.0,7.0,97.0,81.0,50.0,0.0,97.0,20.0,39.0,10.0,163.0,81.0,172.0,128.0,137.0,130.0,111.0,104.0,145.0,88.0,204.0,172.0,184.0,169.0,227.0,233.0,299.0,247.0,249.0,277.0,286.0,286.0,399.0,390.0,410.0,332.0,337.0,378.0,314.0,323.0,423.0,445.0,438.0,451.0,453.0,372.0,477.0,555.0,565.0,585.0,641.0,495.0,509.0,566.0,572.0,535.0,656.0,537.0,609.0,575.0,515.0,501.0,600.0,628.0,667.0,542.0,641.0,634.0,737.0,734.0,726.0,638.0,713.0,719.0,753.0,775.0,1040.0,1042.0,1222.0,762.0,995.0,1113.0,1253.0,784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30,42,29,36,39,39,25,46,39,37,36,45,40,35,42,56,54,60,34,54,52,46,28.0,54.0,58.0,30.0,30.0,39.0,36.0,34.0,-5.0,0.0,-16.0,0.0,-14.0,18.0,4.0,52.0,7.0,6.0,5.0,10.0,4.0,0.0,5.0,2.0,0.0,5.0,-4.0,0.0,7.0,1.0,-10.0,0.0,0.0,4.0,8.0,9.0,7.0,5.0,4.0,4.0,4.0,4.0,10.0,14.0,0.0,11.0,18.0,51.0,27.0,23.0,24.0,23.0,6.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,19,48,45,24,39,53,39,47,39,70,59,70,54,64,27,35,22,55,29,38,13,46,3.0,3.0,12.0,8.0,35.0,41.0,27.0,37.0,7.0,26.0,-28.0,7.0,-3.0,8.0,10.0,9.0,-23.0,25.0,16.0,47.0,37.0,34.0,-3.0,34.0,49.0,31.0,24.0,11.0,11.0,10.0,7.0,7.0,10.0,10.0,5.0,10.0,6.0,10.0,10.0,26.0,12.0,19.0,9.0,19.0,13.0,15.0,9.0,16.0,16.0,18.0,18.0,20.0,15.0,15.0,10.0,13.0,7.0,8.0,11.0,18.0,13.0,15.0,12.0,10.0,8.0,16.0,5.0,3.0,5.0,12.0,14.0,7.0,11.0,12.0,12.0,11.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,34,68,45,61,36,55,47,52,27,70,40,46,36,43,27,29,20,48,40,59,39,41,22.0,28.0,23.0,42.0,39.0,41.0,44.0,101.0,29.0,40.0,42.0,40.0,39.0,47.0,36.0,22.0,27.0,72.0,36.0,79.0,93.0,91.0,85.0,79.0,62.0,80.0,69.0,84.0,64.0,60.0,45.0,55.0,59.0,105.0,133.0,128.0,86.0,113.0,79.0,360.0,237.0,293.0,17.0,298.0,331.0,337.0,326.0,329.0,291.0,287.0,282.0,288.0,266.0,286.0,281.0,285.0,288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,30,50,23,64,48,45,23,39,33,35,26,33,37,51,34,23,22,34,12,35,23,5,3.0,37.0,23.0,34.0,27.0,27.0,-7.0,19.0,18.0,73.0,68.0,76.0,65.0,125.0,50.0,56.0,46.0,53.0,4.0,59.0,-43.0,-43.0,-45.0,-72.0,-63.0,-30.0,-66.0,-12.0,-79.0,6.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,-1.0,-1.0,-11.0,0.0,-5.0,-5.0,-6.0,-5.0,-11.0,-11.0,-10.0,-8.0,-10.0,-10.0,-6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,27,47,25,29,0,11,15,22,0,1,0,-14,0,-6,0,11,31,19,9,-15,4,0,0.0,19.0,0.0,18.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,35,39,26,43,4,34,30,43,33,52,26,21,28,34,17,42,5,33,34,33,0,20,25.0,35.0,4.0,6.0,7.0,62.0,99.0,114.0,102.0,151.0,179.0,185.0,175.0,183.0,182.0,182.0,165.0,167.0,175.0,177.0,151.0,142.0,123.0,125.0,116.0,113.0,116.0,114.0,116.0,223.0,195.0,243.0,253.0,399.0,395.0,390.0,314.0,312.0,225.0,286.0,260.0,265.0,239.0,273.0,238.0,252.0,187.0,415.0,214.0,262.0,123.0,138.0,96.0,111.0,117.0,111.0,101.0,128.0,107.0,110.0,86.0,167.0,129.0,167.0,100.0,78.0,56.0,87.0,79.0,61.0,46.0,60.0,106.0,56.0,72.0,72.0,72.0,43.0,37.0,26.0,0.0,76.0,71.0,69.0,45.0,70.0,91.0,29.0,21.0,38.0,32.0,32.0,28.0,56.0,52.0,37.0,31.0,44.0,58.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,36.0,0.0,0.0,3.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,33,42,49,49,39,50,57,47,35,70,45,74,53,45,12,45,20,37,0,17,16,25,16.0,26.0,24.0,47.0,19.0,36.0,31.0,33.0,17.0,53.0,33.0,64.0,23.0,30.0,13.0,14.0,-29.0,-8.0,-63.0,-69.0,-84.0,-81.0,-99.0,-92.0,-74.0,-2.0,-61.0,-14.0,-48.0,-48.0,-36.0,-17.0,-10.0,-7.0,-18.0,-8.0,-7.0,-4.0,-45.0,-33.0,-36.0,-18.0,-59.0,-29.0,-40.0,-39.0,-59.0,-25.0,-22.0,-22.0,-15.0,0.0,-13.0,0.0,-10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
