,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117
0,3.0,10.0,6.0,23.0,15.0,10.0,62.0,6.0,0.0,21.0,61.0,34.0,0.0,7.0,0.0,16.0,19.0,14.0,47.0,0.0,0.0,10.0,0.0,33.0,12.0,38.0,0.0,3.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21.0,14.0,23.0,8.0,3.0,12.0,12.0,1.0,32.0,0.0,71.0,0.0,0.0,0.0,0.0,179.0,61.0,57.0,23.0,49.0,0.0,246.0,99.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.0,14.0,23.0,24.0,12.0,9.0,0.0,37.0,11.0,13.0,13.0,3.0,1.0,16.0,34.0,52.0,0.0,72.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16.0,0.0,6.0,7.0,33.0,35.0,12.0,28.0,0.0,4.0,0.0,18.0,2.0,11.0,34.0,12.0,0.0,0.0,0.0,5.0,9.0,37.0,3.0,16.0,11.0,8.0,6.0,14.0,1.0,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,14.0,17.0,2.0,21.0,0.0,0.0,34.0,0.0,2.0,83.0,10.0,30.0,11.0,0.0,37.0,38.0,6.0,11.0,0.0,0.0,17.0,0.0,12.0,19.0,7.0,0.0,84.0,54.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,16.0,0.0,0.0,4.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,9.0,6.0,26.0,0.0,8.0,0.0,65.0,0.0,99.0,13.0,17.0,25.0,13.0,15.0,20.0,12.0,36.0,0.0,33.0,0.0,87.0,0.0,3.0,13.0,7.0,1.0,2.0,8.0,27.0,48.0,6.0,0.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.0,4.0,19.0,7.0,22.0,14.0,85.0,0.0,58.0,30.0,0.0,42.0,70.0,28.0,21.0,35.0,22.0,71.0,1.0,20.0,13.0,3.0,10.0,24.0,0.0,6.0,143.0,13.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,33.0,27.0,18.0,9.0,11.0,9.0,10.0,69.0,21.0,0.0,130.0,2.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,16.0,27.0,2.0,29.0,3.0,22.0,44.0,3.0,53.0,38.0,57.0,5.0,9.0,0.0,63.0,0.0,0.0,11.0,45.0,0.0,0.0,23.0,16.0,7.0,0.0,9.0,0.0,0.0,98.0,0.0,0.0,0.0,70.0,0.0,0.0,17.0,0.0,18.0,0.0,15.0,43.0,85.0,0.0,132.0,0.0,142.0,94.0,0.0,27.0,31.0,0.0,176.0,16.0,202.0,0.0,58.0,57.0,27.0,110.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,25.0,0.0,14.0,5.0,8.0,0.0,18.0,34.0,7.0,0.0,0.0,41.0,15.0,17.0,16.0,12.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15.0,34.0,0.0,14.0,16.0,7.0,3.0,1.0,17.0,35.0,0.0,17.0,25.0,0.0,0.0,147.0,48.0,0.0,80.0,1.0,53.0,116.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
