,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
0,1.0,32.0,1.0,51.0,12.0,41.0,10.0,13.0,8.0,29.0,15.0,0.0,24.0,12.0,19.0,12.0,22.0,6.0,23.0,64.0,65.0,15.0,24.0,10.0,3.0,0.0,0.0,0.0,50.0,0.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,37.0,3.0,0.0,9.0,10.0,2.0,3.0,13.0,0.0,14.0,0.0,15.0,26.0,12.0,14.0,14.0,4.0,14.0,5.0,30.0,25.0,25.0,19.0,0.0,15.0,8.0,9.0,5.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9.0,26.0,16.0,0.0,32.0,13.0,8.0,31.0,9.0,25.0,0.0,0.0,45.0,16.0,6.0,20.0,14.0,5.0,1.0,4.0,18.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,14.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7.0,11.0,10.0,2.0,8.0,32.0,43.0,29.0,0.0,1.0,0.0,6.0,0.0,9.0,5.0,0.0,4.0,0.0,2.0,45.0,26.0,20.0,29.0,54.0,20.0,43.0,39.0,41.0,34.0,17.0,34.0,10.0,69.0,16.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3.0,8.0,12.0,14.0,16.0,22.0,0.0,27.0,0.0,33.0,0.0,32.0,36.0,0.0,15.0,40.0,41.0,76.0,79.0,54.0,35.0,37.0,0.0,0.0,44.0,0.0,19.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12.0,12.0,0.0,14.0,17.0,1.0,10.0,16.0,4.0,38.0,23.0,0.0,9.0,24.0,25.0,35.0,0.0,14.0,0.0,0.0,15.0,26.0,8.0,10.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,3.0,7.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,18.0,54.0,17.0,28.0,0.0,5.0,2.0,20.0,15.0,20.0,0.0,24.0,3.0,33.0,3.0,26.0,14.0,18.0,8.0,44.0,26.0,0.0,14.0,4.0,5.0,3.0,11.0,0.0,0.0,7.0,4.0,0.0,6.0,0.0,0.0,3.0,0.0,6.0,9.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6.0,0.0,5.0,0.0,2.0,0.0,5.0,71.0,28.0,7.0,4.0,15.0,7.0,15.0,10.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11.0,15.0,19.0,16.0,0.0,15.0,7.0,14.0,14.0,24.0,1.0,55.0,10.0,30.0,92.0,23.0,0.0,22.0,1.0,33.0,42.0,16.0,0.0,6.0,51.0,14.0,13.0,42.0,9.0,30.0,9.0,64.0,20.0,0.0,109.0,32.0,0.0,19.0,19.0,11.0,0.0,16.0,0.0,19.0,56.0,0.0,10.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11.0,4.0,16.0,23.0,4.0,0.0,4.0,12.0,11.0,72.0,16.0,46.0,0.0,23.0,13.0,15.0,12.0,91.0,0.0,0.0,46.0,33.0,50.0,13.0,1.0,26.0,1.0,15.0,22.0,2.0,0.0,0.0,26.0,5.0,0.0,2.0,30.0,11.0,12.0,21.0,177.0,20.0,6.0,15.0,27.0,179.0,0.0,4.0,0.0,207.0,14.0,0.0,37.0,0.0,9.0,41.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
