,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
0,1.0,8.0,15.0,0.0,20.0,36.0,34.0,15.0,10.0,60.0,59.0,75.0,14.0,0.0,40.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,6.0,70.0,0.0,34.0,0.0,0.0,0.0,62.0,0.0,54.0,1.0,0.0,90.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13.0,3.0,4.0,27.0,15.0,24.0,27.0,1.0,0.0,26.0,8.0,10.0,29.0,13.0,8.0,2.0,10.0,4.0,21.0,6.0,2.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16.0,0.0,12.0,6.0,0.0,31.0,11.0,11.0,2.0,0.0,0.0,45.0,0.0,17.0,8.0,5.0,0.0,63.0,0.0,0.0,0.0,0.0,26.0,34.0,0.0,13.0,0.0,47.0,28.0,17.0,0.0,0.0,0.0,20.0,33.0,0.0,3.0,50.0,0.0,33.0,0.0,132.0,37.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16.0,0.0,11.0,0.0,22.0,9.0,14.0,22.0,6.0,12.0,3.0,21.0,14.0,0.0,15.0,0.0,5.0,7.0,0.0,1.0,3.0,6.0,6.0,8.0,13.0,14.0,0.0,0.0,14.0,0.0,1.0,9.0,15.0,4.0,0.0,5.0,39.0,4.0,15.0,0.0,14.0,0.0,0.0,42.0,84.0,147.0,9.0,89.0,0.0,0.0,331.0,0.0,0.0,4.0,5.0,0.0,405.0,15.0,0.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.0,4.0,0.0,7.0,9.0,0.0,9.0,4.0,7.0,27.0,25.0,0.0,0.0,0.0,22.0,13.0,35.0,0.0,2.0,0.0,29.0,65.0,7.0,0.0,20.0,28.0,0.0,5.0,64.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3.0,8.0,0.0,7.0,1.0,0.0,32.0,6.0,22.0,21.0,18.0,11.0,51.0,4.0,25.0,103.0,160.0,0.0,37.0,44.0,14.0,6.0,3.0,0.0,58.0,15.0,121.0,122.0,61.0,263.0,0.0,1474.0,0.0,9.0,0.0,14.0,16.0,245.0,0.0,20.0,86.0,93.0,13.0,0.0,124.0,83.0,25.0,128.0,117.0,12.0,15.0,43.0,14.0,45.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,17.0,15.0,16.0,14.0,6.0,26.0,1.0,0.0,113.0,7.0,0.0,16.0,41.0,0.0,8.0,13.0,19.0,0.0,0.0,1.0,0.0,7.0,14.0,0.0,0.0,100.0,17.0,0.0,0.0,30.0,0.0,10.0,0.0,32.0,15.0,16.0,59.0,37.0,13.0,14.0,0.0,0.0,0.0,43.0,15.0,39.0,0.0,0.0,0.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5.0,8.0,6.0,14.0,18.0,23.0,17.0,2.0,12.0,41.0,57.0,0.0,9.0,24.0,41.0,31.0,20.0,37.0,25.0,10.0,3.0,213.0,39.0,0.0,6.0,5.0,11.0,0.0,56.0,0.0,0.0,86.0,136.0,426.0,57.0,97.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.0,5.0,8.0,14.0,2.0,18.0,19.0,8.0,4.0,58.0,29.0,19.0,29.0,0.0,0.0,28.0,26.0,15.0,61.0,86.0,54.0,18.0,0.0,3.0,110.0,7.0,0.0,0.0,8.0,0.0,14.0,11.0,49.0,0.0,13.0,0.0,1.0,9.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,30.0,0.0,23.0,71.0,60.0,13.0,7.0,44.0,7.0,22.0,15.0,25.0,35.0,46.0,0.0,68.0,19.0,32.0,22.0,12.0,12.0,54.0,15.0,44.0,22.0,74.0,96.0,41.0,56.0,0.0,50.0,0.0,0.0,0.0,130.0,0.0,0.0,15.0,0.0,32.0,30.0,252.0,15.0,22.0,0.0,92.0,10.0,0.0,5.0,18.0,11.0,4.0,0.0,0.0,22.0,0.0,67.0,76.0,8.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,15.0,0.0,3.0,12.0,28.0,26.0,30.0,14.0,6.0,3.0,17.0,16.0,0.0,7.0,25.0,13.0,35.0,16.0,0.0,37.0,33.0,32.0,0.0,35.0,26.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,37.0,0.0,3.0,0.0,5.0,0.0,0.0,41.0,5.0,34.0,14.0,0.0,20.0,22.0,47.0,16.0,13.0,35.0,72.0,16.0,22.0,0.0,0.0,20.0,9.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,2.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,56.0,39.0,116.0,663.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9.0,23.0,2.0,0.0,7.0,23.0,2.0,0.0,58.0,9.0,9.0,0.0,36.0,3.0,208.0,42.0,19.0,28.0,13.0,51.0,9.0,0.0,51.0,24.0,47.0,48.0,43.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,18.0,9.0,13.0,9.0,14.0,11.0,56.0,37.0,20.0,95.0,0.0,19.0,0.0,88.0,28.0,141.0,69.0,86.0,55.0,96.0,35.0,19.0,144.0,23.0,6.0,61.0,0.0,3.0,53.0,28.0,21.0,0.0,11.0,10.0,8.0,6.0,17.0,1.0,0.0,0.0,0.0,22.0,42.0,14.0,0.0,56.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
