,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168
0,13.0,18.0,8.0,24.0,0.0,28.0,26.0,37.0,22.0,11.0,20.0,0.0,32.0,6.0,2.0,24.0,21.0,0.0,21.0,0.0,10.0,7.0,24.0,0.0,34.0,0.0,0.0,13.0,0.0,0.0,8.0,11.0,58.0,9.0,0.0,2.0,0.0,5.0,11.0,48.0,153.0,0.0,1.0,115.0,13.0,0.0,22.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17.0,44.0,12.0,16.0,21.0,0.0,8.0,0.0,18.0,6.0,24.0,30.0,14.0,0.0,5.0,8.0,62.0,16.0,28.0,43.0,12.0,41.0,39.0,41.0,5.0,0.0,73.0,0.0,25.0,0.0,6.0,71.0,10.0,34.0,54.0,16.0,0.0,28.0,19.0,14.0,93.0,15.0,16.0,79.0,15.0,119.0,0.0,6.0,23.0,13.0,0.0,12.0,26.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,104.0,74.0,49.0,0.0,0.0,0.0,75.0,30.0,41.0,0.0,8.0,0.0,0.0,2.0,25.0,19.0,0.0,122.0,214.0,0.0,3.0,0.0,0.0,0.0,358.0,7.0,1.0,207.0,228.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,28.0,2.0,16.0,8.0,0.0,21.0,7.0,3.0,30.0,3.0,0.0,24.0,27.0,47.0,34.0,26.0,0.0,0.0,17.0,5.0,78.0,0.0,17.0,9.0,62.0,7.0,27.0,19.0,0.0,37.0,12.0,34.0,8.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,25.0,11.0,19.0,0.0,1.0,4.0,0.0,16.0,67.0,11.0,23.0,5.0,17.0,92.0,51.0,21.0,42.0,14.0,6.0,18.0,43.0,79.0,0.0,95.0,5.0,202.0,34.0,7.0,236.0,25.0,84.0,24.0,0.0,0.0,192.0,181.0,87.0,4.0,1.0,0.0,2.0,0.0,38.0,107.0,29.0,4.0,8.0,0.0,12.0,24.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,56.0,203.0,31.0,52.0,65.0,31.0,25.0,54.0,227.0,75.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3.0,13.0,3.0,25.0,6.0,7.0,5.0,30.0,1.0,17.0,35.0,4.0,13.0,0.0,0.0,9.0,2.0,28.0,16.0,0.0,0.0,11.0,7.0,10.0,0.0,18.0,10.0,8.0,30.0,63.0,11.0,11.0,90.0,17.0,26.0,0.0,28.0,73.0,229.0,42.0,41.0,7.0,23.0,0.0,33.0,17.0,29.0,0.0,150.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6.0,21.0,21.0,1.0,11.0,14.0,2.0,7.0,40.0,59.0,22.0,34.0,0.0,55.0,28.0,19.0,10.0,26.0,78.0,15.0,13.0,30.0,82.0,21.0,0.0,100.0,0.0,0.0,122.0,7.0,0.0,0.0,120.0,99.0,0.0,0.0,14.0,0.0,1.0,0.0,33.0,29.0,13.0,167.0,27.0,41.0,14.0,67.0,44.0,47.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,25.0,17.0,20.0,0.0,1.0,11.0,24.0,0.0,8.0,34.0,39.0,36.0,44.0,0.0,57.0,29.0,12.0,105.0,69.0,9.0,80.0,0.0,69.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,57.0,41.0,0.0,0.0,83.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11.0,26.0,9.0,2.0,11.0,10.0,6.0,16.0,6.0,4.0,0.0,8.0,21.0,30.0,25.0,77.0,86.0,0.0,78.0,88.0,7.0,0.0,72.0,21.0,88.0,56.0,9.0,100.0,0.0,32.0,21.0,26.0,13.0,58.0,133.0,9.0,30.0,326.0,0.0,4.0,15.0,36.0,108.0,20.0,0.0,216.0,19.0,26.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,11.0,5.0,8.0,54.0,15.0,0.0,73.0,44.0,24.0,58.0,3.0,2.0,11.0,37.0,32.0,56.0,19.0,0.0,50.0,0.0,49.0,21.0,0.0,27.0,29.0,49.0,9.0,48.0,47.0,0.0,23.0,19.0,21.0,14.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,28.0,21.0,18.0,4.0,30.0,39.0,12.0,22.0,19.0,29.0,6.0,32.0,23.0,14.0,20.0,0.0,0.0,8.0,57.0,47.0,8.0,8.0,0.0,0.0,17.0,21.0,2.0,33.0,13.0,13.0,7.0,9.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,17.0,0.0,0.0,8.0,1.0,13.0,1.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
