,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
0,29.0,24.0,1.0,6.0,33.0,0.0,12.0,0.0,8.0,4.0,5.0,30.0,60.0,40.0,9.0,21.0,16.0,0.0,8.0,88.0,0.0,1.0,0.0,77.0,47.0,18.0,11.0,13.0,0.0,57.0,113.0,0.0,0.0,0.0,76.0,29.0,0.0,128.0,19.0,0.0,11.0,23.0,4.0,0.0,12.0,17.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13.0,0.0,0.0,5.0,0.0,19.0,13.0,20.0,25.0,19.0,0.0,10.0,0.0,13.0,27.0,0.0,10.0,33.0,15.0,7.0,15.0,44.0,18.0,0.0,0.0,68.0,0.0,0.0,0.0,7.0,0.0,14.0,10.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20.0,6.0,0.0,22.0,11.0,30.0,11.0,13.0,0.0,16.0,47.0,82.0,35.0,25.0,0.0,23.0,21.0,14.0,8.0,434.0,26.0,129.0,0.0,53.0,0.0,0.0,110.0,22.0,0.0,49.0,0.0,9.0,7.0,0.0,28.0,24.0,3.0,100.0,18.0,0.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,27.0,49.0,0.0,15.0,0.0,43.0,31.0,7.0,0.0,11.0,0.0,7.0,5.0,27.0,9.0,17.0,8.0,18.0,21.0,25.0,9.0,16.0,3.0,42.0,0.0,30.0,7.0,11.0,16.0,49.0,3.0,22.0,0.0,0.0,0.0,0.0,58.0,9.0,2.0,66.0,29.0,0.0,0.0,11.0,23.0,33.0,30.0,17.0,288.0,3.0,24.0,32.0,78.0,50.0,84.0,546.0,392.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,22.0,30.0,15.0,21.0,17.0,3.0,0.0,22.0,20.0,0.0,12.0,7.0,0.0,1.0,3.0,20.0,32.0,0.0,3.0,22.0,0.0,9.0,0.0,6.0,0.0,0.0,2.0,8.0,13.0,12.0,16.0,0.0,16.0,0.0,0.0,39.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3.0,21.0,11.0,18.0,0.0,17.0,32.0,9.0,9.0,0.0,20.0,23.0,5.0,4.0,69.0,0.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,12.0,5.0,17.0,33.0,1.0,9.0,4.0,1.0,29.0,13.0,14.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,15.0,43.0,13.0,21.0,8.0,0.0,16.0,11.0,0.0,32.0,4.0,8.0,8.0,43.0,28.0,9.0,19.0,0.0,8.0,28.0,43.0,5.0,20.0,15.0,37.0,108.0,130.0,9.0,29.0,0.0,135.0,0.0,33.0,162.0,0.0,42.0,87.0,0.0,23.0,37.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,175.0,6.0,0.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7.0,32.0,5.0,0.0,4.0,23.0,17.0,2.0,1.0,7.0,1.0,9.0,6.0,13.0,6.0,26.0,14.0,20.0,19.0,5.0,4.0,10.0,0.0,27.0,67.0,104.0,86.0,6.0,5.0,0.0,0.0,5.0,0.0,13.0,0.0,65.0,24.0,0.0,94.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,27.0,0.0,3.0,20.0,6.0,0.0,8.0,34.0,8.0,79.0,26.0,4.0,0.0,34.0,6.0,60.0,9.0,59.0,0.0,0.0,0.0,0.0,0.0,71.0,20.0,2.0,64.0,33.0,22.0,11.0,99.0,39.0,155.0,288.0,166.0,69.0,0.0,0.0,111.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,26.0,6.0,26.0,5.0,0.0,0.0,7.0,34.0,1.0,9.0,31.0,41.0,30.0,20.0,49.0,43.0,0.0,0.0,51.0,28.0,0.0,31.0,25.0,377.0,0.0,0.0,81.0,46.0,26.0,227.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,22.0,25.0,14.0,16.0,15.0,18.0,35.0,2.0,27.0,32.0,130.0,1.0,92.0,13.0,36.0,0.0,47.0,43.0,29.0,8.0,0.0,6.0,191.0,0.0,46.0,0.0,11.0,0.0,30.0,29.0,32.0,15.0,452.0,21.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
