,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
0,13.0,23.0,5.0,0.0,30.0,17.0,14.0,9.0,31.0,16.0,43.0,0.0,0.0,19.0,6.0,7.0,99.0,21.0,29.0,8.0,17.0,0.0,0.0,1.0,0.0,243.0,49.0,39.0,33.0,13.0,200.0,0.0,0.0,0.0,0.0,38.0,28.0,9.0,0.0,16.0,27.0,174.0,34.0,0.0,4.0,19.0,5.0,0.0,2.0,0.0,0.0,6.0,9.0,0.0,3.0,12.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,15.0,15.0,99.0,8.0,32.0,0.0,18.0,119.0,0.0,0.0,46.0,25.0,0.0,48.0,17.0,0.0,24.0,0.0,2.0,0.0,174.0,0.0,6.0,27.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.0,33.0,6.0,22.0,24.0,15.0,11.0,18.0,5.0,32.0,53.0,28.0,14.0,2.0,50.0,7.0,0.0,3.0,20.0,27.0,32.0,2.0,8.0,0.0,9.0,7.0,7.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0,6.0,9.0,19.0,12.0,15.0,13.0,0.0,16.0,22.0,0.0,45.0,44.0,33.0,2.0,0.0,3.0,41.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5.0,0.0,16.0,16.0,3.0,0.0,0.0,2.0,29.0,30.0,6.0,18.0,0.0,17.0,18.0,36.0,24.0,80.0,121.0,237.0,12.0,30.0,6.0,2.0,1.0,35.0,0.0,73.0,0.0,20.0,20.0,95.0,3.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3.0,9.0,0.0,3.0,5.0,30.0,8.0,47.0,1.0,9.0,1.0,15.0,19.0,27.0,3.0,37.0,12.0,0.0,31.0,0.0,26.0,0.0,0.0,18.0,23.0,23.0,0.0,10.0,20.0,0.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.0,10.0,34.0,34.0,3.0,23.0,27.0,35.0,24.0,0.0,69.0,5.0,4.0,0.0,14.0,29.0,11.0,27.0,23.0,102.0,29.0,22.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,12.0,28.0,5.0,38.0,13.0,1.0,17.0,11.0,11.0,29.0,2.0,0.0,11.0,0.0,0.0,0.0,3.0,2.0,0.0,10.0,12.0,6.0,0.0,7.0,8.0,21.0,5.0,0.0,0.0,32.0,0.0,22.0,4.0,3.0,38.0,60.0,0.0,20.0,0.0,66.0,0.0,56.0,0.0,0.0,0.0,38.0,167.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10.0,39.0,2.0,15.0,15.0,19.0,19.0,13.0,9.0,7.0,8.0,2.0,0.0,17.0,12.0,16.0,30.0,4.0,69.0,0.0,9.0,29.0,62.0,0.0,61.0,51.0,38.0,0.0,0.0,5.0,4.0,0.0,31.0,0.0,30.0,16.0,0.0,0.0,0.0,21.0,3.0,0.0,16.0,19.0,0.0,8.0,0.0,0.0,0.0,11.0,0.0,0.0,19.0,36.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5.0,17.0,22.0,13.0,23.0,18.0,14.0,12.0,19.0,69.0,15.0,33.0,7.0,0.0,34.0,0.0,0.0,0.0,0.0,13.0,24.0,0.0,61.0,34.0,9.0,16.0,42.0,35.0,54.0,59.0,9.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
