,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
0,4.0,2.0,8.0,21.0,9.0,1.0,18.0,1.0,19.0,29.0,47.0,3.0,6.0,48.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,92.0,23.0,18.0,13.0,54.0,16.0,23.0,56.0,26.0,0.0,22.0,0.0,19.0,53.0,19.0,157.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,2.0,56.0,0.0,0.0,51.0,0.0,22.0,3.0,9.0,25.0,0.0,29.0,0.0,0.0,308.0,34.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13.0,8.0,0.0,14.0,34.0,0.0,0.0,13.0,33.0,0.0,10.0,51.0,1.0,19.0,14.0,49.0,23.0,78.0,6.0,12.0,7.0,0.0,40.0,28.0,111.0,0.0,0.0,0.0,30.0,20.0,139.0,63.0,48.0,185.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,7.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,24.0,14.0,20.0,26.0,24.0,0.0,0.0,36.0,14.0,0.0,14.0,0.0,12.0,0.0,0.0,0.0,77.0,0.0,2.0,22.0,17.0,9.0,8.0,6.0,16.0,37.0,34.0,12.0,0.0,24.0,7.0,7.0,14.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17.0,0.0,1.0,0.0,16.0,0.0,20.0,14.0,10.0,30.0,14.0,13.0,18.0,12.0,4.0,22.0,13.0,5.0,25.0,1.0,25.0,17.0,0.0,10.0,9.0,2.0,1.0,0.0,11.0,16.0,19.0,16.0,5.0,33.0,0.0,0.0,64.0,11.0,40.0,38.0,1.0,33.0,24.0,22.0,0.0,10.0,25.0,19.0,0.0,5.0,16.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.0,21.0,18.0,3.0,0.0,22.0,0.0,22.0,34.0,0.0,10.0,3.0,1.0,48.0,90.0,0.0,0.0,0.0,93.0,83.0,57.0,39.0,0.0,0.0,21.0,29.0,32.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4.0,5.0,26.0,0.0,16.0,0.0,9.0,72.0,23.0,27.0,24.0,17.0,11.0,0.0,88.0,0.0,94.0,9.0,0.0,0.0,17.0,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10.0,11.0,28.0,0.0,16.0,38.0,14.0,11.0,0.0,6.0,10.0,5.0,21.0,21.0,15.0,32.0,14.0,0.0,0.0,0.0,5.0,18.0,41.0,107.0,1.0,55.0,31.0,112.0,152.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,22.0,5.0,17.0,0.0,11.0,15.0,5.0,8.0,0.0,3.0,3.0,14.0,6.0,11.0,20.0,0.0,35.0,0.0,12.0,6.0,30.0,1.0,4.0,8.0,9.0,1.0,12.0,16.0,0.0,0.0,8.0,0.0,0.0,0.0,25.0,5.0,9.0,15.0,0.0,19.0,0.0,0.0,3.0,7.0,4.0,5.0,2.0,0.0,0.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,15.0,12.0,1.0,11.0,18.0,4.0,14.0,19.0,53.0,40.0,13.0,43.0,23.0,25.0,5.0,83.0,0.0,39.0,137.0,13.0,112.0,17.0,0.0,94.0,7.0,0.0,7.0,70.0,19.0,17.0,25.0,7.0,13.0,82.0,0.0,0.0,4.0,1.0,4.0,0.0,55.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,27.0,23.0,31.0,0.0,5.0,0.0,20.0,7.0,0.0,25.0,33.0,24.0,34.0,18.0,14.0,0.0,32.0,34.0,22.0,11.0,5.0,0.0,0.0,11.0,145.0,18.0,14.0,0.0,168.0,10.0,65.0,8.0,76.0,28.0,0.0,6.0,0.0,41.0,0.0,55.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
