,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
0,1.0,8.0,17.0,3.0,12.0,9.0,20.0,43.0,36.0,14.0,6.0,14.0,16.0,0.0,19.0,7.0,38.0,217.0,0.0,103.0,32.0,54.0,0.0,69.0,42.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5.0,22.0,18.0,22.0,0.0,0.0,33.0,11.0,6.0,0.0,6.0,31.0,93.0,5.0,74.0,0.0,0.0,27.0,59.0,167.0,12.0,4.0,91.0,18.0,25.0,104.0,0.0,0.0,0.0,78.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,26.0,32.0,13.0,16.0,4.0,8.0,19.0,23.0,0.0,20.0,6.0,45.0,14.0,16.0,0.0,28.0,18.0,0.0,23.0,8.0,3.0,0.0,0.0,54.0,102.0,9.0,72.0,0.0,51.0,108.0,137.0,46.0,18.0,0.0,170.0,62.0,102.0,0.0,0.0,34.0,278.0,70.0,132.0,247.0,0.0,0.0,9.0,0.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16.0,1.0,23.0,0.0,0.0,11.0,22.0,0.0,43.0,18.0,45.0,8.0,54.0,26.0,13.0,46.0,51.0,0.0,0.0,16.0,1.0,34.0,17.0,8.0,7.0,114.0,39.0,30.0,57.0,4.0,0.0,25.0,33.0,1.0,19.0,17.0,98.0,34.0,99.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,28.0,44.0,9.0,2.0,21.0,40.0,33.0,5.0,1.0,0.0,75.0,38.0,86.0,0.0,31.0,33.0,20.0,0.0,5.0,88.0,36.0,16.0,10.0,112.0,0.0,0.0,0.0,11.0,74.0,0.0,8.0,10.0,27.0,33.0,9.0,29.0,0.0,0.0,15.0,45.0,19.0,3.0,0.0,21.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,11.0,0.0,22.0,10.0,0.0,18.0,27.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,31.0,24.0,10.0,0.0,0.0,0.0,24.0,58.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,466.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8.0,46.0,11.0,13.0,21.0,85.0,44.0,3.0,20.0,0.0,2.0,215.0,2.0,152.0,130.0,71.0,55.0,43.0,17.0,206.0,11.0,32.0,0.0,287.0,0.0,47.0,629.0,223.0,179.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28.0,0.0,0.0,25.0,16.0,18.0,4.0,14.0,16.0,33.0,3.0,0.0,4.0,130.0,10.0,56.0,45.0,17.0,0.0,28.0,23.0,25.0,30.0,22.0,7.0,0.0,0.0,21.0,160.0,58.0,101.0,19.0,0.0,24.0,66.0,0.0,0.0,2.0,0.0,268.0,0.0,23.0,0.0,0.0,83.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5.0,39.0,23.0,0.0,0.0,53.0,29.0,18.0,97.0,9.0,0.0,20.0,19.0,23.0,45.0,4.0,1.0,20.0,0.0,0.0,0.0,34.0,0.0,29.0,63.0,0.0,29.0,0.0,0.0,77.0,39.0,39.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,8.0,6.0,2.0,7.0,0.0,7.0,13.0,8.0,3.0,0.0,0.0,0.0,6.0,2.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.0,9.0,50.0,4.0,32.0,51.0,1.0,4.0,24.0,42.0,21.0,23.0,22.0,22.0,0.0,0.0,52.0,15.0,39.0,10.0,52.0,5.0,0.0,0.0,0.0,8.0,69.0,16.0,0.0,30.0,19.0,1.0,22.0,3.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,10.0,0.0,0.0,21.0,22.0,22.0,6.0,0.0,8.0,99.0,0.0,77.0,76.0,73.0,139.0,23.0,114.0,55.0,12.0,118.0,32.0,112.0,1.0,29.0,4.0,0.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,40.0,0.0,0.0,39.0,43.0,11.0,18.0,45.0,28.0,21.0,0.0,39.0,48.0,24.0,30.0,17.0,72.0,117.0,0.0,32.0,42.0,0.0,0.0,124.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,24.0,27.0,12.0,10.0,0.0,3.0,12.0,27.0,0.0,4.0,1.0,11.0,20.0,0.0,8.0,4.0,22.0,14.0,0.0,88.0,23.0,9.0,0.0,1.0,24.0,15.0,100.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11.0,25.0,31.0,15.0,28.0,0.0,37.0,20.0,34.0,10.0,16.0,23.0,42.0,64.0,20.0,6.0,29.0,14.0,82.0,9.0,37.0,8.0,36.0,9.0,48.0,32.0,0.0,5.0,6.0,25.0,2.0,0.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,22.0,0.0,31.0,0.0,16.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,16.0,11.0,24.0,0.0,33.0,31.0,34.0,40.0,0.0,0.0,72.0,18.0,25.0,0.0,101.0,9.0,30.0,9.0,0.0,22.0,0.0,75.0,3.0,20.0,36.0,0.0,283.0,3.0,10.0,75.0,2.0,39.0,78.0,0.0,35.0,0.0,0.0,11.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13.0,48.0,28.0,11.0,0.0,4.0,11.0,33.0,0.0,59.0,5.0,26.0,10.0,6.0,20.0,53.0,27.0,11.0,19.0,20.0,36.0,11.0,0.0,4.0,14.0,9.0,12.0,21.0,24.0,41.0,0.0,96.0,214.0,0.0,264.0,0.0,0.0,0.0,258.0,0.0,35.0,234.0,141.0,0.0,3.0,172.0,206.0,14.0,0.0,20.0,598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,40.0,32.0,39.0,29.0,20.0,3.0,23.0,0.0,17.0,25.0,17.0,1.0,4.0,9.0,17.0,0.0,27.0,11.0,10.0,15.0,22.0,0.0,17.0,51.0,5.0,9.0,12.0,52.0,29.0,5.0,0.0,26.0,6.0,8.0,0.0,1.0,12.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,11.0,19.0,0.0,22.0,17.0,29.0,63.0,53.0,18.0,188.0,21.0,39.0,40.0,107.0,58.0,65.0,57.0,246.0,10.0,126.0,60.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,30.0,3.0,14.0,11.0,10.0,24.0,63.0,24.0,42.0,122.0,27.0,2.0,216.0,18.0,0.0,21.0,37.0,0.0,156.0,14.0,0.0,40.0,4.0,14.0,12.0,0.0,71.0,0.0,125.0,6.0,182.0,0.0,0.0,0.0,61.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,2.0,48.0,48.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,28.0,93.0,30.0,0.0,0.0,26.0,0.0,38.0,112.0,6.0,35.0,20.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,14.0,14.0,13.0,0.0,47.0,0.0,23.0,34.0,21.0,33.0,6.0,17.0,23.0,29.0,13.0,13.0,131.0,82.0,0.0,47.0,0.0,102.0,15.0,33.0,17.0,0.0,96.0,11.0,31.0,0.0,0.0,0.0,0.0,21.0,10.0,0.0,0.0,148.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,330.0,0.0,0.0,823.0,40.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,9.0,9.0,23.0,17.0,1.0,16.0,7.0,86.0,26.0,64.0,62.0,6.0,83.0,39.0,16.0,15.0,2.0,7.0,0.0,94.0,50.0,41.0,47.0,101.0,0.0,66.0,87.0,71.0,53.0,40.0,237.0,225.0,0.0,0.0,79.0,105.0,0.0,43.0,177.0,66.0,22.0,95.0,42.0,55.0,0.0,0.0,52.0,94.0,18.0,4.0,15.0,29.0,125.0,57.0,52.0,67.0,56.0,29.0,0.0,0.0,9.0,12.0,12.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20.0,0.0,15.0,9.0,0.0,13.0,0.0,0.0,85.0,25.0,0.0,4.0,0.0,14.0,0.0,16.0,22.0,15.0,5.0,7.0,18.0,18.0,0.0,22.0,0.0,2.0,23.0,12.0,26.0,0.0,7.0,33.0,3.0,0.0,0.0,28.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,13.0,20.0,10.0,0.0,38.0,18.0,35.0,18.0,0.0,11.0,0.0,35.0,68.0,6.0,0.0,10.0,26.0,0.0,141.0,0.0,27.0,93.0,54.0,73.0,27.0,32.0,46.0,0.0,55.0,32.0,0.0,0.0,65.0,0.0,46.0,2.0,0.0,24.0,114.0,624.0,0.0,57.0,0.0,59.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
