,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132
0,37.0,22.0,12.0,18.0,12.0,12.0,22.0,13.0,22.0,1.0,0.0,51.0,0.0,21.0,10.0,2.0,12.0,0.0,15.0,0.0,19.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11.0,23.0,29.0,13.0,20.0,3.0,28.0,23.0,12.0,8.0,22.0,29.0,53.0,26.0,0.0,0.0,14.0,21.0,0.0,14.0,0.0,59.0,7.0,0.0,9.0,9.0,22.0,0.0,13.0,7.0,11.0,6.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,19.0,32.0,0.0,8.0,14.0,20.0,6.0,9.0,3.0,0.0,4.0,9.0,2.0,13.0,0.0,0.0,15.0,2.0,0.0,2.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10.0,13.0,3.0,27.0,20.0,2.0,38.0,1.0,21.0,51.0,7.0,1.0,27.0,12.0,60.0,6.0,0.0,37.0,28.0,0.0,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8.0,29.0,15.0,20.0,0.0,32.0,25.0,7.0,13.0,0.0,57.0,0.0,15.0,0.0,11.0,32.0,6.0,0.0,29.0,3.0,0.0,22.0,28.0,17.0,1.0,13.0,30.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,31.0,0.0,17.0,0.0,41.0,16.0,9.0,0.0,7.0,0.0,27.0,0.0,22.0,41.0,5.0,16.0,131.0,33.0,36.0,34.0,60.0,57.0,20.0,0.0,22.0,4.0,0.0,2.0,0.0,0.0,33.0,35.0,18.0,4.0,28.0,37.0,3.0,14.0,44.0,39.0,29.0,27.0,0.0,116.0,0.0,43.0,18.0,90.0,86.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,23.0,31.0,6.0,11.0,61.0,0.0,10.0,29.0,13.0,8.0,3.0,65.0,0.0,19.0,39.0,17.0,24.0,29.0,25.0,56.0,13.0,10.0,61.0,14.0,127.0,28.0,0.0,0.0,19.0,0.0,2.0,0.0,0.0,7.0,10.0,74.0,0.0,0.0,0.0,6.0,39.0,34.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,37.0,34.0,0.0,0.0,39.0,8.0,2.0,0.0,34.0,21.0,12.0,23.0,54.0,9.0,0.0,17.0,6.0,3.0,2.0,101.0,0.0,1.0,9.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11.0,19.0,0.0,0.0,20.0,14.0,8.0,1.0,0.0,0.0,0.0,0.0,17.0,3.0,10.0,23.0,7.0,3.0,9.0,5.0,24.0,55.0,0.0,0.0,0.0,11.0,20.0,2.0,2.0,0.0,0.0,0.0,10.0,11.0,0.0,30.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,33.0,0.0,19.0,0.0,41.0,2.0,17.0,28.0,33.0,0.0,0.0,11.0,24.0,4.0,2.0,3.0,16.0,10.0,3.0,28.0,0.0,3.0,1.0,38.0,0.0,0.0,8.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,24.0,10.0,2.0,26.0,12.0,44.0,3.0,77.0,9.0,7.0,14.0,18.0,26.0,64.0,13.0,14.0,12.0,43.0,0.0,9.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,33.0,28.0,1.0,23.0,22.0,6.0,24.0,20.0,24.0,61.0,0.0,9.0,50.0,23.0,0.0,25.0,27.0,30.0,23.0,0.0,4.0,0.0,12.0,20.0,4.0,13.0,9.0,0.0,11.0,5.0,0.0,2.0,0.0,0.0,22.0,0.0,14.0,21.0,11.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,30.0,30.0,2.0,39.0,18.0,4.0,9.0,1.0,0.0,30.0,7.0,21.0,11.0,28.0,10.0,3.0,8.0,3.0,28.0,9.0,54.0,0.0,38.0,0.0,25.0,8.0,19.0,44.0,54.0,26.0,0.0,13.0,3.0,0.0,0.0,16.0,0.0,17.0,6.0,1.0,0.0,0.0,12.0,10.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,12.0,29.0,16.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5.0,22.0,4.0,0.0,0.0,11.0,5.0,6.0,9.0,19.0,25.0,4.0,27.0,6.0,13.0,42.0,6.0,21.0,52.0,50.0,24.0,0.0,22.0,19.0,61.0,33.0,0.0,0.0,0.0,22.0,0.0,65.0,20.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,29.0,10.0,21.0,13.0,23.0,30.0,76.0,27.0,0.0,41.0,0.0,12.0,0.0,65.0,52.0,0.0,78.0,95.0,0.0,9.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,41.0,0.0,50.0,55.0,14.0,104.0,34.0,55.0,0.0,30.0,6.0,28.0,52.0,20.0,34.0,21.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,23.0,50.0,13.0,0.0,0.0,8.0,34.0,12.0,18.0,4.0,26.0,8.0,6.0,0.0,0.0,10.0,17.0,10.0,7.0,8.0,12.0,0.0,27.0,27.0,12.0,0.0,2.0,0.0,30.0,20.0,3.0,0.0,22.0,0.0,41.0,5.0,12.0,10.0,0.0,0.0,29.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,22.0,15.0,14.0,32.0,4.0,17.0,15.0,14.0,16.0,45.0,0.0,0.0,51.0,0.0,11.0,16.0,14.0,2.0,26.0,0.0,29.0,4.0,21.0,27.0,11.0,30.0,4.0,44.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,11.0,11.0,4.0,0.0,8.0,12.0,16.0,9.0,18.0,26.0,0.0,13.0,22.0,8.0,4.0,14.0,10.0,26.0,0.0,0.0,9.0,2.0,85.0,20.0,0.0,29.0,0.0,2.0,16.0,8.0,12.0,1.0,0.0,7.0,6.0,10.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,14.0,11.0,0.0,31.0,53.0,19.0,2.0,2.0,4.0,63.0,18.0,15.0,66.0,0.0,0.0,51.0,8.0,36.0,11.0,46.0,4.0,8.0,46.0,73.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,21.0,12.0,16.0,9.0,8.0,6.0,8.0,22.0,7.0,10.0,6.0,1.0,6.0,19.0,8.0,32.0,0.0,9.0,16.0,74.0,21.0,14.0,0.0,0.0,0.0,3.0,15.0,12.0,3.0,29.0,7.0,0.0,2.0,0.0,0.0,0.0,24.0,1.0,0.0,13.0,16.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4.0,15.0,34.0,1.0,27.0,19.0,0.0,27.0,33.0,26.0,25.0,22.0,1.0,11.0,0.0,30.0,19.0,32.0,17.0,13.0,0.0,15.0,39.0,0.0,0.0,0.0,17.0,30.0,34.0,17.0,4.0,10.0,68.0,0.0,7.0,66.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,31.0,15.0,8.0,0.0,48.0,23.0,31.0,18.0,52.0,0.0,1.0,0.0,13.0,14.0,0.0,0.0,11.0,0.0,0.0,26.0,27.0,108.0,53.0,0.0,7.0,53.0,0.0,1.0,0.0,95.0,0.0,46.0,9.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,5.0,15.0,20.0,0.0,33.0,39.0,28.0,0.0,83.0,20.0,11.0,12.0,4.0,0.0,0.0,47.0,28.0,46.0,7.0,12.0,161.0,33.0,0.0,41.0,60.0,54.0,19.0,20.0,18.0,22.0,48.0,19.0,29.0,1.0,0.0,40.0,0.0,11.0,34.0,32.0,0.0,17.0,43.0,59.0,19.0,35.0,62.0,46.0,0.0,0.0,13.0,0.0,0.0,99.0,109.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,33.0,14.0,34.0,0.0,6.0,29.0,0.0,0.0,16.0,25.0,58.0,10.0,20.0,29.0,6.0,38.0,62.0,23.0,32.0,0.0,25.0,19.0,8.0,10.0,13.0,11.0,43.0,11.0,17.0,10.0,0.0,19.0,0.0,18.0,17.0,11.0,17.0,22.0,20.0,10.0,8.0,5.0,47.0,10.0,12.0,17.0,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,17.0,13.0,0.0,6.0,32.0,0.0,59.0,38.0,22.0,2.0,27.0,24.0,7.0,24.0,17.0,31.0,0.0,0.0,2.0,30.0,0.0,17.0,0.0,14.0,0.0,0.0,10.0,0.0,0.0,43.0,23.0,0.0,0.0,0.0,34.0,0.0,12.0,12.0,16.0,2.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,9.0,18.0,23.0,0.0,5.0,10.0,31.0,15.0,30.0,36.0,0.0,0.0,19.0,7.0,14.0,19.0,33.0,83.0,9.0,7.0,0.0,19.0,32.0,16.0,20.0,1.0,0.0,79.0,25.0,26.0,13.0,0.0,133.0,0.0,149.0,60.0,0.0,3.0,0.0,0.0,36.0,77.0,0.0,28.0,278.0,66.0,40.0,14.0,0.0,4.0,34.0,0.0,4.0,25.0,107.0,0.0,157.0,0.0,166.0,129.0,2.0,0.0,2.0,41.0,16.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,21.0,14.0,16.0,0.0,0.0,7.0,0.0,20.0,16.0,9.0,49.0,46.0,28.0,38.0,3.0,4.0,9.0,14.0,8.0,13.0,130.0,32.0,0.0,0.0,34.0,326.0,9.0,44.0,57.0,0.0,0.0,37.0,21.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.0,18.0,4.0,2.0,12.0,25.0,0.0,13.0,7.0,7.0,3.0,4.0,0.0,6.0,35.0,0.0,14.0,16.0,24.0,38.0,22.0,0.0,0.0,32.0,54.0,24.0,0.0,3.0,36.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,36.0,24.0,0.0,0.0,22.0,1.0,31.0,0.0,23.0,44.0,0.0,109.0,3.0,0.0,17.0,50.0,45.0,14.0,0.0,4.0,169.0,40.0,0.0,0.0,319.0,0.0,5.0,1.0,11.0,75.0,66.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,4.0,10.0,0.0,0.0,100.0,91.0,713.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,22.0,19.0,3.0,12.0,15.0,11.0,21.0,20.0,14.0,0.0,18.0,9.0,2.0,10.0,0.0,10.0,11.0,32.0,26.0,0.0,4.0,57.0,54.0,72.0,13.0,14.0,5.0,0.0,0.0,59.0,6.0,88.0,55.0,17.0,7.0,20.0,0.0,0.0,1.0,17.0,11.0,0.0,10.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,37.0,0.0,0.0,0.0,8.0,0.0,0.0,13.0,5.0,7.0,8.0,0.0,8.0,50.0,49.0,47.0,25.0,37.0,0.0,5.0,51.0,6.0,9.0,2.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2.0,12.0,3.0,0.0,36.0,6.0,4.0,42.0,8.0,15.0,7.0,18.0,25.0,22.0,31.0,15.0,0.0,8.0,33.0,25.0,13.0,12.0,5.0,17.0,7.0,6.0,0.0,20.0,80.0,0.0,43.0,0.0,100.0,0.0,30.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,4.0,8.0,19.0,30.0,5.0,25.0,11.0,12.0,8.0,21.0,3.0,42.0,1.0,26.0,54.0,22.0,94.0,0.0,74.0,11.0,22.0,23.0,4.0,79.0,29.0,0.0,12.0,0.0,0.0,37.0,8.0,60.0,0.0,22.0,79.0,0.0,0.0,4.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2.0,7.0,36.0,21.0,83.0,8.0,50.0,61.0,8.0,11.0,73.0,25.0,23.0,52.0,4.0,141.0,20.0,18.0,31.0,0.0,0.0,63.0,0.0,27.0,9.0,0.0,0.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,21.0,14.0,4.0,31.0,8.0,14.0,28.0,3.0,11.0,12.0,30.0,7.0,39.0,4.0,32.0,25.0,0.0,0.0,7.0,14.0,0.0,0.0,0.0,14.0,20.0,11.0,5.0,0.0,1.0,0.0,2.0,19.0,34.0,0.0,2.0,69.0,0.0,0.0,18.0,130.0,0.0,4.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,26.0,4.0,38.0,9.0,18.0,0.0,0.0,17.0,14.0,5.0,16.0,3.0,16.0,15.0,9.0,10.0,18.0,19.0,14.0,32.0,40.0,51.0,1.0,0.0,7.0,0.0,39.0,95.0,210.0,207.0,70.0,8.0,0.0,15.0,31.0,15.0,34.0,39.0,1.0,74.0,39.0,1.0,4.0,11.0,0.0,10.0,16.0,1.0,19.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,13.0,6.0,1.0,20.0,4.0,1.0,8.0,12.0,33.0,44.0,0.0,0.0,29.0,49.0,2.0,5.0,1.0,0.0,28.0,15.0,43.0,0.0,21.0,49.0,2.0,4.0,29.0,5.0,30.0,1.0,0.0,6.0,0.0,0.0,29.0,144.0,91.0,53.0,178.0,0.0,24.0,32.0,14.0,5.0,7.0,0.0,91.0,196.0,85.0,12.0,188.0,18.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
