,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
0,2.0,5.0,23.0,0.0,18.0,0.0,0.0,7.0,26.0,17.0,46.0,13.0,6.0,43.0,31.0,25.0,124.0,132.0,0.0,0.0,1.0,109.0,0.0,124.0,339.0,71.0,21.0,393.0,29.0,7.0,0.0,0.0,0.0,11.0,51.0,24.0,89.0,4.0,85.0,70.0,0.0,0.0,0.0,7.0,28.0,49.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,5.0,14.0,20.0,13.0,15.0,6.0,16.0,0.0,23.0,7.0,11.0,24.0,0.0,0.0,15.0,23.0,20.0,50.0,23.0,85.0,0.0,2.0,0.0,4.0,0.0,9.0,0.0,13.0,17.0,9.0,17.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,1.0,12.0,0.0,53.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,19.0,5.0,25.0,13.0,0.0,9.0,8.0,13.0,0.0,0.0,0.0,0.0,32.0,7.0,22.0,48.0,27.0,33.0,9.0,18.0,23.0,6.0,0.0,0.0,28.0,0.0,147.0,4.0,3.0,49.0,19.0,15.0,48.0,0.0,73.0,0.0,0.0,0.0,43.0,0.0,0.0,10.0,32.0,0.0,11.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,16.0,4.0,0.0,27.0,0.0,0.0,31.0,4.0,0.0,96.0,3.0,16.0,17.0,51.0,14.0,15.0,0.0,12.0,47.0,75.0,15.0,15.0,31.0,12.0,16.0,74.0,31.0,18.0,0.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,25.0,9.0,14.0,20.0,38.0,17.0,0.0,13.0,18.0,0.0,21.0,0.0,16.0,0.0,33.0,2.0,21.0,18.0,22.0,7.0,0.0,7.0,10.0,0.0,23.0,2.0,17.0,18.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,26.0,45.0,12.0,0.0,18.0,42.0,0.0,9.0,28.0,18.0,22.0,0.0,23.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,21.0,27.0,27.0,20.0,0.0,16.0,3.0,7.0,3.0,3.0,65.0,10.0,0.0,16.0,56.0,40.0,10.0,0.0,63.0,16.0,0.0,44.0,10.0,61.0,29.0,0.0,143.0,0.0,56.0,5.0,162.0,9.0,70.0,101.0,67.0,12.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,24.0,12.0,2.0,13.0,35.0,37.0,15.0,78.0,65.0,10.0,30.0,0.0,9.0,1.0,4.0,2.0,5.0,5.0,19.0,0.0,0.0,8.0,7.0,5.0,0.0,16.0,0.0,14.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,18.0,22.0,13.0,0.0,37.0,14.0,5.0,13.0,37.0,0.0,225.0,0.0,60.0,33.0,50.0,0.0,3.0,0.0,75.0,2.0,6.0,0.0,1.0,62.0,2.0,3.0,0.0,8.0,11.0,11.0,0.0,9.0,3.0,1.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,27.0,22.0,0.0,26.0,33.0,19.0,6.0,16.0,30.0,13.0,8.0,3.0,0.0,8.0,14.0,5.0,0.0,42.0,7.0,0.0,0.0,9.0,0.0,24.0,19.0,0.0,0.0,27.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
