,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117
0,12.0,9.0,18.0,11.0,44.0,8.0,8.0,3.0,8.0,7.0,0.0,1.0,44.0,23.0,8.0,39.0,0.0,30.0,9.0,19.0,6.0,0.0,29.0,73.0,12.0,9.0,18.0,27.0,16.0,3.0,12.0,0.0,0.0,16.0,120.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6.0,15.0,0.0,13.0,9.0,4.0,21.0,9.0,29.0,16.0,0.0,11.0,32.0,22.0,16.0,23.0,15.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,2.0,4.0,1.0,0.0,7.0,0.0,7.0,4.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,40.0,13.0,10.0,4.0,8.0,10.0,11.0,0.0,14.0,2.0,4.0,53.0,15.0,6.0,17.0,0.0,21.0,51.0,22.0,15.0,0.0,15.0,0.0,43.0,0.0,26.0,44.0,21.0,13.0,0.0,35.0,60.0,0.0,16.0,0.0,0.0,0.0,32.0,0.0,19.0,198.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0,9.0,27.0,3.0,25.0,14.0,0.0,25.0,16.0,16.0,10.0,0.0,83.0,8.0,2.0,18.0,27.0,0.0,45.0,5.0,0.0,11.0,0.0,16.0,15.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7.0,0.0,9.0,8.0,23.0,25.0,10.0,58.0,23.0,12.0,1.0,22.0,8.0,12.0,7.0,22.0,0.0,0.0,0.0,12.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,14.0,27.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7.0,0.0,0.0,25.0,14.0,21.0,0.0,13.0,6.0,0.0,3.0,23.0,19.0,19.0,2.0,10.0,14.0,15.0,8.0,0.0,12.0,0.0,8.0,65.0,0.0,0.0,6.0,8.0,0.0,0.0,51.0,0.0,7.0,0.0,0.0,3.0,1.0,1.0,16.0,51.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12.0,16.0,3.0,23.0,0.0,6.0,0.0,5.0,3.0,33.0,21.0,21.0,0.0,16.0,14.0,32.0,4.0,107.0,54.0,109.0,29.0,76.0,6.0,0.0,75.0,26.0,0.0,21.0,64.0,275.0,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,9.0,0.0,31.0,54.0,25.0,13.0,60.0,6.0,12.0,0.0,11.0,18.0,115.0,8.0,13.0,5.0,0.0,11.0,6.0,7.0,17.0,16.0,20.0,18.0,0.0,0.0,8.0,60.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,22.0,22.0,4.0,0.0,25.0,13.0,56.0,0.0,11.0,19.0,27.0,1.0,0.0,20.0,19.0,28.0,0.0,14.0,5.0,28.0,0.0,0.0,1.0,19.0,12.0,5.0,0.0,33.0,1.0,11.0,14.0,28.0,25.0,26.0,0.0,0.0,51.0,4.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,23.0,20.0,5.0,7.0,25.0,3.0,0.0,5.0,8.0,0.0,4.0,29.0,48.0,1.0,12.0,35.0,0.0,0.0,17.0,18.0,25.0,39.0,134.0,11.0,45.0,0.0,0.0,17.0,4.0,7.0,24.0,9.0,0.0,0.0,31.0,1.0,0.0,0.0,147.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
