,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169
0,12.0,9.0,17.0,27.0,0.0,29.0,6.0,0.0,0.0,4.0,31.0,4.0,10.0,0.0,6.0,11.0,6.0,29.0,97.0,18.0,54.0,0.0,27.0,4.0,8.0,96.0,46.0,45.0,11.0,0.0,6.0,15.0,63.0,10.0,20.0,120.0,0.0,0.0,33.0,0.0,6.0,55.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8.0,13.0,27.0,12.0,0.0,38.0,28.0,6.0,4.0,8.0,0.0,7.0,0.0,24.0,0.0,32.0,14.0,5.0,8.0,33.0,4.0,9.0,47.0,6.0,0.0,26.0,10.0,0.0,5.0,0.0,9.0,4.0,0.0,4.0,0.0,0.0,2.0,14.0,37.0,5.0,23.0,3.0,3.0,3.0,7.0,1.0,37.0,6.0,3.0,0.0,14.0,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14.0,16.0,0.0,1.0,34.0,35.0,0.0,1.0,8.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16.0,1.0,5.0,5.0,16.0,27.0,71.0,9.0,1.0,13.0,28.0,52.0,51.0,0.0,0.0,0.0,145.0,1.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,27.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6.0,26.0,8.0,10.0,0.0,15.0,14.0,1.0,2.0,26.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3.0,0.0,6.0,3.0,0.0,0.0,21.0,27.0,14.0,0.0,14.0,3.0,32.0,11.0,6.0,36.0,0.0,0.0,0.0,28.0,12.0,0.0,6.0,67.0,57.0,0.0,2.0,9.0,2.0,0.0,4.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9.0,25.0,51.0,21.0,20.0,42.0,28.0,4.0,0.0,0.0,0.0,9.0,0.0,29.0,86.0,22.0,6.0,41.0,43.0,0.0,30.0,23.0,0.0,0.0,0.0,339.0,197.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,16.0,0.0,0.0,6.0,0.0,80.0,65.0,0.0,74.0,14.0,23.0,21.0,3.0,7.0,1.0,8.0,16.0,37.0,13.0,0.0,12.0,0.0,4.0,12.0,0.0,0.0,10.0,8.0,2.0,10.0,0.0,0.0,0.0,1.0,4.0,0.0,6.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,12.0,7.0,13.0,0.0,0.0,0.0,8.0,20.0,0.0,0.0,4.0,0.0,9.0,6.0,3.0,4.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11.0,23.0,16.0,25.0,22.0,25.0,7.0,16.0,8.0,12.0,56.0,42.0,71.0,0.0,6.0,0.0,0.0,19.0,66.0,6.0,0.0,13.0,0.0,0.0,1.0,5.0,0.0,84.0,143.0,143.0,0.0,22.0,0.0,12.0,677.0,36.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,19.0,21.0,7.0,21.0,17.0,0.0,1.0,13.0,0.0,15.0,9.0,0.0,7.0,0.0,2.0,22.0,0.0,5.0,84.0,0.0,14.0,38.0,31.0,0.0,70.0,18.0,0.0,13.0,5.0,8.0,0.0,0.0,35.0,115.0,16.0,0.0,0.0,134.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,34.0,9.0,6.0,12.0,6.0,0.0,20.0,7.0,0.0,13.0,17.0,9.0,10.0,34.0,43.0,28.0,11.0,48.0,19.0,2.0,20.0,143.0,20.0,34.0,20.0,11.0,0.0,36.0,84.0,7.0,0.0,1.0,27.0,31.0,5.0,0.0,9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3.0,11.0,22.0,10.0,17.0,39.0,0.0,21.0,0.0,50.0,17.0,1.0,14.0,4.0,12.0,8.0,0.0,3.0,64.0,3.0,0.0,31.0,6.0,5.0,12.0,13.0,3.0,4.0,567.0,10.0,0.0,16.0,0.0,0.0,488.0,0.0,0.0,290.0,0.0,14.0,0.0,70.0,21.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,37.0,15.0,7.0,2.0,6.0,0.0,12.0,0.0,44.0,28.0,0.0,18.0,63.0,0.0,0.0,8.0,0.0,0.0,8.0,55.0,6.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,23.0,0.0,25.0,8.0,18.0,25.0,8.0,0.0,22.0,2.0,4.0,3.0,3.0,0.0,38.0,0.0,95.0,0.0,10.0,22.0,3.0,0.0,0.0,8.0,0.0,25.0,24.0,0.0,0.0,3.0,6.0,0.0,2.0,8.0,3.0,0.0,35.0,5.0,0.0,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,9.0,7.0,0.0,13.0,16.0,6.0,19.0,38.0,12.0,0.0,19.0,92.0,44.0,0.0,8.0,3.0,25.0,34.0,0.0,14.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,22.0,25.0,0.0,19.0,2.0,3.0,5.0,0.0,8.0,46.0,0.0,3.0,12.0,3.0,0.0,10.0,3.0,6.0,23.0,0.0,35.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,19.0,29.0,7.0,37.0,7.0,26.0,9.0,21.0,0.0,119.0,63.0,0.0,41.0,70.0,215.0,23.0,0.0,99.0,46.0,154.0,9.0,7.0,87.0,0.0,26.0,0.0,641.0,0.0,0.0,16.0,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,27.0,19.0,9.0,32.0,30.0,19.0,6.0,0.0,0.0,17.0,22.0,11.0,25.0,4.0,7.0,47.0,122.0,9.0,0.0,575.0,246.0,0.0,25.0,8.0,0.0,0.0,65.0,22.0,11.0,5.0,119.0,40.0,95.0,29.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,24.0,10.0,75.0,97.0,15.0,18.0,20.0,38.0,0.0,13.0,17.0,0.0,0.0,21.0,2.0,17.0,4.0,0.0,0.0,0.0,35.0,0.0,3.0,16.0,9.0,0.0,28.0,9.0,0.0,65.0,15.0,7.0,54.0,13.0,23.0,32.0,34.0,40.0,71.0,25.0,71.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,42.0,11.0,0.0,1.0,12.0,7.0,15.0,0.0,72.0,23.0,55.0,75.0,91.0,26.0,0.0,21.0,152.0,0.0,0.0,26.0,0.0,0.0,0.0,198.0,0.0,0.0,17.0,0.0,6.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6.0,16.0,67.0,88.0,25.0,39.0,44.0,25.0,62.0,29.0,51.0,13.0,17.0,18.0,0.0,0.0,14.0,6.0,19.0,19.0,38.0,20.0,58.0,30.0,35.0,14.0,21.0,0.0,40.0,32.0,56.0,8.0,0.0,4.0,0.0,0.0,0.0,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,4.0,5.0,8.0,32.0,14.0,9.0,15.0,7.0,63.0,16.0,40.0,3.0,7.0,0.0,0.0,8.0,34.0,0.0,0.0,0.0,7.0,0.0,48.0,30.0,19.0,0.0,0.0,44.0,0.0,0.0,77.0,91.0,0.0,20.0,0.0,2.0,66.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2.0,9.0,11.0,3.0,21.0,10.0,15.0,25.0,14.0,21.0,6.0,0.0,13.0,0.0,0.0,0.0,0.0,11.0,7.0,15.0,14.0,107.0,57.0,40.0,2.0,4.0,9.0,556.0,220.0,0.0,27.0,1191.0,289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6.0,0.0,7.0,15.0,50.0,0.0,0.0,15.0,61.0,25.0,27.0,7.0,4.0,10.0,9.0,3.0,23.0,0.0,27.0,11.0,0.0,7.0,0.0,23.0,0.0,3.0,22.0,0.0,28.0,0.0,4.0,58.0,10.0,27.0,33.0,0.0,4.0,248.0,111.0,0.0,83.0,173.0,0.0,0.0,820.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,12.0,4.0,39.0,40.0,0.0,70.0,3.0,7.0,0.0,11.0,40.0,36.0,50.0,39.0,8.0,72.0,7.0,128.0,39.0,0.0,11.0,2.0,0.0,2.0,18.0,55.0,12.0,96.0,44.0,123.0,32.0,60.0,85.0,80.0,14.0,0.0,0.0,1.0,17.0,0.0,16.0,59.0,0.0,15.0,5.0,63.0,95.0,10.0,22.0,0.0,0.0,0.0,2.0,47.0,18.0,17.0,0.0,0.0,0.0,264.0,237.0,1.0,6.0,1.0,231.0,304.0,0.0,206.0,26.0,312.0,70.0,56.0,17.0,20.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,35.0,22.0,22.0,22.0,3.0,37.0,0.0,1.0,28.0,12.0,4.0,8.0,15.0,13.0,0.0,14.0,78.0,16.0,24.0,13.0,39.0,126.0,57.0,33.0,0.0,17.0,0.0,84.0,124.0,292.0,0.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,13.0,36.0,0.0,12.0,3.0,33.0,75.0,18.0,14.0,13.0,73.0,4.0,28.0,23.0,33.0,13.0,3.0,0.0,57.0,87.0,66.0,0.0,0.0,0.0,22.0,13.0,43.0,0.0,0.0,0.0,18.0,0.0,15.0,0.0,382.0,84.0,141.0,0.0,118.0,0.0,0.0,0.0,81.0,1.0,45.0,106.0,0.0,352.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,30.0,25.0,12.0,3.0,5.0,30.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,33.0,21.0,0.0,7.0,4.0,0.0,6.0,71.0,5.0,11.0,31.0,7.0,0.0,2.0,0.0,15.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,2.0,31.0,13.0,17.0,8.0,13.0,58.0,32.0,4.0,27.0,0.0,12.0,40.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,30.0,28.0,0.0,56.0,52.0,18.0,26.0,81.0,11.0,5.0,12.0,0.0,98.0,27.0,10.0,3.0,11.0,0.0,4.0,0.0,18.0,0.0,0.0,18.0,36.0,12.0,10.0,78.0,63.0,30.0,5.0,27.0,40.0,13.0,38.0,14.0,97.0,0.0,68.0,1.0,48.0,0.0,107.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.0,14.0,17.0,16.0,14.0,0.0,0.0,8.0,20.0,5.0,25.0,8.0,30.0,9.0,4.0,17.0,4.0,1.0,0.0,32.0,16.0,5.0,1.0,0.0,12.0,28.0,0.0,12.0,9.0,0.0,20.0,14.0,0.0,0.0,0.0,34.0,13.0,24.0,48.0,0.0,0.0,9.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,3.0,0.0,29.0,16.0,23.0,6.0,38.0,106.0,1.0,16.0,12.0,4.0,12.0,63.0,4.0,4.0,2.0,4.0,5.0,0.0,11.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,51.0,76.0,40.0,4.0,0.0,18.0,18.0,0.0,9.0,14.0,17.0,13.0,0.0,2.0,41.0,18.0,11.0,3.0,8.0,0.0,8.0,0.0,10.0,5.0,34.0,0.0,8.0,8.0,0.0,14.0,0.0,5.0,26.0,9.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,9.0,10.0,16.0,46.0,151.0,0.0,9.0,15.0,0.0,247.0,56.0,28.0,191.0,48.0,30.0,147.0,95.0,21.0,102.0,7.0,254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34.0,0.0,0.0,25.0,10.0,1.0,102.0,18.0,20.0,7.0,0.0,14.0,0.0,35.0,0.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,30.0,41.0,14.0,15.0,8.0,0.0,20.0,24.0,70.0,0.0,27.0,87.0,31.0,69.0,7.0,3.0,21.0,23.0,7.0,47.0,28.0,37.0,51.0,0.0,88.0,66.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,3.0,34.0,29.0,8.0,5.0,33.0,6.0,0.0,31.0,77.0,32.0,30.0,43.0,13.0,18.0,69.0,94.0,0.0,29.0,0.0,44.0,63.0,109.0,65.0,41.0,18.0,0.0,0.0,63.0,18.0,81.0,81.0,194.0,17.0,21.0,24.0,0.0,15.0,0.0,45.0,50.0,153.0,6.0,43.0,103.0,58.0,0.0,15.0,0.0,163.0,58.0,0.0,0.0,115.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,24.0,30.0,7.0,6.0,10.0,10.0,9.0,4.0,0.0,20.0,51.0,23.0,17.0,0.0,6.0,0.0,130.0,55.0,21.0,0.0,21.0,28.0,40.0,47.0,49.0,6.0,30.0,91.0,0.0,98.0,33.0,63.0,326.0,31.0,0.0,14.0,8.0,0.0,0.0,1.0,223.0,0.0,8.0,0.0,0.0,128.0,0.0,298.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,5.0,6.0,33.0,57.0,27.0,12.0,22.0,26.0,104.0,6.0,0.0,44.0,26.0,28.0,74.0,152.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
