,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
0,4.0,2.0,7.0,3.0,0.0,13.0,16.0,10.0,8.0,13.0,10.0,0.0,4.0,0.0,84.0,0.0,0.0,63.0,2.0,10.0,0.0,0.0,8.0,0.0,46.0,9.0,0.0,160.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13.0,1.0,31.0,7.0,41.0,10.0,17.0,5.0,5.0,2.0,0.0,7.0,10.0,15.0,29.0,14.0,5.0,71.0,0.0,23.0,49.0,21.0,8.0,31.0,127.0,9.0,0.0,32.0,34.0,29.0,59.0,82.0,79.0,178.0,215.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15.0,4.0,12.0,50.0,14.0,5.0,8.0,7.0,21.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,10.0,20.0,76.0,32.0,45.0,1.0,16.0,138.0,36.0,39.0,10.0,44.0,0.0,0.0,12.0,0.0,4.0,6.0,0.0,0.0,21.0,29.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,28.0,37.0,11.0,7.0,41.0,16.0,0.0,24.0,16.0,49.0,11.0,7.0,18.0,36.0,0.0,11.0,35.0,40.0,60.0,11.0,46.0,0.0,83.0,42.0,5.0,0.0,57.0,56.0,78.0,156.0,0.0,20.0,1.0,186.0,15.0,43.0,89.0,0.0,15.0,43.0,0.0,6.0,11.0,13.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,5.0,23.0,40.0,5.0,19.0,0.0,3.0,9.0,0.0,7.0,0.0,12.0,25.0,21.0,38.0,1.0,7.0,13.0,0.0,1.0,2.0,9.0,29.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,19.0,23.0,7.0,12.0,4.0,11.0,26.0,7.0,3.0,0.0,23.0,4.0,4.0,54.0,0.0,93.0,27.0,62.0,90.0,41.0,4.0,96.0,188.0,4.0,23.0,5.0,60.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,30.0,5.0,0.0,3.0,30.0,13.0,21.0,0.0,2.0,10.0,10.0,23.0,4.0,41.0,8.0,8.0,11.0,10.0,26.0,38.0,0.0,0.0,13.0,24.0,3.0,2.0,22.0,6.0,2.0,11.0,0.0,15.0,33.0,1.0,20.0,0.0,1.0,0.0,17.0,5.0,2.0,24.0,15.0,9.0,0.0,0.0,9.0,0.0,16.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3.0,21.0,3.0,21.0,0.0,35.0,15.0,3.0,0.0,4.0,13.0,20.0,9.0,0.0,4.0,0.0,0.0,22.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,49.0,24.0,0.0,0.0,0.0,34.0,0.0,30.0,0.0,67.0,20.0,0.0,9.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.0,18.0,0.0,6.0,30.0,19.0,8.0,21.0,0.0,0.0,8.0,8.0,28.0,6.0,11.0,13.0,76.0,8.0,4.0,3.0,15.0,3.0,0.0,8.0,0.0,0.0,43.0,0.0,27.0,16.0,73.0,0.0,0.0,24.0,7.0,14.0,0.0,61.0,12.0,0.0,2.0,16.0,1.0,13.0,26.0,2.0,6.0,14.0,25.0,6.0,2.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,55.0,1.0,3.0,1.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
9,10.0,0.0,20.0,20.0,4.0,91.0,14.0,3.0,10.0,7.0,30.0,61.0,0.0,9.0,4.0,3.0,22.0,42.0,40.0,12.0,5.0,68.0,4.0,0.0,0.0,31.0,2.0,30.0,7.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
