,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
0,4.0,2.0,39.0,7.0,0.0,0.0,4.0,5.0,20.0,13.0,6.0,49.0,12.0,21.0,0.0,18.0,4.0,0.0,16.0,7.0,8.0,0.0,0.0,0.0,52.0,12.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,15.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16.0,11.0,10.0,0.0,1.0,49.0,12.0,13.0,28.0,2.0,11.0,2.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,4.0,21.0,16.0,24.0,2.0,40.0,46.0,20.0,11.0,5.0,11.0,10.0,0.0,5.0,0.0,11.0,64.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8.0,27.0,21.0,24.0,8.0,25.0,28.0,12.0,20.0,12.0,17.0,0.0,0.0,29.0,16.0,3.0,31.0,23.0,13.0,46.0,45.0,77.0,19.0,106.0,72.0,0.0,0.0,464.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7.0,9.0,23.0,0.0,14.0,3.0,2.0,8.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,1.0,10.0,135.0,1.0,0.0,306.0,56.0,11.0,62.0,0.0,0.0,4.0,20.0,34.0,16.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,19.0,6.0,16.0,30.0,21.0,0.0,0.0,28.0,4.0,27.0,2.0,23.0,8.0,0.0,31.0,8.0,3.0,50.0,0.0,0.0,16.0,11.0,23.0,0.0,17.0,3.0,0.0,0.0,46.0,47.0,53.0,26.0,12.0,25.0,0.0,33.0,381.0,0.0,21.0,10.0,79.0,54.0,0.0,26.0,0.0,0.0,192.0,0.0,7.0,66.0,0.0,2.0,1.0,37.0,1.0,0.0,2.0,12.0,28.0,18.0,6.0,38.0,0.0,19.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,24.0,252.0,0.0,13.0,33.0,0.0,0.0,0.0,0.0,14.0,4.0,9.0,0.0,0.0,95.0,3.0,1.0,0.0,3.0,3.0,72.0,22.0,20.0,1.0,49.0,0.0,0.0,4.0,0.0,24.0,25.0,0.0,
5,20.0,6.0,30.0,10.0,0.0,26.0,9.0,13.0,33.0,0.0,5.0,8.0,14.0,31.0,23.0,0.0,0.0,0.0,41.0,39.0,16.0,0.0,0.0,0.0,116.0,146.0,0.0,0.0,281.0,0.0,102.0,23.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,24.0,11.0,34.0,12.0,0.0,16.0,14.0,14.0,0.0,49.0,0.0,13.0,0.0,20.0,12.0,6.0,64.0,55.0,9.0,76.0,8.0,71.0,29.0,26.0,0.0,22.0,354.0,1.0,3.0,0.0,15.0,2.0,0.0,0.0,21.0,0.0,21.0,0.0,71.0,0.0,0.0,103.0,45.0,136.0,20.0,0.0,578.0,23.0,0.0,20.0,4.0,2.0,0.0,34.0,1.0,75.0,34.0,5.0,0.0,0.0,12.0,2.0,12.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
7,0.0,25.0,20.0,15.0,7.0,0.0,19.0,7.0,0.0,7.0,78.0,24.0,0.0,7.0,20.0,83.0,0.0,0.0,0.0,47.0,0.0,143.0,0.0,154.0,27.0,0.0,84.0,0.0,64.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,34.0,10.0,45.0,0.0,49.0,5.0,27.0,24.0,16.0,0.0,3.0,5.0,3.0,0.0,21.0,54.0,9.0,2.0,20.0,0.0,103.0,39.0,52.0,18.0,23.0,17.0,27.0,26.0,73.0,10.0,76.0,86.0,10.0,3.0,14.0,7.0,2.0,32.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.0,24.0,0.0,29.0,12.0,2.0,9.0,24.0,12.0,38.0,22.0,31.0,17.0,3.0,13.0,39.0,27.0,0.0,47.0,3.0,0.0,44.0,52.0,17.0,1.0,57.0,26.0,95.0,71.0,11.0,22.0,0.0,2.0,8.0,8.0,9.0,17.0,66.0,0.0,36.0,0.0,14.0,137.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
