,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
0,9.0,7.0,18.0,8.0,17.0,3.0,19.0,9.0,13.0,18.0,63.0,0.0,30.0,25.0,0.0,6.0,4.0,0.0,49.0,10.0,0.0,6.0,25.0,16.0,5.0,10.0,4.0,12.0,0.0,1.0,8.0,2.0,6.0,8.0,0.0,16.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13.0,1.0,41.0,0.0,20.0,0.0,0.0,18.0,56.0,29.0,16.0,0.0,14.0,0.0,0.0,4.0,0.0,16.0,14.0,32.0,15.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23.0,4.0,10.0,0.0,0.0,6.0,9.0,0.0,0.0,3.0,12.0,13.0,5.0,5.0,14.0,0.0,3.0,1.0,0.0,31.0,0.0,31.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10.0,9.0,13.0,25.0,10.0,5.0,4.0,19.0,33.0,72.0,17.0,82.0,7.0,0.0,34.0,0.0,11.0,1.0,16.0,0.0,43.0,20.0,0.0,10.0,0.0,16.0,11.0,39.0,34.0,16.0,22.0,0.0,32.0,0.0,0.0,0.0,15.0,0.0,17.0,12.0,76.0,48.0,56.0,16.0,73.0,12.0,0.0,0.0,8.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5.0,0.0,21.0,11.0,3.0,0.0,41.0,10.0,0.0,52.0,0.0,0.0,15.0,7.0,5.0,0.0,3.0,14.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4.0,33.0,7.0,8.0,19.0,5.0,8.0,5.0,13.0,12.0,5.0,0.0,7.0,9.0,11.0,15.0,2.0,21.0,10.0,30.0,2.0,57.0,21.0,17.0,15.0,3.0,17.0,12.0,54.0,12.0,0.0,0.0,6.0,21.0,0.0,89.0,7.0,18.0,1.0,0.0,0.0,5.0,6.0,3.0,2.0,9.0,0.0,27.0,6.0,0.0,0.0,0.0,7.0,12.0,0.0,1.0,0.0,1.0,11.0,11.0,36.0,26.0,12.0,0.0,34.0,6.0,0.0,2.0,41.0,15.0,8.0,0.0,6.0,0.0,5.0,1.0,3.0,0.0,0.0,51.0,0.0,0.0,0.0,,,,,,,,,
6,29.0,20.0,7.0,25.0,0.0,8.0,8.0,15.0,0.0,0.0,80.0,25.0,5.0,10.0,0.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,5.0,9.0,11.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,14.0,0.0,0.0,0.0,50.0,13.0,0.0,11.0,10.0,50.0,5.0,0.0,0.0,0.0,21.0,18.0,20.0,39.0,0.0,19.0,0.0,46.0,8.0,5.0,8.0,37.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,16.0,4.0,0.0,12.0,20.0,9.0,21.0,6.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,28.0,5.0,16.0,0.0,1.0,9.0,22.0,12.0,78.0,11.0,0.0,3.0,27.0,0.0,17.0,55.0,14.0,3.0,26.0,22.0,28.0,79.0,0.0,0.0,50.0,51.0,21.0,62.0,0.0,79.0,53.0,52.0,10.0,0.0,6.0,0.0,50.0,246.0,0.0,76.0,57.0,42.0,0.0,745.0,94.0,38.0,499.0,115.0,0.0,253.0,114.0,218.0,171.0,37.0,17.0,4.0,204.0,35.0,14.0,0.0,2.0,75.0,18.0,235.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
