,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,4.0,2.0,14.0,3.0,43.0,10.0,32.0,15.0,25.0,102.0,17.0,34.0,2.0,0.0,0.0,0.0,1.0,19.0,22.0,1.0,218.0,0.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16.0,8.0,40.0,20.0,23.0,23.0,12.0,13.0,10.0,3.0,15.0,15.0,20.0,16.0,18.0,44.0,47.0,66.0,53.0,29.0,1.0,0.0,30.0,68.0,10.0,2.0,32.0,14.0,62.0,11.0,63.0,4.0,21.0,0.0,8.0,110.0,16.0,39.0,196.0,0.0,0.0,3.0,41.0,78.0,5.0,0.0,0.0,18.0,10.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,
2,9.0,0.0,15.0,36.0,7.0,18.0,23.0,8.0,2.0,10.0,7.0,15.0,25.0,42.0,8.0,0.0,20.0,36.0,18.0,0.0,30.0,2.0,0.0,23.0,40.0,0.0,25.0,63.0,72.0,0.0,1.0,2.0,145.0,44.0,46.0,19.0,41.0,49.0,134.0,48.0,57.0,49.0,45.0,65.0,0.0,0.0,45.0,0.0,44.0,0.0,17.0,62.0,0.0,6.0,53.0,12.0,122.0,0.0,94.0,0.0,0.0,163.0,0.0,0.0,0.0,,,,,,,,,,
3,23.0,12.0,8.0,9.0,0.0,62.0,3.0,71.0,7.0,24.0,31.0,14.0,25.0,13.0,0.0,12.0,20.0,7.0,62.0,0.0,73.0,4.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6.0,0.0,7.0,30.0,37.0,15.0,13.0,1.0,0.0,5.0,33.0,12.0,26.0,7.0,17.0,1.0,27.0,21.0,0.0,29.0,31.0,0.0,95.0,15.0,74.0,0.0,52.0,147.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,29.0,0.0,15.0,0.0,22.0,9.0,24.0,0.0,22.0,10.0,9.0,17.0,10.0,11.0,0.0,0.0,43.0,4.0,0.0,0.0,38.0,27.0,19.0,16.0,0.0,0.0,114.0,7.0,5.0,0.0,6.0,29.0,18.0,0.0,2.0,5.0,0.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,50.0,9.0,0.0,10.0,13.0,0.0,8.0,0.0,11.0,5.0,10.0,0.0,20.0,5.0,8.0,92.0,31.0,6.0,0.0,264.0,12.0,17.0,11.0,0.0,21.0,33.0,12.0,5.0,0.0,0.0,0.0,46.0,45.0,0.0,0.0,195.0,10.0,0.0,0.0,0.0,0.0,13.0,22.0,0.0,16.0,0.0,22.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7,4.0,27.0,7.0,12.0,9.0,18.0,2.0,24.0,0.0,40.0,4.0,48.0,17.0,71.0,14.0,44.0,16.0,7.0,0.0,0.0,276.0,29.0,0.0,67.0,0.0,0.0,0.0,0.0,27.0,2.0,0.0,0.0,43.0,11.0,96.0,0.0,27.0,95.0,0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0,0.0,0.0,172.0,0.0,0.0,64.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
8,36.0,23.0,18.0,37.0,9.0,25.0,18.0,24.0,6.0,36.0,5.0,7.0,38.0,51.0,48.0,83.0,45.0,60.0,54.0,102.0,65.0,134.0,236.0,7.0,0.0,0.0,121.0,0.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12.0,0.0,7.0,47.0,14.0,11.0,27.0,19.0,0.0,30.0,24.0,39.0,6.0,20.0,25.0,0.0,71.0,0.0,10.0,221.0,20.0,0.0,224.0,18.0,17.0,30.0,50.0,2.0,1.0,0.0,181.0,0.0,9.0,6.0,0.0,5.0,20.0,2.0,14.0,0.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
