,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
0,5.0,0.0,6.0,7.0,14.0,6.0,35.0,42.0,0.0,51.0,2.0,0.0,0.0,30.0,23.0,38.0,0.0,17.0,0.0,48.0,3.0,1.0,19.0,0.0,19.0,81.0,87.0,0.0,34.0,0.0,0.0,0.0,230.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22.0,8.0,5.0,1.0,23.0,18.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,6.0,25.0,11.0,38.0,0.0,9.0,19.0,10.0,0.0,0.0,0.0,167.0,0.0,1.0,69.0,5.0,16.0,45.0,9.0,104.0,126.0,47.0,12.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,25.0,18.0,14.0,10.0,30.0,1.0,29.0,7.0,16.0,0.0,3.0,6.0,7.0,45.0,55.0,29.0,28.0,24.0,13.0,30.0,2.0,26.0,13.0,32.0,16.0,22.0,25.0,0.0,0.0,54.0,0.0,0.0,0.0,55.0,14.0,18.0,0.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,33.0,33.0,10.0,8.0,0.0,11.0,7.0,8.0,12.0,0.0,4.0,4.0,28.0,32.0,3.0,24.0,9.0,1.0,9.0,0.0,0.0,7.0,0.0,0.0,34.0,10.0,30.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,15.0,12.0,0.0,43.0,4.0,17.0,37.0,114.0,2.0,37.0,7.0,14.0,35.0,46.0,9.0,31.0,0.0,0.0,27.0,26.0,16.0,86.0,13.0,33.0,15.0,17.0,0.0,51.0,42.0,65.0,0.0,0.0,0.0,0.0,27.0,12.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,25.0,15.0,16.0,0.0,43.0,44.0,10.0,8.0,9.0,0.0,56.0,15.0,56.0,0.0,52.0,29.0,10.0,13.0,18.0,0.0,31.0,0.0,52.0,231.0,53.0,51.0,102.0,25.0,0.0,134.0,0.0,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,46.0,9.0,1.0,3.0,2.0,13.0,14.0,30.0,34.0,14.0,13.0,0.0,18.0,25.0,37.0,84.0,0.0,0.0,14.0,8.0,0.0,0.0,36.0,57.0,21.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,25.0,0.0,6.0,11.0,22.0,32.0,0.0,13.0,6.0,0.0,0.0,28.0,7.0,41.0,1.0,0.0,42.0,29.0,19.0,35.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,8.0,30.0,21.0,0.0,10.0,29.0,7.0,22.0,1.0,3.0,16.0,0.0,8.0,53.0,5.0,32.0,22.0,0.0,14.0,0.0,0.0,0.0,5.0,0.0,0.0,19.0,29.0,36.0,20.0,50.0,0.0,1.0,49.0,73.0,14.0,8.0,18.0,0.0,0.0,0.0,20.0,0.0,0.0,38.0,0.0,45.0,0.0,11.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15.0,8.0,12.0,21.0,7.0,8.0,37.0,3.0,10.0,52.0,6.0,22.0,6.0,18.0,98.0,40.0,29.0,4.0,57.0,0.0,12.0,5.0,68.0,28.0,21.0,83.0,0.0,0.0,0.0,0.0,27.0,20.0,66.0,0.0,50.0,27.0,57.0,50.0,0.0,0.0,0.0,18.0,24.0,29.0,74.0,20.0,163.0,30.0,8.0,7.0,0.0,10.0,0.0,5.0,15.0,0.0,0.0,0.0,0.0,365.0,6.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,290.0,0.0,3.0,67.0,12.0,9.0,5.0,0.0,0.0,5.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
10,22.0,25.0,0.0,27.0,7.0,0.0,4.0,60.0,62.0,1.0,51.0,27.0,0.0,15.0,0.0,44.0,3.0,0.0,10.0,49.0,2.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,6.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,11.0,2.0,17.0,18.0,0.0,0.0,0.0,33.0,13.0,6.0,38.0,13.0,0.0,0.0,5.0,19.0,85.0,18.0,31.0,28.0,34.0,61.0,19.0,0.0,38.0,15.0,0.0,0.0,5.0,1.0,51.0,17.0,41.0,11.0,0.0,5.0,2.0,9.0,0.0,5.0,0.0,14.0,8.0,21.0,14.0,75.0,0.0,46.0,0.0,78.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
