,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
0,13.0,56.0,0.0,7.0,0.0,19.0,13.0,27.0,0.0,30.0,6.0,4.0,46.0,0.0,1.0,1.0,3.0,0.0,0.0,13.0,9.0,32.0,13.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24.0,11.0,15.0,7.0,0.0,0.0,20.0,8.0,0.0,10.0,21.0,4.0,25.0,32.0,16.0,0.0,0.0,16.0,11.0,21.0,13.0,49.0,0.0,6.0,36.0,0.0,60.0,0.0,0.0,0.0,20.0,6.0,11.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,46.0,11.0,0.0,0.0,12.0,58.0,21.0,30.0,21.0,17.0,13.0,37.0,20.0,0.0,16.0,80.0,57.0,44.0,47.0,3.0,44.0,0.0,0.0,22.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,41.0,0.0,19.0,0.0,11.0,5.0,10.0,42.0,3.0,19.0,0.0,46.0,6.0,15.0,18.0,1.0,21.0,7.0,103.0,16.0,3.0,0.0,24.0,70.0,33.0,21.0,52.0,12.0,15.0,26.0,8.0,55.0,36.0,35.0,23.0,5.0,0.0,96.0,14.0,43.0,34.0,0.0,7.0,24.0,14.0,16.0,0.0,157.0,8.0,52.0,280.0,228.0,0.0,51.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.0,12.0,24.0,13.0,43.0,15.0,26.0,7.0,0.0,17.0,16.0,13.0,6.0,90.0,11.0,0.0,62.0,13.0,13.0,15.0,28.0,37.0,48.0,32.0,45.0,0.0,42.0,25.0,52.0,13.0,1.0,56.0,0.0,102.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,31.0,0.0,1.0,15.0,20.0,52.0,4.0,0.0,1.0,11.0,71.0,129.0,10.0,17.0,104.0,141.0,21.0,92.0,120.0,30.0,0.0,116.0,21.0,50.0,0.0,21.0,8.0,0.0,0.0,44.0,0.0,126.0,230.0,0.0,51.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,52.0,24.0,4.0,0.0,0.0,18.0,5.0,82.0,27.0,0.0,2.0,6.0,1.0,3.0,6.0,0.0,59.0,19.0,5.0,15.0,49.0,43.0,0.0,33.0,0.0,0.0,44.0,0.0,0.0,25.0,77.0,0.0,54.0,3.0,0.0,0.0,55.0,20.0,0.0,5.0,0.0,19.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,13.0,13.0,21.0,0.0,53.0,5.0,0.0,0.0,0.0,14.0,23.0,12.0,0.0,0.0,7.0,2.0,1.0,8.0,7.0,20.0,64.0,28.0,16.0,13.0,0.0,15.0,183.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10.0,18.0,25.0,4.0,42.0,0.0,31.0,0.0,28.0,0.0,24.0,18.0,11.0,42.0,29.0,16.0,10.0,7.0,0.0,15.0,17.0,0.0,0.0,0.0,17.0,132.0,61.0,3.0,0.0,0.0,0.0,0.0,40.0,19.0,9.0,11.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,13.0,8.0,7.0,28.0,11.0,21.0,2.0,23.0,18.0,8.0,0.0,5.0,105.0,47.0,0.0,44.0,33.0,90.0,15.0,59.0,19.0,0.0,5.0,20.0,21.0,11.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
