,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
0,5.0,20.0,0.0,18.0,52.0,1.0,20.0,35.0,17.0,21.0,13.0,2.0,10.0,0.0,17.0,26.0,18.0,27.0,0.0,29.0,0.0,0.0,3.0,0.0,9.0,221.0,0.0,7.0,105.0,22.0,77.0,8.0,0.0,128.0,0.0,65.0,13.0,0.0,16.0,13.0,0.0,182.0,44.0,25.0,9.0,16.0,0.0,0.0,4.0,0.0,2.0,6.0,0.0,1.0,18.0,5.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15.0,0.0,5.0,33.0,5.0,26.0,28.0,10.0,6.0,11.0,3.0,28.0,47.0,26.0,56.0,91.0,10.0,0.0,6.0,41.0,50.0,79.0,6.0,0.0,29.0,162.0,2.0,10.0,14.0,73.0,98.0,9.0,47.0,5.0,0.0,44.0,43.0,158.0,75.0,22.0,30.0,61.0,0.0,37.0,39.0,21.0,21.0,11.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18.0,1.0,15.0,4.0,5.0,16.0,17.0,23.0,36.0,7.0,11.0,10.0,0.0,14.0,39.0,0.0,0.0,0.0,22.0,10.0,47.0,1.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,6.0,0.0,8.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14.0,0.0,6.0,8.0,18.0,21.0,32.0,13.0,15.0,26.0,18.0,24.0,15.0,32.0,8.0,18.0,74.0,8.0,12.0,0.0,1.0,10.0,6.0,1.0,1.0,0.0,11.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,15.0,10.0,17.0,17.0,16.0,0.0,0.0,0.0,28.0,6.0,7.0,61.0,45.0,66.0,0.0,0.0,67.0,0.0,194.0,0.0,25.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,16.0,13.0,0.0,5.0,15.0,4.0,13.0,17.0,15.0,2.0,16.0,11.0,3.0,11.0,0.0,28.0,17.0,10.0,2.0,14.0,19.0,0.0,4.0,0.0,8.0,2.0,1.0,23.0,0.0,0.0,0.0,13.0,22.0,0.0,22.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8.0,15.0,9.0,16.0,8.0,0.0,29.0,0.0,96.0,49.0,138.0,6.0,10.0,6.0,36.0,0.0,0.0,41.0,158.0,0.0,47.0,282.0,3.0,0.0,60.0,60.0,31.0,0.0,30.0,25.0,0.0,0.0,7.0,0.0,84.0,35.0,23.0,16.0,16.0,0.0,0.0,20.0,58.0,19.0,79.0,5.0,0.0,0.0,41.0,41.0,32.0,97.0,38.0,0.0,399.0,107.0,51.0,149.0,573.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,17.0,10.0,0.0,0.0,33.0,16.0,2.0,13.0,3.0,11.0,11.0,3.0,31.0,18.0,24.0,20.0,0.0,23.0,82.0,8.0,0.0,87.0,22.0,88.0,21.0,42.0,2.0,92.0,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2.0,4.0,6.0,31.0,35.0,0.0,2.0,0.0,14.0,11.0,43.0,39.0,0.0,0.0,0.0,0.0,34.0,16.0,3.0,14.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,32.0,22.0,15.0,3.0,10.0,18.0,4.0,17.0,38.0,0.0,4.0,18.0,22.0,105.0,13.0,2.0,25.0,14.0,46.0,58.0,47.0,11.0,15.0,17.0,17.0,3.0,0.0,0.0,1.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20.0,37.0,25.0,15.0,13.0,15.0,12.0,19.0,11.0,30.0,54.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,25.0,0.0,11.0,15.0,17.0,15.0,0.0,34.0,9.0,9.0,25.0,25.0,20.0,24.0,3.0,9.0,18.0,88.0,0.0,6.0,7.0,0.0,49.0,61.0,13.0,21.0,0.0,102.0,0.0,86.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,24.0,29.0,0.0,10.0,43.0,35.0,7.0,36.0,14.0,2.0,6.0,4.0,2.0,7.0,8.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3.0,12.0,10.0,35.0,16.0,16.0,21.0,12.0,24.0,27.0,43.0,6.0,48.0,18.0,23.0,25.0,13.0,0.0,32.0,8.0,15.0,38.0,13.0,70.0,8.0,28.0,132.0,12.0,54.0,72.0,20.0,30.0,23.0,71.0,47.0,52.0,172.0,22.0,81.0,45.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,12.0,35.0,0.0,10.0,15.0,0.0,0.0,16.0,19.0,21.0,31.0,2.0,14.0,31.0,10.0,8.0,0.0,57.0,10.0,34.0,25.0,16.0,18.0,21.0,12.0,17.0,96.0,0.0,1.0,89.0,47.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,35.0,12.0,13.0,0.0,46.0,0.0,6.0,20.0,43.0,11.0,22.0,30.0,0.0,29.0,45.0,0.0,1.0,66.0,62.0,22.0,0.0,48.0,0.0,0.0,66.0,41.0,22.0,0.0,0.0,114.0,8.0,8.0,52.0,0.0,11.0,26.0,0.0,34.0,0.0,192.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,7.0,0.0,0.0,10.0,15.0,15.0,0.0,26.0,18.0,0.0,15.0,2.0,17.0,8.0,14.0,22.0,1.0,12.0,25.0,25.0,0.0,22.0,0.0,74.0,19.0,14.0,6.0,21.0,7.0,5.0,102.0,3.0,0.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2.0,49.0,5.0,9.0,0.0,17.0,17.0,14.0,14.0,4.0,0.0,0.0,2.0,5.0,1.0,23.0,0.0,15.0,3.0,44.0,2.0,1.0,41.0,0.0,7.0,89.0,34.0,102.0,0.0,38.0,8.0,0.0,0.0,0.0,1.0,2.0,14.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,51.0,34.0,28.0,4.0,1.0,4.0,2.0,0.0,25.0,36.0,3.0,13.0,12.0,3.0,47.0,12.0,9.0,4.0,26.0,4.0,0.0,29.0,20.0,12.0,50.0,3.0,15.0,68.0,174.0,47.0,0.0,142.0,0.0,0.0,210.0,45.0,55.0,0.0,0.0,53.0,0.0,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
