,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
0,39.0,30.0,10.0,0.0,17.0,13.0,23.0,6.0,58.0,25.0,0.0,0.0,39.0,0.0,19.0,5.0,0.0,11.0,0.0,9.0,0.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,15.0,17.0,11.0,0.0,6.0,0.0,0.0,13.0,19.0,9.0,0.0,0.0,12.0,6.0,0.0,0.0,1.0,4.0,5.0,0.0,4.0,0.0,15.0,0.0,1.0,13.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,13.0,35.0,0.0,12.0,10.0,0.0,15.0,0.0,28.0,0.0,19.0,0.0,15.0,3.0,12.0,17.0,0.0,45.0,0.0,31.0,6.0,7.0,24.0,0.0,0.0,0.0,11.0,0.0,35.0,11.0,12.0,2.0,36.0,16.0,20.0,14.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,21.0,7.0,4.0,25.0,18.0,0.0,25.0,0.0,12.0,0.0,83.0,34.0,0.0,6.0,0.0,33.0,19.0,0.0,13.0,2.0,0.0,0.0,0.0,51.0,20.0,33.0,20.0,17.0,6.0,1.0,0.0,0.0,12.0,13.0,5.0,4.0,0.0,37.0,10.0,13.0,20.0,0.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,3.0,7.0,48.0,31.0,18.0,0.0,41.0,0.0,16.0,0.0,26.0,22.0,22.0,18.0,83.0,43.0,3.0,0.0,0.0,9.0,13.0,6.0,6.0,0.0,41.0,10.0,5.0,0.0,30.0,3.0,24.0,0.0,4.0,9.0,0.0,2.0,0.0,0.0,25.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4.0,3.0,18.0,39.0,0.0,11.0,0.0,10.0,9.0,17.0,17.0,9.0,8.0,11.0,18.0,6.0,16.0,12.0,7.0,30.0,0.0,4.0,3.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11.0,29.0,8.0,0.0,29.0,0.0,32.0,24.0,65.0,13.0,77.0,12.0,64.0,10.0,15.0,0.0,52.0,3.0,0.0,7.0,0.0,0.0,10.0,67.0,96.0,4.0,11.0,4.0,0.0,24.0,13.0,0.0,18.0,0.0,34.0,13.0,16.0,0.0,38.0,17.0,8.0,6.0,0.0,18.0,33.0,0.0,130.0,9.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,8.0,44.0,19.0,16.0,29.0,13.0,9.0,17.0,12.0,0.0,10.0,15.0,19.0,3.0,24.0,49.0,93.0,11.0,80.0,13.0,64.0,36.0,9.0,16.0,26.0,21.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,23.0,16.0,0.0,22.0,9.0,8.0,0.0,25.0,5.0,41.0,9.0,10.0,25.0,0.0,16.0,0.0,12.0,9.0,5.0,4.0,28.0,17.0,25.0,7.0,26.0,9.0,14.0,27.0,38.0,20.0,0.0,25.0,32.0,82.0,6.0,2.0,0.0,68.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17.0,0.0,33.0,45.0,0.0,31.0,7.0,6.0,17.0,25.0,13.0,25.0,6.0,17.0,0.0,2.0,48.0,22.0,30.0,0.0,18.0,6.0,0.0,0.0,36.0,165.0,0.0,12.0,0.0,4.0,54.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
