,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,3.0,0.0,243.0,38.0,0.0,0.0,19.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,31.0,0.0,45.0,0.0,6.0,19.0,71.0,0.0,8.0,79.0,26.0,17.0,27.0,53.0,0.0,100.0,21.0,0.0,0.0,19.0,0.0,195.0,0.0,0.0,18.0,0.0,0.0,141.0,0.0,0.0,79.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,40.0,13.0,2.0,3.0,7.0,3.0,12.0,52.0,39.0,19.0,37.0,58.0,0.0,24.0,16.0,9.0,32.0,0.0,14.0,52.0,40.0,0.0,29.0,14.0,0.0,14.0,0.0,2.0,0.0,11.0,0.0,1.0,19.0,40.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,22.0,8.0,25.0,4.0,0.0,68.0,76.0,17.0,96.0,35.0,48.0,18.0,59.0,29.0,118.0,4.0,33.0,59.0,0.0,11.0,37.0,22.0,16.0,0.0,144.0,90.0,3.0,110.0,0.0,71.0,148.0,52.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11.0,13.0,27.0,27.0,19.0,8.0,3.0,29.0,14.0,16.0,57.0,0.0,0.0,73.0,30.0,29.0,119.0,30.0,33.0,13.0,13.0,18.0,31.0,6.0,66.0,26.0,11.0,30.0,0.0,28.0,21.0,120.0,0.0,5.0,6.0,0.0,0.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,10.0,0.0,34.0,6.0,23.0,4.0,14.0,32.0,51.0,9.0,12.0,5.0,15.0,17.0,3.0,13.0,13.0,11.0,18.0,0.0,4.0,0.0,0.0,0.0,55.0,26.0,37.0,0.0,18.0,13.0,74.0,120.0,8.0,0.0,16.0,0.0,19.0,2.0,4.0,25.0,33.0,0.0,0.0,111.0,0.0,13.0,0.0,7.0,132.0,15.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8.0,17.0,10.0,16.0,22.0,7.0,16.0,36.0,21.0,0.0,120.0,0.0,25.0,40.0,32.0,46.0,152.0,55.0,29.0,54.0,44.0,72.0,56.0,163.0,40.0,93.0,95.0,170.0,0.0,186.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11.0,15.0,20.0,12.0,19.0,16.0,35.0,0.0,0.0,122.0,149.0,0.0,44.0,0.0,91.0,11.0,40.0,16.0,0.0,172.0,58.0,0.0,85.0,5.0,43.0,71.0,99.0,274.0,43.0,0.0,27.0,144.0,0.0,327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4.0,3.0,19.0,16.0,6.0,0.0,5.0,5.0,55.0,32.0,11.0,101.0,12.0,9.0,0.0,91.0,73.0,33.0,14.0,32.0,140.0,184.0,54.0,76.0,21.0,4.0,1.0,104.0,69.0,20.0,0.0,12.0,1338.0,778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.0,10.0,17.0,20.0,24.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,170.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,47.0,9.0,0.0,14.0,44.0,41.0,4.0,0.0,0.0,0.0,12.0,10.0,6.0,0.0,14.0,0.0,48.0,0.0,3.0,186.0,68.0,25.0,0.0,0.0,0.0,54.0,958.0,0.0,153.0,63.0,417.0,0.0,0.0,0.0,8.0,132.0,155.0,58.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7.0,29.0,46.0,23.0,0.0,0.0,24.0,47.0,17.0,19.0,49.0,0.0,21.0,64.0,23.0,36.0,38.0,0.0,17.0,67.0,2.0,80.0,53.0,101.0,13.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5.0,21.0,6.0,0.0,15.0,11.0,17.0,10.0,3.0,59.0,26.0,38.0,80.0,0.0,0.0,27.0,1.0,9.0,334.0,160.0,71.0,28.0,131.0,108.0,0.0,0.0,23.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6.0,8.0,5.0,0.0,4.0,6.0,33.0,0.0,18.0,14.0,20.0,9.0,69.0,32.0,21.0,0.0,4.0,51.0,72.0,40.0,0.0,0.0,20.0,1.0,16.0,29.0,12.0,29.0,9.0,14.0,20.0,21.0,6.0,32.0,15.0,10.0,20.0,30.0,47.0,18.0,16.0,85.0,3.0,28.0,18.0,5.0,3.0,0.0,71.0,2.0,2.0,36.0,14.0,16.0,0.0,1.0,3.0,4.0,134.0,0.0,0.0,74.0,122.0,92.0,0.0,141.0,14.0,85.0,43.0,0.0,0.0,22.0,16.0,10.0,45.0,17.0,30.0,0.0,0.0,0.0,25.0,80.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
15,19.0,38.0,7.0,0.0,20.0,28.0,34.0,3.0,15.0,0.0,77.0,36.0,38.0,103.0,13.0,0.0,0.0,0.0,10.0,54.0,13.0,78.0,155.0,11.0,5.0,13.0,12.0,0.0,12.0,0.0,40.0,0.0,39.0,0.0,27.0,0.0,5.0,31.0,39.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
