,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16.0,14.0,5.0,0.0,31.0,27.0,11.0,12.0,14.0,16.0,34.0,39.0,4.0,38.0,41.0,24.0,52.0,20.0,19.0,10.0,13.0,21.0,4.0,41.0,0.0,25.0,0.0,0.0,0.0,83.0,0.0,132.0,83.0,84.0,0.0,0.0,37.0,16.0,0.0,46.0,0.0,11.0,0.0,110.0,0.0,36.0,0.0,0.0,0.0,215.0,271.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,54.0,16.0,18.0,11.0,0.0,4.0,9.0,27.0,48.0,18.0,0.0,6.0,12.0,55.0,0.0,0.0,10.0,0.0,0.0,166.0,82.0,37.0,170.0,22.0,0.0,12.0,45.0,20.0,50.0,0.0,0.0,120.0,1.0,13.0,7.0,4.0,0.0,19.0,35.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,19.0,54.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,16.0,9.0,25.0,17.0,4.0,1.0,3.0,4.0,5.0,0.0,30.0,6.0,22.0,4.0,48.0,19.0,10.0,77.0,14.0,3.0,25.0,21.0,0.0,18.0,74.0,55.0,0.0,0.0,0.0,0.0,103.0,22.0,237.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,34.0,0.0,25.0,4.0,23.0,12.0,29.0,0.0,39.0,44.0,21.0,0.0,106.0,62.0,71.0,109.0,0.0,0.0,138.0,504.0,0.0,0.0,125.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,29.0,4.0,19.0,34.0,1.0,16.0,9.0,29.0,9.0,24.0,21.0,35.0,0.0,43.0,5.0,104.0,55.0,9.0,16.0,10.0,0.0,15.0,8.0,30.0,0.0,0.0,12.0,44.0,0.0,15.0,8.0,59.0,150.0,0.0,0.0,26.0,213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,45.0,6.0,39.0,27.0,6.0,11.0,56.0,17.0,96.0,9.0,20.0,140.0,32.0,0.0,20.0,39.0,24.0,0.0,20.0,16.0,49.0,50.0,119.0,46.0,77.0,0.0,33.0,35.0,0.0,58.0,394.0,46.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.0,6.0,22.0,25.0,9.0,67.0,24.0,0.0,37.0,14.0,22.0,5.0,14.0,9.0,5.0,7.0,23.0,35.0,27.0,6.0,6.0,32.0,15.0,2.0,0.0,22.0,0.0,0.0,29.0,0.0,62.0,6.0,28.0,0.0,0.0,53.0,112.0,36.0,4.0,31.0,0.0,0.0,0.0,6.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17.0,11.0,2.0,19.0,3.0,26.0,0.0,8.0,0.0,5.0,15.0,15.0,17.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,8.0,0.0,125.0,0.0,8.0,9.0,26.0,32.0,0.0,40.0,13.0,2.0,55.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,17.0,21.0,8.0,5.0,21.0,0.0,0.0,15.0,153.0,96.0,47.0,15.0,0.0,20.0,18.0,15.0,9.0,42.0,31.0,8.0,3.0,9.0,7.0,8.0,34.0,2.0,17.0,42.0,121.0,19.0,19.0,67.0,34.0,13.0,0.0,27.0,19.0,18.0,0.0,54.0,0.0,15.0,14.0,0.0,1.0,11.0,0.0,0.0,0.0,10.0,0.0,25.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,48.0,35.0,101.0,123.0,0.0,0.0,186.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
11,16.0,1.0,8.0,37.0,33.0,16.0,0.0,59.0,0.0,15.0,7.0,17.0,30.0,0.0,9.0,8.0,15.0,24.0,47.0,9.0,0.0,96.0,22.0,106.0,0.0,36.0,34.0,0.0,32.0,0.0,75.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,23.0,5.0,7.0,23.0,27.0,48.0,0.0,5.0,0.0,60.0,14.0,5.0,13.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0,0.0,3.0,147.0,6.0,198.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,39.0,8.0,19.0,9.0,19.0,12.0,7.0,0.0,21.0,34.0,34.0,73.0,24.0,194.0,6.0,76.0,32.0,7.0,37.0,21.0,174.0,29.0,108.0,0.0,0.0,0.0,0.0,3.0,33.0,8.0,32.0,4.0,160.0,36.0,19.0,17.0,7.0,25.0,0.0,20.0,5.0,8.0,22.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20.0,20.0,14.0,14.0,26.0,10.0,19.0,2.0,15.0,13.0,5.0,5.0,3.0,0.0,14.0,9.0,22.0,11.0,14.0,20.0,0.0,2.0,24.0,14.0,7.0,0.0,19.0,24.0,0.0,0.0,0.0,0.0,0.0,49.0,63.0,1.0,6.0,94.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10.0,9.0,36.0,15.0,0.0,21.0,20.0,20.0,23.0,0.0,1.0,18.0,8.0,3.0,0.0,44.0,88.0,38.0,67.0,18.0,22.0,0.0,17.0,0.0,58.0,27.0,24.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,26.0,12.0,34.0,33.0,21.0,67.0,0.0,39.0,4.0,54.0,1.0,63.0,31.0,60.0,17.0,0.0,31.0,49.0,11.0,19.0,9.0,5.0,0.0,18.0,1.0,6.0,20.0,18.0,0.0,39.0,32.0,0.0,0.0,48.0,65.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,31.0,0.0,54.0,10.0,54.0,36.0,35.0,49.0,8.0,36.0,62.0,7.0,18.0,44.0,167.0,124.0,32.0,78.0,47.0,147.0,28.0,135.0,28.0,123.0,170.0,1.0,226.0,0.0,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,28.0,22.0,7.0,0.0,29.0,16.0,13.0,15.0,9.0,64.0,21.0,12.0,37.0,26.0,10.0,0.0,0.0,17.0,0.0,55.0,26.0,10.0,16.0,0.0,62.0,33.0,42.0,157.0,0.0,25.0,27.0,5.0,220.0,19.0,65.0,0.0,0.0,470.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,5.0,23.0,15.0,6.0,18.0,10.0,18.0,0.0,33.0,3.0,40.0,22.0,0.0,0.0,0.0,17.0,0.0,0.0,45.0,22.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
