,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5.0,1.0,7.0,40.0,28.0,0.0,24.0,32.0,11.0,9.0,58.0,30.0,58.0,13.0,46.0,19.0,0.0,56.0,74.0,0.0,41.0,24.0,54.0,4.0,0.0,9.0,5.0,57.0,34.0,3.0,0.0,0.0,0.0,75.0,236.0,0.0,102.0,2.0,58.0,78.0,21.0,75.0,44.0,77.0,19.0,62.0,3.0,24.0,0.0,21.0,0.0,14.0,0.0,194.0,0.0,3.0,0.0,4.0,0.0,28.0,0.0,75.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10.0,0.0,24.0,1.0,0.0,15.0,25.0,11.0,58.0,19.0,2.0,31.0,17.0,18.0,10.0,10.0,10.0,14.0,4.0,28.0,8.0,7.0,124.0,55.0,0.0,4.0,94.0,4.0,8.0,0.0,47.0,20.0,90.0,17.0,0.0,3.0,70.0,0.0,4.0,9.0,167.0,214.0,0.0,14.0,49.0,20.0,10.0,0.0,36.0,0.0,0.0,0.0,3.0,77.0,0.0,11.0,393.0,0.0,3.0,0.0,0.0,48.0,0.0,3.0,360.0,6.0,161.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,45.0,51.0,3.0,0.0,33.0,0.0,4.0,15.0,21.0,50.0,1.0,26.0,3.0,81.0,8.0,1.0,0.0,21.0,0.0,27.0,0.0,0.0,16.0,11.0,352.0,13.0,70.0,0.0,0.0,31.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,27.0,0.0,36.0,19.0,33.0,0.0,76.0,37.0,0.0,48.0,56.0,188.0,81.0,26.0,55.0,2.0,40.0,60.0,67.0,134.0,188.0,474.0,0.0,0.0,0.0,75.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3.0,30.0,2.0,6.0,2.0,23.0,0.0,6.0,0.0,3.0,4.0,9.0,8.0,20.0,54.0,35.0,15.0,0.0,66.0,52.0,146.0,124.0,35.0,36.0,40.0,27.0,15.0,54.0,3.0,0.0,19.0,86.0,21.0,91.0,4.0,144.0,144.0,0.0,19.0,301.0,230.0,11.0,202.0,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,39.0,0.0,27.0,31.0,13.0,71.0,42.0,0.0,26.0,54.0,39.0,0.0,6.0,44.0,0.0,0.0,42.0,315.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.0,12.0,16.0,0.0,0.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15.0,60.0,8.0,2.0,5.0,8.0,54.0,20.0,71.0,0.0,13.0,20.0,0.0,9.0,0.0,28.0,7.0,35.0,32.0,0.0,44.0,9.0,23.0,42.0,1.0,208.0,0.0,13.0,161.0,42.0,80.0,0.0,26.0,0.0,99.0,30.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,24.0,36.0,41.0,0.0,9.0,7.0,0.0,0.0,9.0,16.0,1.0,2.0,0.0,0.0,0.0,47.0,0.0,10.0,0.0,0.0,133.0,53.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,28.0,0.0,46.0,23.0,7.0,9.0,9.0,23.0,54.0,17.0,25.0,5.0,14.0,15.0,0.0,15.0,51.0,66.0,0.0,95.0,4.0,9.0,13.0,0.0,0.0,15.0,0.0,0.0,85.0,1.0,1.0,0.0,0.0,30.0,0.0,16.0,1.0,0.0,0.0,0.0,7.0,2.0,5.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,7.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,17.0,19.0,18.0,7.0,2.0,0.0,0.0,21.0,20.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,,,,,,,,
12,5.0,13.0,28.0,32.0,2.0,64.0,56.0,17.0,3.0,16.0,0.0,18.0,81.0,2.0,79.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0,37.0,0.0,13.0,4.0,3.0,73.0,50.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
