,Elo,OppElo
0,2726,2506
1,2726,2648
2,2726,2708
3,2726,2626
4,2726,2699
5,2726,2592
6,2726,2522
7,2726,2722
8,2725,2481
9,2725,2690
10,2725,2715
11,2725,2641
12,2725,2709
13,2725,2710
14,2725,2550
15,2725,2387
16,2724,2569
17,2724,2569
18,2724,2620
19,2724,2620
20,2724,2582
21,2724,2582
22,2724,2582
23,2724,2582
24,2724,2151
25,2724,2458
26,2724,2542
27,2724,2540
28,2724,2315
29,2724,2571
30,2724,2450
31,2724,2640
32,2724,2654
33,2724,2546
34,2724,2625
35,2728,2708
36,2728,2660
37,2728,2685
38,2728,2680
39,2728,2693
40,2728,2777
41,2728,2727
42,2728,2648
43,2728,2683
44,2728,2682
45,2728,2659
46,2728,2624
47,2728,2710
48,2728,2727
49,2728,2720
50,2728,2657
51,2728,2639
52,2728,2666
53,2728,2704
54,2728,2602
55,2724,2764
56,2724,2642
57,2724,2708
58,2724,2764
59,2724,2708
60,2724,2642
61,2724,2771
62,2724,2771
63,2724,2771
64,2724,2771
65,2724,2762
66,2724,2762
