,Elo,OppElo
0,2828,2633
1,2828,2757
2,2828,2728
3,2828,2728
4,2828,2863
5,2828,2767
6,2828,2767
7,2828,2863
8,2828,2863
9,2828,2728
10,2828,2728
11,2828,2757
12,2828,2757
13,2828,2633
14,2828,2633
15,2823,2671
16,2823,2668
17,2823,2743
18,2823,2732
19,2823,2677
20,2823,2663
21,2823,2784
22,2823,2764
23,2823,2705
24,2823,2862
25,2823,2749
26,2823,2679
27,2823,2625
28,2842,2767
29,2842,2698
30,2842,2805
31,2842,2774
32,2842,2763
33,2842,2762
34,2842,2777
35,2820,2656
36,2820,2781
37,2820,2770
38,2820,2780
39,2820,2760
40,2820,2770
41,2820,2776
42,2820,2627
43,2820,2792
44,2820,2781
45,2820,2760
46,2820,2759
47,2820,2714
48,2820,2765
49,2820,2770
50,2820,2678
51,2820,2763
52,2820,2792
53,2820,2763
54,2820,2765
55,2820,2760
56,2820,2714
57,2820,2781
58,2820,2753
59,2820,2759
60,2820,2770
61,2820,2792
62,2820,2763
63,2820,2765
64,2820,2760
65,2820,2714
66,2820,2781
67,2820,2753
68,2820,2759
69,2806,2550
70,2806,2637
71,2806,2637
72,2806,2714
73,2806,2709
74,2806,2710
75,2806,2709
76,2806,2758
77,2806,2772
78,2806,2763
79,2806,2782
80,2806,2736
81,2806,2714
82,2806,2736
83,2806,2758
84,2806,2710
85,2806,2782
86,2806,2709
87,2806,2709
88,2806,2772
89,2806,2763
90,2806,2714
91,2806,2736
92,2806,2758
93,2806,2710
94,2806,2782
95,2806,2709
96,2806,2709
97,2806,2772
98,2806,2763
99,2806,2709
100,2806,2758
101,2806,2655
102,2806,2772
103,2806,2710
104,2806,2751
105,2806,2782
106,2806,2714
107,2806,2763
108,2800,2645
109,2800,2760
110,2800,2554
111,2800,2778
112,2800,2623
113,2800,2654
114,2800,2669
115,2800,2700
116,2800,2647
117,2800,2607
118,2800,2714
119,2800,2778
120,2800,2654
121,2800,2639
122,2800,2652
123,2800,2644
124,2800,2647
125,2800,2658
126,2800,2654
127,2800,2654
128,2800,2662
129,2800,2770
130,2800,2763
131,2800,2666
132,2791,2639
133,2791,2639
134,2791,2521
135,2791,2521
136,2791,2647
137,2791,2647
138,2791,2714
139,2791,2714
140,2791,2694
141,2791,2694
142,2791,2627
143,2791,2627
144,2791,2622
145,2791,2622
146,2791,2684
147,2791,2684
148,2791,2782
149,2791,2782
150,2792,2579
151,2792,2579
152,2792,2656
153,2792,2656
154,2792,2763
155,2792,2763
156,2792,2763
157,2792,2697
158,2792,2697
159,2792,2697
160,2792,2743
161,2792,2743
162,2792,2743
163,2792,2751
164,2792,2751
165,2792,2767
166,2792,2767
167,2792,2579
168,2792,2656
169,2792,2763
170,2792,2697
171,2792,2743
172,2792,2751
173,2792,2767
174,2792,2763
175,2792,2579
176,2792,2656
177,2792,2763
178,2792,2697
179,2792,2743
180,2792,2751
181,2792,2767
182,2792,2479
183,2792,2577
184,2792,2633
185,2792,2527
186,2792,2573
187,2792,2727
188,2792,2677
189,2792,2664
190,2792,2693
191,2792,2680
192,2792,2760
193,2792,2764
194,2792,2782
195,2792,2677
196,2792,2661
197,2792,2658
198,2792,2508
199,2792,2654
200,2792,2504
201,2792,2615
202,2792,2556
203,2792,2681
204,2792,2637
205,2792,2743
206,2792,2663
207,2792,2674
208,2792,2573
209,2792,2489
210,2792,2568
211,2792,2606
212,2792,2616
213,2792,2573
214,2792,2530
215,2792,2519
216,2792,2743
217,2792,2727
218,2792,2708
219,2792,2720
220,2792,2714
221,2792,2772
222,2792,2760
223,2792,2702
224,2792,2672
225,2792,2763
226,2792,2612
227,2792,2865
228,2792,2767
229,2781,2685
230,2781,2685
231,2781,2685
232,2781,2685
233,2781,2685
234,2781,2693
235,2781,2693
236,2781,2693
237,2781,2693
238,2781,2756
239,2781,2756
240,2781,2785
241,2781,2785
242,2781,2523
243,2781,2494
244,2781,2393
245,2781,2785
246,2781,2778
247,2781,2756
248,2781,2681
249,2781,2709
250,2781,2598
251,2786,2804
252,2786,2753
253,2786,2776
254,2786,2750
255,2786,2759
256,2786,2773
257,2786,2765
258,2786,2776
259,2786,2671
260,2786,2765
261,2786,2750
262,2786,2518
263,2786,2671
264,2786,2776
265,2786,2696
266,2786,2776
267,2786,2751
268,2786,2644
269,2786,2776
270,2786,2696
271,2786,2750
272,2786,2671
273,2786,2518
274,2786,2644
275,2786,2751
276,2786,2776
277,2786,2765
278,2786,2776
279,2786,2696
280,2786,2750
281,2786,2671
282,2786,2518
283,2786,2644
284,2786,2751
285,2786,2776
286,2786,2765
287,2783,2760
288,2783,2766
289,2783,2750
290,2783,2806
291,2783,2764
292,2783,2793
293,2783,2753
294,2783,2760
295,2783,2766
296,2783,2750
297,2783,2806
298,2783,2764
299,2783,2753
300,2783,2793
301,2781,2642
302,2781,2655
303,2781,2776
304,2781,2714
305,2783,2588
306,2783,2585
307,2783,2688
308,2783,2551
309,2783,2701
310,2783,2698
311,2783,2684
312,2783,2599
313,2783,2634
314,2783,2720
