,Elo,OppElo
0,2758,2534
1,2758,2534
2,2758,2534
3,2758,2534
4,2758,2710
5,2758,2709
6,2758,2763
7,2758,2772
8,2758,2806
9,2758,2782
10,2758,2736
11,2758,2714
12,2758,2709
13,2758,2772
14,2758,2714
15,2758,2806
16,2758,2782
17,2758,2709
18,2758,2763
19,2758,2736
20,2758,2710
21,2758,2709
22,2758,2772
23,2758,2714
24,2758,2806
25,2758,2782
26,2758,2709
27,2758,2763
28,2758,2736
29,2758,2710
30,2758,2709
31,2758,2655
32,2758,2806
33,2758,2710
34,2758,2751
35,2758,2782
36,2758,2714
37,2758,2763
38,2758,2709
39,2758,2772
40,2760,2607
41,2760,2800
42,2760,2645
43,2760,2714
44,2760,2554
45,2760,2778
46,2760,2623
47,2760,2654
48,2760,2669
49,2760,2700
50,2760,2647
51,2752,2772
52,2752,2704
53,2752,2717
54,2752,2772
55,2752,2717
56,2752,2704
57,2752,2772
58,2752,2772
59,2752,2772
60,2752,2772
61,2756,2711
62,2756,2655
63,2756,2776
64,2756,2711
65,2756,2776
66,2756,2655
67,2756,2709
68,2756,2709
69,2756,2709
70,2756,2709
71,2756,2785
72,2756,2785
73,2756,2781
74,2756,2781
75,2756,2785
76,2756,2785
77,2756,2785
78,2756,2785
79,2756,2488
80,2756,2600
81,2756,2592
82,2756,2573
83,2756,2693
84,2756,2781
85,2756,2589
86,2756,2681
87,2753,2750
88,2753,2786
89,2753,2773
90,2753,2765
91,2753,2776
92,2753,2671
93,2753,2804
94,2753,2759
95,2753,2776
96,2754,2773
97,2754,2678
98,2754,2680
99,2754,2766
100,2754,2728
101,2754,2864
102,2754,2793
103,2754,2759
104,2754,2760
105,2754,2766
106,2754,2759
107,2754,2793
108,2754,2864
109,2754,2678
110,2754,2728
111,2754,2773
112,2754,2680
113,2754,2760
114,2754,2766
115,2754,2759
116,2754,2793
117,2754,2864
118,2754,2678
119,2754,2728
120,2754,2773
121,2754,2680
122,2754,2760
123,2754,2139
124,2754,2451
125,2754,2581
126,2754,2596
127,2754,2490
128,2754,2625
129,2754,2611
130,2754,2598
131,2754,2574
132,2754,2689
