,Elo,OppElo
0,2650,2527
1,2650,2618
2,2650,2673
3,2650,2659
4,2650,2604
5,2650,2498
6,2650,2523
7,2650,2635
8,2650,2519
9,2650,2694
10,2650,2585
11,2650,2636
12,2650,2606
13,2650,2546
14,2650,2644
15,2672,2593
16,2672,2600
17,2672,2675
18,2672,2556
19,2672,2581
20,2672,2593
21,2672,2600
22,2672,2675
23,2672,2556
24,2672,2581
25,2672,2585
26,2672,2650
27,2672,2517
28,2672,2517
29,2672,2517
30,2672,2517
31,2671,2599
32,2671,2591
33,2671,2628
34,2671,2626
35,2671,2608
36,2671,2631
37,2671,2607
38,2671,2658
39,2671,2662
40,2671,2515
41,2671,2567
42,2671,2474
43,2671,2520
44,2671,2622
45,2671,2462
46,2671,2521
47,2671,2363
48,2671,2536
49,2671,2598
50,2671,2572
51,2671,2484
52,2671,2608
53,2671,2606
54,2671,2630
55,2671,2682
56,2680,2571
57,2680,2573
58,2680,2636
59,2680,2588
60,2680,2626
61,2680,2630
62,2680,2624
63,2680,2632
64,2680,2571
65,2691,2604
66,2691,2624
67,2691,2701
68,2691,2658
69,2691,2654
70,2691,2659
71,2691,2660
72,2691,2626
73,2691,2631
74,2691,2624
75,2691,2619
76,2691,2621
77,2691,2621
78,2691,2639
79,2691,2622
80,2691,2640
81,2691,2644
82,2691,2647
83,2683,2566
84,2683,2642
85,2683,2680
86,2683,2552
87,2683,2690
88,2683,2701
89,2683,2704
90,2683,2631
91,2683,2626
92,2683,2552
93,2683,2566
94,2683,2616
95,2683,2642
96,2683,2704
97,2683,2631
98,2683,2612
99,2683,2626
100,2683,2512
101,2691,2543
102,2691,2644
103,2681,2447
104,2681,2539
105,2681,2630
106,2681,2630
107,2681,2649
108,2681,2634
109,2681,2692
110,2681,2649
111,2681,2673
112,2681,2688
