,Elo,OppElo
0,2748,2541
1,2748,2679
2,2731,2594
3,2731,2751
4,2713,2659
5,2713,2755
6,2713,2726
7,2713,2683
8,2713,2731
9,2713,2697
10,2713,2721
11,2713,2670
12,2713,2717
13,2731,2576
14,2719,2661
15,2719,2686
16,2719,2764
17,2719,2682
18,2719,2719
19,2719,2661
20,2719,2686
21,2719,2764
22,2719,2682
23,2719,2719
24,2719,2701
25,2719,2626
26,2719,2580
27,2719,2558
28,2719,2719
29,2719,2649
30,2719,2703
31,2719,2701
32,2719,2626
33,2719,2580
34,2719,2558
35,2719,2580
36,2719,2580
37,2719,2558
38,2719,2558
39,2719,2719
40,2719,2719
41,2719,2701
42,2719,2701
43,2719,2626
44,2719,2626
45,2719,2703
46,2719,2703
47,2719,2649
48,2719,2649
49,2719,2719
50,2719,2649
51,2719,2703
52,2732,2682
53,2732,2605
54,2732,2508
55,2732,2568
56,2732,2605
57,2732,2495
58,2732,2511
59,2732,2753
60,2732,2784
61,2732,2677
62,2732,2663
63,2732,2823
64,2732,2764
65,2732,2705
66,2732,2862
67,2732,2749
68,2732,2679
69,2732,2625
70,2732,2671
71,2732,2668
72,2732,2743
73,2730,2565
74,2730,2565
75,2730,2659
76,2730,2659
77,2730,2613
78,2730,2613
79,2725,2573
80,2725,2701
81,2725,2762
82,2725,2685
83,2719,2645
84,2719,2691
85,2719,2577
86,2719,2655
87,2719,2506
88,2719,2648
89,2719,2640
90,2719,2691
91,2719,2495
92,2719,2647
93,2719,2634
94,2719,2635
95,2719,2510
96,2719,2627
97,2719,2647
98,2719,2640
99,2719,2639
100,2719,2654
101,2719,2654
102,2719,2663
103,2719,2624
104,2719,2566
105,2719,2436
106,2717,2507
107,2717,2429
108,2717,2604
109,2717,2525
110,2717,2620
111,2717,2601
112,2717,2552
113,2717,2498
114,2717,2568
115,2717,2504
116,2717,2471
117,2717,2625
118,2717,2567
119,2717,2480
120,2717,2239
121,2717,2568
122,2717,2567
123,2717,2530
124,2717,2736
125,2717,2662
126,2717,2601
127,2717,2503
128,2717,2631
129,2717,2636
130,2717,2502
131,2717,2579
132,2717,2656
133,2717,2519
134,2717,2508
135,2717,2588
136,2717,2537
137,2717,2575
138,2717,2599
139,2717,2681
140,2719,2644
141,2719,2543
142,2717,2704
143,2717,2772
144,2717,2752
145,2717,2704
146,2717,2752
147,2717,2772
148,2719,2726
149,2719,2623
150,2719,2772
151,2719,2726
152,2719,2772
153,2719,2623
154,2716,2701
155,2716,2648
156,2716,2509
157,2716,2652
158,2701,2723
159,2701,2703
160,2701,2718
161,2701,2716
162,2701,2681
163,2701,2610
164,2701,2709
165,2701,2679
166,2701,2692
167,2720,2490
168,2720,2599
169,2720,2672
170,2720,2692
171,2720,2688
172,2720,2608
173,2720,2698
174,2720,2603
175,2720,2701
176,2720,2783
