,Elo,OppElo
0,2752,2613
1,2752,2545
2,2752,2576
3,2752,2639
4,2760,2654
5,2760,2573
6,2760,2482
7,2760,2615
8,2760,2531
9,2760,2461
10,2760,2688
11,2759,2543
12,2759,2592
13,2759,2564
14,2759,2446
15,2759,2439
16,2759,2668
17,2763,2678
18,2763,2770
19,2763,2792
20,2763,2781
21,2763,2760
22,2763,2759
23,2763,2714
24,2763,2765
25,2763,2820
26,2763,2792
27,2763,2781
28,2763,2820
29,2763,2753
30,2763,2765
31,2763,2759
32,2763,2760
33,2763,2770
34,2763,2714
35,2763,2792
36,2763,2781
37,2763,2820
38,2763,2753
39,2763,2765
40,2763,2759
41,2763,2760
42,2763,2714
43,2763,2709
44,2763,2736
45,2763,2758
46,2763,2714
47,2763,2772
48,2763,2709
49,2763,2806
50,2763,2710
51,2763,2782
52,2763,2710
53,2763,2709
54,2763,2772
55,2763,2714
56,2763,2758
57,2763,2782
58,2763,2709
59,2763,2806
60,2763,2736
61,2763,2710
62,2763,2709
63,2763,2714
64,2763,2758
65,2763,2782
66,2763,2709
67,2763,2806
68,2763,2710
69,2763,2751
70,2763,2782
71,2763,2714
72,2763,2772
73,2763,2709
74,2763,2758
75,2763,2655
76,2763,2806
77,2760,2642
78,2760,2758
79,2760,2758
80,2760,2855
81,2760,2855
82,2760,2754
83,2760,2792
84,2760,2792
85,2760,2642
86,2760,2758
87,2760,2855
88,2760,2792
89,2760,2792
90,2760,2754
91,2752,2647
92,2752,2440
93,2752,2572
94,2752,2610
95,2752,2600
96,2752,2363
97,2763,2743
98,2763,2743
99,2763,2751
100,2763,2751
101,2763,2792
102,2763,2792
103,2763,2792
104,2763,2579
105,2763,2579
106,2763,2656
107,2763,2656
108,2763,2767
109,2763,2767
110,2763,2697
111,2763,2697
112,2763,2743
113,2763,2751
114,2763,2792
115,2763,2579
116,2763,2656
117,2763,2767
118,2763,2697
119,2763,2792
120,2763,2743
121,2763,2751
122,2763,2792
123,2763,2579
124,2763,2656
125,2763,2697
126,2763,2575
127,2763,2616
128,2763,2573
129,2763,2702
130,2763,2503
131,2763,2674
132,2763,2623
133,2763,2693
134,2763,2680
135,2763,2677
136,2763,2682
137,2763,2643
138,2763,2655
139,2763,2631
140,2763,2567
141,2763,2474
142,2763,2464
143,2763,2556
144,2763,2654
145,2763,2489
146,2763,2562
147,2763,2623
148,2763,2664
149,2763,2575
150,2763,2601
151,2763,2568
152,2763,2616
153,2763,2579
154,2763,2639
155,2763,2674
156,2763,2509
157,2763,2508
158,2763,2572
159,2763,2669
160,2763,2760
161,2763,2702
162,2763,2672
163,2763,2708
164,2763,2612
165,2763,2865
166,2763,2767
167,2763,2743
168,2763,2727
169,2763,2792
170,2763,2714
171,2763,2686
172,2763,2704
173,2763,2681
174,2763,2686
175,2763,2681
176,2763,2704
177,2763,2686
178,2763,2686
179,2763,2736
180,2763,2736
181,2763,2704
182,2763,2704
183,2763,2727
184,2763,2704
185,2763,2727
186,2763,2704
187,2762,2761
188,2762,2761
189,2762,2724
190,2762,2724
191,2776,2765
192,2776,2759
193,2776,2671
194,2776,2804
195,2776,2753
196,2776,2776
197,2776,2750
198,2776,2786
199,2776,2773
200,2776,2644
201,2776,2765
202,2776,2750
203,2776,2518
204,2776,2786
205,2776,2671
206,2776,2696
207,2776,2776
208,2776,2751
209,2776,2786
210,2776,2765
211,2776,2696
212,2776,2750
213,2776,2671
214,2776,2518
215,2776,2644
216,2776,2751
217,2776,2776
218,2776,2786
219,2776,2765
220,2776,2696
221,2776,2750
222,2776,2671
223,2776,2518
224,2776,2644
225,2776,2751
226,2776,2776
227,2764,2750
228,2764,2793
229,2764,2806
230,2764,2760
231,2764,2783
232,2764,2753
233,2764,2766
234,2764,2750
235,2764,2793
236,2764,2806
237,2764,2760
238,2764,2783
239,2764,2766
240,2764,2753
241,2762,2637
242,2762,2601
243,2762,2642
244,2762,2683
