,Elo,OppElo
0,2770,2770
1,2770,2781
2,2770,2776
3,2770,2820
4,2770,2627
5,2770,2780
6,2770,2765
7,2770,2760
8,2770,2656
9,2770,2759
10,2770,2763
11,2770,2714
12,2770,2792
13,2770,2765
14,2770,2781
15,2770,2820
16,2770,2760
17,2770,2678
18,2770,2765
19,2770,2760
20,2770,2714
21,2770,2781
22,2770,2753
23,2770,2759
24,2770,2763
25,2770,2792
26,2770,2820
27,2770,2760
28,2770,2714
29,2770,2781
30,2770,2753
31,2770,2759
32,2770,2792
33,2772,2709
34,2772,2710
35,2772,2709
36,2772,2758
37,2772,2763
38,2772,2806
39,2772,2782
40,2772,2736
41,2772,2714
42,2772,2758
43,2772,2782
44,2772,2709
45,2772,2763
46,2772,2710
47,2772,2709
48,2772,2806
49,2772,2714
50,2772,2758
51,2772,2782
52,2772,2709
53,2772,2710
54,2772,2709
55,2772,2806
56,2772,2782
57,2772,2655
58,2772,2714
59,2772,2806
60,2772,2763
61,2772,2710
62,2772,2709
63,2772,2751
64,2772,2758
65,2778,2700
66,2778,2647
67,2778,2607
68,2778,2800
69,2778,2645
70,2778,2760
71,2778,2554
72,2778,2714
73,2778,2623
74,2778,2654
75,2669,0
76,2778,2800
77,2778,2654
78,2778,2704
79,2778,2682
80,2778,2761
81,2778,2704
82,2778,2761
83,2778,2682
84,2778,2704
85,2778,2704
86,2778,2623
87,2778,2623
88,2778,2623
89,2778,2623
90,2778,2750
91,2778,2750
92,2778,2750
93,2778,2693
94,2778,2693
95,2778,2685
96,2778,2685
97,2778,2785
98,2778,2785
99,2778,2561
100,2778,2652
101,2778,0
102,2778,2709
103,2778,2781
104,2778,2674
105,2778,2421
106,2778,2693
107,2778,2785
108,2776,2759
109,2776,2750
110,2776,2786
111,2776,2773
112,2776,2765
113,2776,2776
114,2776,2671
115,2776,2804
116,2776,2765
117,2776,2750
118,2776,2753
119,2776,2671
120,2776,2751
121,2776,2644
122,2776,2765
123,2776,2750
124,2776,2518
125,2776,2786
126,2776,2776
127,2776,2696
128,2776,2696
129,2776,2750
130,2776,2671
131,2776,2518
132,2776,2644
133,2776,2751
134,2776,2765
135,2776,2786
136,2776,2776
137,2776,2696
138,2776,2750
139,2776,2671
140,2776,2518
141,2776,2644
142,2776,2751
143,2776,2765
144,2776,2786
145,2776,2776
146,2776,2744
147,2776,2751
148,2776,2759
149,2776,2750
150,2776,2654
151,2776,2864
152,2776,2730
153,2776,2753
154,2776,2753
155,2776,2864
156,2776,2864
157,2776,2761
158,2776,2761
159,2776,2751
160,2776,2751
161,2776,2759
162,2776,2759
163,2776,2654
164,2776,2654
165,2776,2750
166,2776,2730
167,2776,2730
168,2776,2744
169,2776,2744
170,2773,2754
171,2773,2760
172,2773,2678
173,2773,2680
174,2773,2766
175,2773,2728
176,2773,2864
177,2773,2793
178,2773,2759
179,2773,2759
180,2773,2793
181,2773,2864
182,2773,2678
183,2773,2728
184,2773,2680
185,2773,2754
186,2773,2760
187,2773,2766
188,2773,2759
189,2773,2793
190,2773,2864
191,2773,2678
192,2773,2728
193,2773,2680
194,2773,2754
195,2773,2766
196,2773,2274
197,2773,2614
198,2773,2629
199,2773,2601
200,2773,2641
201,2773,2634
202,2773,2648
203,2773,2527
204,2773,2606
205,2773,2714
