,Elo,OppElo
0,2712,2462
1,2712,2644
2,2701,2594
3,2701,2652
4,2701,2533
5,2701,2672
6,2701,2594
7,2701,2533
8,2701,2652
9,2701,2672
10,2701,2672
11,2701,2652
12,2701,2533
13,2701,2594
14,2706,2594
15,2706,2594
16,2706,2596
17,2706,2596
18,2706,2596
19,2706,2596
20,2706,2615
21,2706,2641
22,2706,2637
23,2706,2627
24,2706,2630
25,2706,2617
26,2706,2603
27,2706,2614
28,2706,2606
29,2706,2506
30,2706,2506
31,2706,2614
32,2706,2614
33,2706,2614
34,2706,2614
35,2706,2286
36,2706,2315
37,2706,2172
38,2706,2395
39,2706,2222
40,2706,2485
41,2706,2163
42,2706,2460
43,2706,2525
44,2706,2294
45,2706,2640
46,2708,2728
47,2708,2683
48,2708,2660
49,2708,2685
50,2708,2680
51,2708,2693
52,2708,2777
53,2708,2727
54,2708,2648
55,2708,2659
56,2708,2674
57,2708,2696
58,2708,2700
59,2708,2742
60,2702,2366
61,2702,2552
62,2702,2622
63,2702,2689
64,2702,2585
