,Elo,OppElo
0,2770,2402
1,2770,2510
2,2770,2529
3,2770,2593
4,2770,2569
5,2770,2574
6,2770,2606
7,2770,2600
8,2770,2600
9,2770,2674
10,2777,2594
11,2784,2732
12,2784,2749
13,2784,2677
14,2784,2679
15,2784,2663
16,2784,2625
17,2784,2823
18,2784,2671
19,2784,2764
20,2784,2668
21,2784,2705
22,2784,2743
23,2784,2862
24,2767,2842
25,2767,2805
26,2767,2763
27,2767,2777
28,2767,2698
29,2767,2774
30,2767,2762
31,2760,2776
32,2760,2627
33,2760,2656
34,2760,2781
35,2760,2820
36,2760,2780
37,2760,2770
38,2760,2770
39,2760,2714
40,2760,2765
41,2760,2820
42,2760,2678
43,2760,2763
44,2760,2792
45,2760,2781
46,2760,2770
47,2760,2759
48,2760,2753
49,2760,2759
50,2760,2770
51,2760,2792
52,2760,2820
53,2760,2765
54,2760,2763
55,2760,2714
56,2760,2781
57,2760,2753
58,2760,2759
59,2760,2770
60,2760,2792
61,2760,2820
62,2760,2765
63,2760,2763
64,2760,2714
65,2760,2781
66,2760,2638
67,2760,2670
68,2749,2782
69,2749,2753
70,2749,2738
71,2749,2653
72,2749,2776
73,2749,2688
74,2749,2683
75,2749,2792
76,2749,2782
77,2749,2776
78,2749,2753
79,2749,2792
80,2749,2688
81,2749,2778
82,2749,2738
83,2749,2812
84,2749,2683
85,2749,2782
86,2749,2776
87,2749,2753
88,2749,2792
89,2749,2688
90,2749,2778
91,2749,2738
92,2749,2812
93,2749,2683
94,2749,2553
95,2749,2553
96,2749,2625
97,2749,2625
98,2749,2625
99,2749,2625
100,2749,2625
101,2749,2625
102,2749,2625
103,2749,2625
104,2749,2625
105,2749,2608
106,2749,2608
107,2749,2757
108,2749,2757
109,2749,2757
110,2749,2757
111,2749,2757
112,2751,2714
113,2751,2763
114,2751,2709
115,2751,2758
116,2751,2655
117,2751,2806
118,2751,2710
119,2751,2772
120,2777,2772
121,2777,2589
122,2777,2684
123,2777,2665
124,2777,2594
125,2763,2638
126,2763,2639
127,2763,2648
128,2763,2651
129,2763,2770
130,2763,2659
131,2763,2640
132,2763,2659
133,2763,2658
134,2763,2800
135,2763,2704
136,2766,2619
137,2766,2619
138,2766,2289
139,2766,2289
140,2766,2521
141,2766,2521
142,2766,2681
143,2766,2681
144,2766,2635
145,2766,2635
146,2766,2672
147,2766,2672
148,2766,2626
149,2766,2626
150,2766,2618
151,2766,2618
152,2766,2650
153,2766,2650
154,2766,2548
155,2766,2599
156,2766,2676
157,2766,2572
158,2766,2624
159,2766,2592
160,2766,2458
161,2766,2714
162,2766,2763
163,2761,2615
164,2761,2625
165,2761,2369
166,2761,2477
167,2761,2727
168,2761,2677
169,2761,2577
170,2761,2537
171,2761,2641
172,2761,2682
173,2761,2604
174,2761,2573
175,2761,2704
176,2761,2576
177,2761,2376
178,2761,2664
179,2761,2727
180,2761,2615
181,2761,2474
182,2761,2550
183,2761,2572
184,2761,2680
185,2761,2701
186,2761,2674
187,2761,2599
188,2761,2760
189,2761,2760
190,2761,2760
191,2761,2663
192,2761,2772
193,2761,2609
194,2761,2604
195,2761,2772
196,2761,2629
197,2761,2720
198,2761,2700
199,2761,2856
200,2761,2682
201,2761,2767
202,2761,2713
203,2761,2682
204,2761,2713
205,2761,2767
206,2761,2762
207,2761,2762
208,2761,2682
209,2761,2704
210,2761,2778
211,2761,2682
212,2761,2778
213,2761,2704
214,2750,2753
215,2750,2776
216,2750,2759
217,2750,2786
218,2750,2773
219,2750,2765
220,2750,2776
221,2750,2671
222,2750,2776
223,2750,2765
224,2750,2804
225,2750,2759
226,2750,2864
227,2750,2654
228,2750,2776
229,2750,2730
230,2750,2753
231,2750,2761
232,2750,2744
233,2750,2751
234,2750,2751
235,2750,2759
236,2750,2759
237,2750,2654
238,2750,2753
239,2750,2753
240,2750,2730
241,2750,2730
242,2750,2744
243,2750,2744
244,2750,2776
245,2750,2864
246,2750,2864
247,2750,2761
248,2750,2761
249,2760,2602
250,2760,2570
251,2760,2675
252,2760,2624
253,2760,2645
254,2760,2652
255,2761,2695
256,2761,2621
257,2760,2728
258,2760,2773
259,2760,2864
260,2760,2678
261,2760,2793
262,2760,2680
263,2760,2759
264,2760,2766
265,2760,2754
266,2760,2680
267,2760,2766
268,2760,2759
269,2760,2793
270,2760,2864
271,2760,2678
272,2760,2728
273,2760,2773
274,2760,2754
275,2760,2680
276,2760,2766
277,2760,2759
278,2760,2793
279,2760,2864
280,2760,2678
281,2760,2728
282,2760,2754
