,Elo,OppElo
0,2694,2574
1,2694,2519
2,2694,2635
3,2710,2585
4,2710,2406
5,2710,2481
6,2710,2562
7,2710,2347
8,2710,2686
9,2710,2647
10,2710,2643
11,2710,2688
12,2710,2624
13,2710,2645
14,2710,2601
15,2710,2582
16,2710,2582
17,2710,2061
18,2710,2278
19,2710,2373
20,2710,2193
21,2710,2479
22,2710,2542
23,2710,2585
24,2710,2616
25,2710,2599
26,2701,2269
27,2701,2373
28,2701,2416
29,2701,2225
30,2701,2654
31,2701,2658
32,2701,2604
33,2701,2680
34,2701,2659
35,2701,2690
36,2701,2657
37,2701,2646
38,2701,2151
39,2701,2385
40,2701,2275
41,2701,2292
42,2701,2353
43,2701,2403
44,2701,2319
45,2704,2652
46,2704,2428
47,2704,2611
48,2704,2672
49,2703,2679
50,2703,2701
51,2703,2723
52,2703,2692
53,2703,2718
54,2703,2716
55,2703,2681
56,2703,2610
57,2703,2709
58,2704,2568
59,2704,2512
60,2704,2658
61,2704,2694
62,2704,2600
63,2702,2176
64,2702,2434
65,2702,2567
66,2702,2623
67,2702,2680
68,2702,2587
69,2702,2629
70,2702,2634
