,Elo,OppElo
0,2747,2758
1,2747,2731
2,2747,2765
3,2747,2768
4,2747,2726
5,2747,2712
6,2747,2644
7,2747,2872
8,2747,2822
9,2747,2758
10,2747,2683
11,2747,2723
12,2747,2660
13,2751,2703
14,2751,2731
15,2731,2697
16,2731,2670
17,2731,2659
18,2731,2726
19,2731,2713
20,2731,2721
21,2731,2717
22,2731,2755
23,2731,2683
24,2722,2584
25,2722,2584
26,2722,2584
27,2722,2599
28,2722,2599
29,2722,2599
30,2722,2599
31,2722,2646
32,2722,2646
33,2722,2646
34,2722,2646
35,2722,2682
36,2722,2516
37,2722,2448
38,2722,2675
39,2722,2427
40,2722,2699
41,2722,2506
42,2722,2648
43,2722,2592
44,2722,2708
45,2722,2626
46,2722,2726
47,2720,2711
48,2720,2611
49,2720,2752
50,2720,2594
51,2720,2784
52,2720,2674
53,2720,2702
54,2720,2686
55,2720,2619
56,2720,2723
57,2715,2427
58,2715,2677
59,2715,2478
60,2715,2587
61,2715,2552
62,2715,2614
63,2715,2458
64,2715,2619
65,2715,2654
66,2715,2690
67,2715,2725
68,2715,2641
69,2715,2709
70,2715,2710
71,2724,2525
72,2724,2525
73,2724,2662
74,2724,2662
75,2724,2714
76,2724,2714
77,2724,2714
78,2724,2714
79,2727,2685
80,2727,2680
81,2727,2693
82,2727,2777
83,2727,2683
84,2727,2648
85,2727,2728
86,2727,2708
87,2727,2660
88,2727,2639
89,2727,2666
90,2727,2704
91,2727,2602
92,2727,2728
93,2727,2659
94,2727,2624
95,2727,2710
96,2727,2682
97,2727,2720
98,2727,2657
99,2727,2635
100,2727,2634
101,2727,2638
102,2727,2632
103,2727,2649
104,2727,2605
105,2727,2648
106,2727,2659
107,2727,2659
108,2727,2654
109,2727,2663
110,2731,2665
111,2731,2700
112,2731,2655
113,2731,2665
114,2731,2700
115,2731,2655
116,2727,2558
117,2727,2519
118,2726,2719
119,2726,2772
120,2726,2623
121,2726,2719
122,2726,2623
123,2726,2772
124,2726,2623
125,2726,2713
126,2726,2771
127,2726,2623
128,2726,2771
129,2726,2713
