,Elo,OppElo
0,2726,2644
1,2726,2872
2,2726,2822
3,2726,2758
4,2726,2747
5,2726,2723
6,2726,2660
7,2726,2758
8,2726,2731
9,2726,2765
10,2726,2768
11,2726,2683
12,2726,2712
13,2709,2638
14,2709,0
15,2709,2594
16,2709,1658
17,2709,2560
18,2709,2422
19,2709,2408
20,2709,2618
21,2709,2732
22,2709,2615
23,2709,2554
24,2709,2561
25,2709,2638
26,2709,2615
27,2709,2506
28,2709,2527
29,2709,2554
30,2709,0
31,2709,2524
32,2709,2618
33,2709,2732
34,2709,2560
35,2705,2564
36,2705,2564
37,2705,2613
38,2705,2613
39,2704,2630
40,2704,2629
41,2704,2640
42,2704,2770
43,2704,2646
44,2704,2654
45,2704,2643
46,2704,2649
47,2704,2654
48,2704,2659
49,2704,2763
50,2713,2767
51,2713,2682
52,2713,2761
53,2713,2767
54,2713,2761
55,2713,2682
56,2713,2771
57,2713,2726
58,2713,2623
59,2713,2771
60,2713,2623
61,2713,2726
62,2710,2644
63,2710,2685
64,2710,2684
65,2710,2603
66,2710,2567
67,2710,2703
68,2710,0
69,2710,2615
70,2710,2610
71,2720,2285
72,2720,2461
73,2720,2420
74,2720,2566
75,2720,2586
76,2720,2533
77,2720,2394
78,2720,2457
79,2720,2463
80,2708,2476
81,2708,2531
82,2708,2677
83,2708,2391
