,Elo,OppElo
0,2805,2762
1,2805,2767
2,2805,2842
3,2805,2763
4,2805,2777
5,2805,2774
6,2805,2698
7,2805,2762
8,2805,2767
9,2805,2842
10,2805,2763
11,2805,2777
12,2805,2698
13,2805,2774
14,2799,2616
15,2799,2616
16,2799,2616
17,2799,2616
18,2799,2579
19,2799,2564
20,2799,2593
21,2799,2579
22,2799,2564
23,2799,2593
24,2799,2579
25,2799,2564
26,2799,2593
27,2799,2579
28,2799,2564
29,2799,2593
30,2799,2729
31,2799,2729
32,2799,2729
33,2799,2729
34,2799,2729
35,2799,2729
36,2799,2645
37,2799,2564
38,2799,2729
39,2799,2708
40,2799,2640
41,2799,2564
42,2799,2729
43,2799,2640
44,2799,2708
45,2806,2766
46,2806,2750
47,2806,2764
48,2806,2783
49,2806,2753
50,2806,2760
51,2806,2793
52,2806,2766
53,2806,2750
54,2806,2764
55,2806,2783
56,2806,2753
57,2806,2793
58,2806,2760
