,Elo,OppElo
0,0,
1,0,
2,2542,2267.0
3,2542,2388.0
4,2542,2383.0
5,2542,2679.0
6,2542,2403.0
7,2542,2403.0
8,2542,2654.0
9,2542,2637.0
10,2542,2622.0
11,2542,2042.0
12,2542,2100.0
13,2542,2310.0
14,2542,2315.0
15,2542,2567.0
16,2542,2335.0
17,2542,2058.0
18,2542,2339.0
19,2542,2229.0
20,2542,2247.0
21,2542,2314.0
22,2542,2421.0
23,2542,2430.0
24,2542,2377.0
25,2542,2292.0
26,2542,2567.0
27,2542,2417.0
28,2542,2448.0
29,2563,1981.0
30,2563,2679.0
31,2563,1923.0
32,2563,2665.0
33,2563,2604.0
34,2563,2663.0
35,2563,2574.0
36,2563,2598.0
37,2563,2559.0
38,2563,1981.0
39,2563,2244.0
40,2563,2348.0
41,2563,2533.0
42,2563,2242.0
43,2563,2588.0
44,2563,2324.0
45,2563,2179.0
46,2563,2002.0
47,2563,2149.0
48,2563,2295.0
49,2563,2635.0
50,2563,1874.0
51,2563,2058.0
52,2563,2659.0
53,2563,1923.0
54,2563,1831.0
55,2563,1853.0
56,2578,2514.0
57,2578,2514.0
58,2578,2514.0
59,2578,2514.0
60,2578,2714.0
61,2578,2714.0
62,2578,2714.0
63,2578,2714.0
64,2578,2197.0
65,2578,2393.0
66,2578,2296.0
67,2578,2349.0
68,2578,2407.0
69,2578,2503.0
70,2578,2527.0
71,2578,2625.0
72,2578,2606.0
73,2578,2140.0
74,2578,2323.0
75,2578,2471.0
76,2578,2255.0
77,2578,2610.0
78,2578,2644.0
79,2578,2443.0
80,2578,2533.0
81,2578,1980.0
82,2578,2245.0
83,2578,2382.0
84,2578,2466.0
85,2578,2458.0
86,2578,2562.0
87,2578,2597.0
88,2578,2444.0
89,2578,2429.0
90,2599,1653.0
91,2599,1905.0
92,2599,2093.0
93,2599,2310.0
94,2599,2528.0
95,2599,2279.0
96,2578,1831.0
97,2578,2246.0
98,2578,2357.0
99,2578,2394.0
100,2578,2437.0
101,2578,2562.0
102,2578,2597.0
103,2578,2422.0
104,2578,2412.0
105,2599,2447.0
106,2599,2132.0
107,2599,2263.0
108,2599,2206.0
109,2599,2369.0
110,2599,2551.0
111,2599,2621.0
112,2599,2562.0
113,2599,2478.0
114,2599,2522.0
115,2599,2405.0
116,2599,2163.0
117,2599,2594.0
118,2599,2440.0
119,2599,2609.0
120,2599,2701.0
121,2599,2578.0
122,2599,2629.0
123,2599,2498.0
124,2599,2641.0
125,2599,2223.0
126,2640,2323.0
127,2599,2535.0
128,2599,2460.0
129,2599,2435.0
130,2599,2626.0
131,2599,2319.0
132,2599,2578.0
133,2599,2522.0
134,2640,2435.0
135,2640,2356.0
136,2640,2557.0
137,2640,2479.0
138,2640,2453.0
139,2640,2253.0
140,2640,2419.0
141,2640,2438.0
142,2640,2487.0
143,2640,2432.0
144,2640,2432.0
145,2640,2419.0
146,2640,2484.0
147,2640,2701.0
148,2640,2699.0
149,2640,2704.0
150,2640,2691.0
151,2640,2609.0
152,2640,2619.0
153,2640,2621.0
154,2640,2577.0
155,2640,2577.0
156,2640,2618.0
157,2614,2004.0
158,2614,2269.0
159,2614,2408.0
160,2614,2321.0
161,2614,2633.0
162,2614,2466.0
163,2614,2611.0
164,2614,2563.0
165,2614,2516.0
166,2614,2628.0
167,2614,2585.0
168,2614,2064.0
169,2614,2328.0
170,2614,1971.0
171,2614,2205.0
172,2614,2553.0
173,2614,2508.0
174,2614,2042.0
175,2614,2487.0
176,2614,2410.0
177,2614,2106.0
178,2614,2618.0
179,2614,2100.0
180,2614,2340.0
181,2614,2141.0
182,2614,2400.0
183,2614,2469.0
184,2614,2485.0
185,2614,2660.0
186,2614,2628.0
187,2637,2233.0
188,2637,2378.0
189,2637,2569.0
190,2637,2524.0
191,2637,2573.0
192,2637,2538.0
193,2637,2487.0
194,2637,2465.0
195,2637,2624.0
196,2637,1848.0
197,2637,2086.0
198,2637,2283.0
199,2637,2419.0
200,2637,2633.0
201,2637,2624.0
202,2637,2264.0
203,2637,2349.0
204,2637,2554.0
205,2640,2453.0
206,2640,2568.0
207,2640,2483.0
208,2640,2471.0
209,2637,2086.0
210,2637,2332.0
211,2637,2463.0
212,2637,2583.0
213,2637,2592.0
214,2637,2639.0
215,2637,2633.0
216,2637,2226.0
217,2637,2355.0
218,2637,2558.0
219,2637,2656.0
220,2637,2463.0
221,2637,2597.0
222,2637,2639.0
223,2637,2373.0
224,2637,2650.0
225,2637,2633.0
226,2659,2575.0
227,2659,2609.0
228,2659,2537.0
229,2659,2621.0
230,2659,2613.0
231,2659,2607.0
232,2659,2631.0
233,2659,2635.0
234,2659,2635.0
235,2684,2436.0
236,2684,2567.0
237,2684,2343.0
238,2684,2383.0
239,2684,2329.0
240,2684,2455.0
241,2684,2614.0
242,2684,2419.0
243,2684,2497.0
244,2684,2688.0
245,2684,2664.0
246,2684,2722.0
247,2684,2682.0
248,2684,2686.0
249,2684,2655.0
250,2684,2684.0
251,2684,2215.0
252,2684,2365.0
253,2684,2578.0
254,2684,2616.0
255,2684,2704.0
256,2684,2698.0
257,2684,2566.0
258,2684,2783.0
259,2684,2759.0
260,2684,2688.0
261,2684,2686.0
262,2699,2507.0
263,2699,2692.0
264,2699,2570.0
265,2699,2578.0
266,2699,2701.0
267,2699,2641.0
268,2699,2547.0
269,2699,2437.0
270,2699,2629.0
271,2699,2583.0
272,2726,2338.0
273,2726,2623.0
274,2726,2707.0
275,2726,2662.0
276,2726,2651.0
277,2726,2677.0
278,2726,2680.0
