,Elo,OppElo
0,0,
1,0,
2,2459,2430.0
3,2459,2591.0
4,2459,2394.0
5,2459,2513.0
6,2459,2362.0
7,2459,2430.0
8,2459,2525.0
9,2459,2319.0
10,2465,2331.0
11,2465,2367.0
12,2465,2517.0
13,2465,2470.0
14,2465,2353.0
15,2465,2427.0
16,2465,2574.0
17,2465,2342.0
18,2465,2561.0
19,2465,2101.0
20,2465,2634.0
21,2465,2085.0
22,2465,2131.0
23,2465,2084.0
24,2465,2255.0
25,2465,2331.0
26,2465,2238.0
27,2465,2588.0
28,2465,2315.0
29,2465,2266.0
30,2465,2339.0
31,2465,2566.0
32,2478,2079.0
33,2478,2291.0
34,2478,2581.0
35,2478,2276.0
36,2478,2318.0
37,2478,2558.0
38,2478,2626.0
39,2478,1946.0
40,2478,2157.0
41,2478,2619.0
42,2478,2485.0
43,2478,2660.0
44,2478,2557.0
45,2478,2549.0
46,2478,2293.0
47,2478,2278.0
48,2478,2304.0
49,2478,2581.0
50,2478,2562.0
51,2484,2527.0
52,2484,2485.0
53,2484,2510.0
54,2484,2560.0
55,2484,2619.0
56,2484,2552.0
57,2484,2506.0
58,2484,2309.0
59,2484,2504.0
60,2484,2380.0
61,2484,2433.0
62,2484,2187.0
63,2484,2378.0
64,2484,2442.0
65,2484,2335.0
66,2484,2443.0
67,2525,2309.0
68,2525,2376.0
69,2525,2314.0
70,2525,2295.0
71,2525,2433.0
72,2525,2380.0
73,2525,2443.0
74,2525,2504.0
75,2525,2332.0
76,2525,2378.0
77,2525,2416.0
78,2525,2445.0
79,2525,2381.0
80,2525,2569.0
81,2525,2488.0
82,2525,2413.0
83,2525,2422.0
84,2525,2522.0
85,2525,2322.0
86,2525,2412.0
87,2525,2367.0
88,2525,2434.0
89,2525,2542.0
90,2525,2458.0
91,2525,2570.0
92,2525,2381.0
93,2525,2452.0
94,2526,1966.0
95,2526,2097.0
96,2526,2357.0
97,2526,2546.0
98,2526,2126.0
99,2526,2409.0
100,2526,2481.0
101,2526,2430.0
102,2526,2477.0
103,2526,2454.0
104,2526,2517.0
105,2526,2447.0
106,2526,2278.0
107,2526,2439.0
108,2526,2220.0
109,2526,2454.0
110,2526,2599.0
111,2526,2445.0
112,2526,2231.0
113,2526,2487.0
114,2526,2477.0
115,2526,2552.0
116,2526,2400.0
117,2508,2066.0
118,2508,2262.0
119,2508,2562.0
120,2508,2552.0
121,2508,2603.0
122,2508,2559.0
123,2508,2255.0
124,2508,2550.0
125,2508,2453.0
126,2508,2229.0
127,2508,2366.0
128,2508,2465.0
129,2508,2455.0
130,2508,2329.0
131,2508,2229.0
132,2508,2457.0
133,2508,2516.0
134,2508,2477.0
135,2508,2263.0
136,2508,2455.0
137,2508,2310.0
138,2508,2572.0
139,2508,2414.0
140,2508,2520.0
141,2508,2318.0
142,2508,2370.0
143,2508,2393.0
144,2508,2523.0
145,2508,2572.0
146,2508,2520.0
147,2508,2263.0
148,2508,2472.0
149,2508,2515.0
150,2508,2472.0
151,2508,2318.0
152,2508,2523.0
153,2508,2428.0
154,2508,2283.0
155,2567,2198.0
156,2567,2315.0
157,2567,2447.0
158,2567,2422.0
159,2567,2461.0
160,2567,2598.0
161,2567,2359.0
162,2567,2398.0
163,2567,2679.0
164,2567,2204.0
165,2567,2363.0
166,2567,2318.0
167,2567,2491.0
168,2571,2151.0
169,2571,2278.0
170,2571,2370.0
171,2571,2361.0
172,2571,2352.0
173,2571,2629.0
174,2567,2520.0
175,2567,2581.0
176,2567,2359.0
177,2567,2590.0
178,2571,2683.0
179,2571,2603.0
180,2571,2455.0
181,2571,2507.0
182,2571,2552.0
183,2571,2474.0
184,2571,2538.0
185,2571,2376.0
186,2571,2467.0
187,2571,2479.0
188,2571,2504.0
189,2606,
190,2606,
191,2606,1954.0
192,2606,2253.0
193,2606,2514.0
194,2606,2607.0
195,2606,2137.0
196,2606,2587.0
197,2606,1985.0
198,2606,2257.0
199,2606,2449.0
200,2606,2368.0
201,2606,2398.0
202,2606,2454.0
203,2606,2389.0
204,2606,1843.0
205,2606,2360.0
206,2606,2401.0
207,2606,2498.0
208,2606,2412.0
209,2606,2562.0
210,2606,2443.0
211,2606,2597.0
212,2609,2440.0
213,2609,2629.0
