,Mean_CP
0,21.0
1,8.525
2,11.133333333333333
3,19.11111111111111
4,16.225
5,7.204081632653061
6,11.575
7,5.470588235294118
8,20.79591836734694
9,22.46875
10,18.48
11,7.368421052631579
12,14.842105263157896
13,18.914285714285715
14,24.347826086956523
15,26.09090909090909
16,26.041666666666668
17,20.72972972972973
18,12.707317073170731
19,7.266666666666667
20,16.40740740740741
21,24.176470588235293
22,37.5125
23,37.71875
24,14.153846153846153
25,33.13953488372093
26,18.931818181818183
27,35.61538461538461
28,8.071428571428571
29,23.346153846153847
30,22.227272727272727
31,21.794520547945204
32,51.85
33,32.26315789473684
34,32.255319148936174
35,19.333333333333332
36,33.547008547008545
37,54.629629629629626
38,25.5
39,18.333333333333332
40,12.933333333333334
41,34.4
42,18.764705882352942
43,20.11111111111111
44,5.851063829787234
45,21.25
46,10.166666666666666
47,27.285714285714285
48,52.81578947368421
49,12.0
50,24.6
51,8.76923076923077
52,45.375
53,21.38888888888889
54,20.391304347826086
55,15.028571428571428
56,20.146341463414632
57,10.0
58,5.903225806451613
59,10.478260869565217
60,42.34146341463415
61,29.75
62,9.64516129032258
63,30.142857142857142
64,20.35
65,7.222222222222222
66,28.0
